Absolute Discount,Billing Country,Close Date Year,List Price,Opportunity Type,Product Family,Product Name,Quantity,Sales Price,Total List Price,Total Price
23450,USA,2028,550,Existing Business,Phones,Space phone 3,469,500,257950,234500
40900,Japan,2029,300,New Business,Digital Media,Courses,409,200,122700,81800
10550,Japan,2029,120,New Business,Accessories,Mouse,1055,100,63300,52750
8400,Spain,2029,50,New Business,Accessories,Cables,840,40,42000,33600
29800,Brazil,2029,800,New Business / Add-on,Tablets,Light tablet,149,600,119200,89400
166350,Mexico,2028,1400,New Business / Add-on,Laptops,Light laptop,1109,1250,1552600,1386250
3260,Belgium,2029,50,New Business,Accessories,Cables,326,40,16300,13040
108450,Belgium,2029,450,New Business,Phones,Space phone 2,482,225,216900,108450
7965,USA,2029,40,Existing Business,Accessories,Cases,1593,35,63720,55755
125800,USA,2029,300,Existing Business,Digital Media,Courses,1258,200,377400,251600
0,China,2029,0,New Business / Add-on,,,0,0,0,0
4575,China,2029,40,New Business,Accessories,Cases,915,35,36600,32025
36600,Germany,2029,1600,New Business / Add-on,Laptops,Pro laptop,183,1400,292800,256200
17360,Germany,2029,60,New Business / Add-on,Accessories,Mouse,1736,50,104160,86800
40320,Korea,2029,150,Existing Business,Digital Media,Books,1344,120,201600,161280
238200,Korea,2029,800,Existing Business,Tablets,Light tablet,1191,600,952800,714600
6470,USA,2028,40,New Business,Accessories,Cases,1294,35,51760,45290
0,Spain,2029,0,Existing Business,,,0,0,0,0
607600,Brazil,2029,2000,New Business / Add-on,Laptops,Mega laptop,1519,1600,3038000,2430400
0,Brazil,2029,500,New Business / Add-on,Digital Media,Certifications,1234,500,617000,617000
11690,Australia,2029,100,New Business / Add-on,Accessories,Keyboard,1169,90,116900,105210
31800,Denmark,2028,300,New Business,Digital Media,Courses,318,200,95400,63600
70300,USA,2028,300,New Business,Digital Media,Courses,703,200,210900,140600
65,Sweden,2029,40,New Business,Accessories,Cases,13,35,520,455
0,Thailand,2029,0,New Business,,,0,0,0,0
0,Brazil,2029,0,New Business / Add-on,,,0,0,0,0
77100,Switzerland,2028,1000,New Business,Tablets,Light tablet 2,514,850,514000,436900
264400,Switzerland,2028,600,New Business,Tablets,Mini tablet,1322,400,793200,528800
385400,Canada,2029,800,New Business,Tablets,Light tablet,1927,600,1541600,1156200
270400,Belgium,2029,800,New Business / Add-on,Tablets,Light tablet,1352,600,1081600,811200
86600,Belgium,2029,1600,New Business / Add-on,Laptops,Pro laptop,433,1400,692800,606200
