(1.1) Sub-Category from Category Set,(1.2) Sub-Category from Category Set,All-in-one Calc (1),All-in-one Calc (2),All-in-one Calc (3),Category,Colour by Category Level,Manufacturer,Order Date,Product Name,Sub-Category,Sales
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,17/12/2019,Newell 35,Art,13.12
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanford,21/12/2019,"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set",Art,59.904
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,22/12/2019,Newell 336,Art,17.12
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,25/12/2019,Newell 351,Art,3.28
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Prang,08/03/2020,Prang Drawing Pencil Set,Art,13.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,14/03/2020,"BOSTON Ranger #55 Pencil Sharpener, Black",Art,145.544
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,21/03/2020,Newell 33,Art,13.392
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Prang,21/03/2020,Prang Dustless Chalk Sticks,Art,1.344
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,BIC,10/04/2020,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Art,13.568
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Dixon,15/04/2020,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",Art,33.488
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Panasonic,02/05/2020,Panasonic KP-380BK Classic Electric Pencil Sharpener,Art,86.352
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,03/05/2020,Newell 316,Art,27.384
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,19/05/2020,Newell 341,Art,21.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,30/05/2020,Newell 333,Art,5.56
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,30/05/2020,Newell 343,Art,14.7
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,12/06/2020,Nontoxic Chalk,Art,11.264
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,26/06/2020,Newell 311,Art,5.304
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,08/07/2020,Newell 345,Art,47.616
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,10/07/2020,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Art,154.24
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,22/07/2020,Avery Hi-Liter Smear-Safe Highlighters,Art,29.2
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,23/07/2020,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Art,175.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,23/07/2020,Newell 339,Art,4.448
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,26/08/2020,Newell 335,Art,8.64
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,01/09/2020,Newell 315,Art,11.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,04/09/2020,"BOSTON Ranger #55 Pencil Sharpener, Black",Art,62.376
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,04/09/2020,Faber Castell Col-Erase Pencils,Art,3.912
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Panasonic,05/09/2020,Panasonic KP-380BK Classic Electric Pencil Sharpener,Art,107.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,08/09/2020,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Art,70.368
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanford,17/09/2020,Sanford Liquid Accent Highlighters,Art,33.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,25/09/2020,Manco Dry-Lighter Erasable Highlighter,Art,3.04
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,29/09/2020,Newell 328,Art,40.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Stanley,02/10/2020,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Art,33.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,11/10/2020,Avery Fluorescent Highlighter Four-Color Set,Art,5.344
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,11/10/2020,Newell 309,Art,27.72
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,13/10/2020,Newell 334,Art,15.872
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,30/10/2020,Newell 312,Art,11.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,31/10/2020,Newell 31,Art,12.39
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,05/11/2020,Prismacolor Color Pencil Set,Art,39.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,11/11/2020,Newell 332,Art,14.112
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,12/11/2020,Newell 332,Art,20.58
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,18/11/2020,4009 Highlighters by Sanford,Art,6.368
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,22/11/2020,Newell 348,Art,23.616
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Dixon,24/11/2020,"Dixon My First Ticonderoga Pencil, #2",Art,14.04
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Dixon,26/11/2020,DIXON Ticonderoga Erasable Checking Pencils,Art,17.856
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,05/12/2020,Newell 311,Art,3.536
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Hunt,09/12/2020,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",Art,9.328
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,12/12/2020,Newell 333,Art,13.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,01/01/2021,Fluorescent Highlighters by Dixon,Art,12.736
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,02/01/2021,Newell 319,Art,31.744
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Hunt,13/01/2021,Hunt Boston Vacuum Mount KS Pencil Sharpener,Art,209.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,22/01/2021,Newell 348,Art,7.872
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Quartet,30/01/2021,"Quartet Omega Colored Chalk, 12/Pack",Art,9.344
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Staples in misc. colors,05/02/2021,Staples in misc. colors,Art,7.12
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,16/02/2021,Newell 312,Art,28.032
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Dixon,17/02/2021,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Art,175.44
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,20/02/2021,Newell 351,Art,6.56
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,06/03/2021,Newell 345,Art,63.488
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,13/03/2021,Col-Erase Pencils with Erasers,Art,19.456
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,13/03/2021,"Eberhard Faber 3 1/2"" Golf Pencils",Art,29.76
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,18/03/2021,Peel-Off China Markers,Art,23.832
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Prang,03/04/2021,Prang Colored Pencils,Art,7.056
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,16/04/2021,Newell 325,Art,16.52
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,20/04/2021,Lumber Crayons,Art,15.76
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,06/05/2021,Blackstonian Pencils,Art,6.408
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,11/05/2021,Newell 348,Art,5.248
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,14/05/2021,Newell 309,Art,46.2
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,BIC,20/05/2021,"BIC Brite Liner Highlighters, Chisel Tip",Art,25.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Binney & Smith,20/05/2021,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Art,21.5
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,20/05/2021,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Art,131.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,04/06/2021,Newell 346,Art,8.64
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Quartet,09/07/2021,"Quartet Alpha White Chalk, 12/Pack",Art,8.84
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Staples in misc. colors,11/07/2021,Staples in misc. colors,Art,30.32
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Crayola,16/07/2021,"Crayola Anti Dust Chalk, 12/Pack",Art,2.912
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Hunt,23/07/2021,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Art,121.536
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Quartet,23/07/2021,"Quartet Omega Colored Chalk, 12/Pack",Art,11.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,BIC,11/08/2021,BIC Brite Liner Grip Highlighters,Art,9.184
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,17/08/2021,Avery Fluorescent Highlighter Four-Color Set,Art,8.016
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,27/08/2021,"Eberhard Faber 3 1/2"" Golf Pencils",Art,5.952
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Crayola,04/09/2021,"Crayola Anti Dust Chalk, 12/Pack",Art,10.192
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Hunt,04/09/2021,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Art,30.384
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanford,04/09/2021,"Sanford Colorific Colored Pencils, 12/Box",Art,6.912
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanford,04/09/2021,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Art,13.12
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,15/09/2021,Prismacolor Color Pencil Set,Art,31.744
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,17/09/2021,Newell Chalk Holder,Art,9.912
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,18/09/2021,Newell 314,Art,8.928
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,03/10/2021,Colorific Watercolor Pencils,Art,20.64
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Staples in misc. colors,06/10/2021,Staples in misc. colors,Art,19.152
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Bulldog,09/10/2021,Bulldog Vacuum Base Pencil Sharpener,Art,67.144
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Dixon,22/10/2021,Dixon Ticonderoga Core-Lock Colored Pencils,Art,36.44
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,23/10/2021,Newell 320,Art,10.272
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Prang,27/10/2021,Prang Colored Pencils,Art,7.056
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,31/10/2021,Newell 350,Art,5.248
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Binney & Smith,02/11/2021,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Art,27.78
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Stanley,02/11/2021,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Art,54.336
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,06/11/2021,Newell 339,Art,13.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,11/11/2021,Boston 1799 Powerhouse Electric Pencil Sharpener,Art,181.86
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,14/11/2021,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Art,45.04
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,19/11/2021,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Art,13.04
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,19/11/2021,"Boston School Pro Electric Pencil Sharpener, 1670",Art,99.136
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,19/11/2021,Peel-Off China Markers,Art,31.776
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanford,20/11/2021,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Art,22
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,22/11/2021,Newell 314,Art,35.712
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,25/11/2021,Avery Hi-Liter Smear-Safe Highlighters,Art,18.688
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,02/12/2021,Manco Dry-Lighter Erasable Highlighter,Art,12.16
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,04/12/2021,Newell 310,Art,8.8
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,BIC,09/12/2021,BIC Liqua Brite Liner,Art,34.7
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,14/12/2021,Prismacolor Color Pencil Set,Art,95.232
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,15/12/2021,Newell 307,Art,10.192
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,25/12/2021,Newell 34,Art,31.744
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Staples in misc. colors,28/12/2021,Staples in misc. colors,Art,2.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,07/01/2018,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Binders,10.43
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,20/01/2018,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Binders,19.05
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Storex,20/01/2018,Storex Dura Pro Binders,Binders,29.7
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,26/01/2018,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Binders,10.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,06/02/2018,"Avery Flip-Chart Easel Binder, Black",Binders,8.952
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,11/02/2018,VariCap6 Expandable Binder,Binders,51.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,11/02/2018,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Binders,9.64
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,16/02/2018,Wilson Jones Easy Flow II Sheet Lifters,Binders,1.08
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,21/02/2018,GBC Standard Plastic Binding Systems Combs,Binders,8.85
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,23/02/2018,GBC Plastic Binding Combs,Binders,4.428
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,17/03/2018,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Binders,35.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,17/03/2018,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Binders,53.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,31/03/2018,Fellowes Black Plastic Comb Bindings,Binders,8.134
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,05/04/2018,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Binders,40.2
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,04/05/2018,Fellowes Binding Cases,Binders,46.8
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,11/05/2018,Avery Arch Ring Binders,Binders,104.58
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,17/05/2018,Surelock Post Binders,Binders,91.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,19/05/2018,Avery Heavy-Duty EZD View Binder with Locking Rings,Binders,57.42
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ibico,21/05/2018,Ibico Plastic Spiral Binding Combs,Binders,18.24
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,27/05/2018,Fellowes Presentation Covers for Comb Binding Machines,Binders,17.46
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,01/06/2018,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,Binders,138.56
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,06/06/2018,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders,24.588
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Storex,20/06/2018,Storex DuraTech Recycled Plastic Frosted Binders,Binders,3.392
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,14/07/2018,Acco D-Ring Binder w/DublLock,Binders,29.932
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,21/07/2018,Acco Economy Flexible Poly Round Ring Binder,Binders,1.044
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,26/07/2018,GBC DocuBind P400 Electric Binding System,Binders,2177.584
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,26/07/2018,GBC Instant Index System for Binding Systems,Binders,8.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,26/07/2018,GBC Premium Transparent Covers with Diagonal Lined Pattern,Binders,16.784
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,02/08/2018,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Binders,26.7
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,15/08/2018,GBC Durable Plastic Covers,Binders,30.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,25/08/2018,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",Binders,12.384
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,25/08/2018,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Binders,25.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,01/09/2018,Prestige Round Ring Binders,Binders,3.648
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,03/09/2018,GBC VeloBinder Strips,Binders,7.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Angle-D,07/09/2018,"Angle-D Binders with Locking Rings, Label Holders",Binders,2.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,07/09/2018,Avery Heavy-Duty EZD View Binder with Locking Rings,Binders,3.828
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,07/09/2018,Avery Recycled Flexi-View Covers for Binding Systems,Binders,32.06
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,07/09/2018,"GBC Laser Imprintable Binding System Covers, Desert Sand",Binders,42.81
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ibico,07/09/2018,Ibico Hi-Tech Manual Binding System,Binders,304.99
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,12/09/2018,GBC DocuBind P100 Manual Binding Machine,Binders,331.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,12/09/2018,Wilson Jones Impact Binders,Binders,5.18
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,14/09/2018,Trimflex Flexible Post Binders,Binders,8.552
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,23/09/2018,GBC Instant Report Kit,Binders,12.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ibico,23/09/2018,Ibico EPK-21 Electric Binding System,Binders,9449.95
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,25/09/2018,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Binders,2.724
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,26/09/2018,Acco 3-Hole Punch,Binders,0.876
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,03/10/2018,Avery Hidden Tab Dividers for Binding Systems,Binders,1.788
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,06/10/2018,GBC VeloBinder Strips,Binders,15.36
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,10/10/2018,Avery Non-Stick Binders,Binders,0.898
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,10/10/2018,GBC Personal VeloBind Strips,Binders,11.98
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Pressboard,14/10/2018,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Binders,2.946
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,17/10/2018,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Binders,10.78
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,20/10/2018,Satellite Sectional Post Binders,Binders,8.682
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,ACCOHIDE,07/11/2018,"ACCOHIDE 3-Ring Binder, Blue, 1""",Binders,12.39
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,07/11/2018,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Binders,1.476
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,07/11/2018,Satellite Sectional Post Binders,Binders,26.046
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,11/11/2018,GBC DocuBind TL300 Electric Binding System,Binders,896.99
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Universal,11/11/2018,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",Binders,1.234
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,14/11/2018,Avery Durable Binders,Binders,11.52
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Storex,14/11/2018,Storex DuraTech Recycled Plastic Frosted Binders,Binders,12.72
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,16/11/2018,Wilson Jones Active Use Binders,Binders,29.12
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,18/11/2018,"GBC White Gloss Covers, Plain Front",Binders,14.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,18/11/2018,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Binders,2.892
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,22/11/2018,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Binders,9.98
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,22/11/2018,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,Binders,6.928
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,23/11/2018,UniKeep View Case Binders,Binders,14.67
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ibico,06/12/2018,Ibico Covers for Plastic or Wire Binding Elements,Binders,4.6
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,12/12/2018,GBC DocuBind 300 Electric Binding Machine,Binders,210.392
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,14/12/2018,Avery Heavy-Duty EZD View Binder with Locking Rings,Binders,5.104
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,14/12/2018,GBC VeloBind Cover Sets,Binders,9.264
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ibico,20/12/2018,Ibico Ibimaster 300 Manual Binding System,Binders,1103.97
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,22/12/2018,Recycled Easel Ring Binders,Binders,17.904
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,27/12/2018,GBC Standard Therm-A-Bind Covers,Binders,4.984
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,30/12/2018,Acco Hanging Data Binders,Binders,2.286
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,04/01/2019,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Binders,32.34
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,06/02/2019,UniKeep View Case Binders,Binders,2.934
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,05/03/2019,"Performers Binder/Pad Holder, Black",Binders,11.212
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,08/03/2019,Avery Premier Heavy-Duty Binder with Round Locking Rings,Binders,8.568
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,20/03/2019,GBC Standard Plastic Binding Systems' Combs,Binders,2.512
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,02/04/2019,Aluminum Screw Posts,Binders,9.156
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,04/04/2019,Acco Expandable Hanging Binders,Binders,12.76
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,06/04/2019,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Binders,9.648
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ibico,06/04/2019,Ibico Covers for Plastic or Wire Binding Elements,Binders,6.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,13/04/2019,Fellowes Black Plastic Comb Bindings,Binders,17.43
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,18/04/2019,GBC Plastic Binding Combs,Binders,1.476
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,18/04/2019,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Binders,4.312
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,19/04/2019,Fellowes PB300 Plastic Comb Binding Machine,Binders,310.392
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,28/04/2019,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders,3812.97
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,08/05/2019,Wilson Jones Legal Size Ring Binders,Binders,43.98
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,17/05/2019,GBC Twin Loop Wire Binding Elements,Binders,33.28
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,24/05/2019,Avery Heavy-Duty EZD View Binder with Locking Rings,Binders,7.656
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,25/05/2019,GBC DocuBind P50 Personal Binding Machine,Binders,127.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Storex,31/05/2019,Storex Dura Pro Binders,Binders,3.564
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,01/06/2019,Avery Poly Binder Pockets,Binders,5.728
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,01/06/2019,Catalog Binders with Expanding Posts,Binders,403.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,19/06/2019,"GBC White Gloss Covers, Plain Front",Binders,5.792
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,25/06/2019,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Binders,0.984
