City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
20-0335-001,9/2/2020,F,10/16/2020,Water Distrib - Reservoir Yard,Operations,Change Meter,"1,353.00",0.00,0.00
20-0350-001,9/2/2020,F,11/16/2020,Street- North Maint Dist,Operations,Tar/Paint/Oil,"6,886.29",0.00,0.00
20-0744-001,9/2/2020,F,3/22/2021,Police- Cactus Park Precinct 900,Law Enforcement,Forced Entry,"15,000.00",0.00,0.00
20-0828-001,9/2/2020,F,6/2/2021,Street- North Maint Dist,Operations,"Care, Custody, Control","3,500,000.00",0.00,0.00
20-0310-001,9/3/2020,F,9/30/2020,Street- Southeast Maint Dist,Operations,Damage by Mobile Equipment,"3,500.00",0.00,0.00
20-0753-001,9/3/2020,F,2/18/2021,Police- Central City Precinct 500,Police Vehicle,Rear End,"139,069.95",0.00,0.00
20-0826-001,9/3/2020,F,4/29/2021,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"2,656.21",0.00,0.00
20-0290-001,9/4/2020,F,9/25/2020,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",21.28,0.00,0.00
20-0290-002,9/4/2020,F,10/5/2020,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",289.00,0.00,0.00
20-0428-001,9/4/2020,F,1/25/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,862.75",0.00,"3,645.00"
20-0584-001,9/4/2020,F,4/30/2021,Street- Southeast Maint Dist,Operations,Overhanging Tree,"2,920.12",0.00,"2,920.12"
20-0357-001,9/5/2020,F,2/23/2021,Water Distrib - Morten Yard,Operations,Water Main Break,"15,000.00",0.00,"11,650.60"
20-0357-002,9/5/2020,F,3/2/2021,Water Distrib - Morten Yard,Operations,Water Main Break,"15,702.18",0.00,"13,739.21"
20-0810-001,9/5/2020,O,,Water Distrib - Corona Yard,Operations,Water Main Break,"434,445.60",0.00,0.00
20-0324-001,9/7/2020,F,12/30/2020,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"2,716.48",0.00,0.00
20-0324-002,9/7/2020,F,1/8/2021,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"3,607.50",0.00,"1,500.00"
20-0333-001,9/7/2020,F,11/13/2020,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,977.75,0.00,977.75
20-0341-001,9/8/2020,F,11/6/2020,Street- Southwest Maint Dist,Operations,Debris/Object in Road,"7,761.46",0.00,0.00
20-0425-001,9/8/2020,F,1/21/2021,Parks- Admin/Dir/Mgt Svcs/Parks Devlpmt,Light Truck,Falling Load/Rock,"7,361.54",0.00,0.00
20-0445-001,9/8/2020,F,11/20/2020,Water Distrib - Reservoir Yard,Operations,Damage by Mobile Equipment,700.00,0.00,0.00
20-0287-001,9/9/2020,F,6/15/2021,Police- Central City Precinct 500,Law Enforcement,Violate Civil Rights,"500,000,000.00",0.00,0.00
20-0337-001,9/9/2020,F,10/9/2020,Non-City Claim,Other,Other,"2,356.99",0.00,0.00
20-0477-001,9/9/2020,F,2/18/2021,Police- S. Mountain Precinct 400,Police Vehicle,Failure to Yield,"160,000.00",0.00,0.00
20-0737-001,9/9/2020,F,3/8/2021,Water Distrib - Corona Yard,Operations,Excavation Related,342.62,0.00,342.62
20-0289-001,9/10/2020,F,5/11/2021,Water Distrib - Cave Creek Yard,Operations,Water Main Break,"50,000.00",0.00,"33,842.31"
20-0300-001,9/10/2020,F,10/8/2020,Street- Central Maintenance Dist,Operations,Pot Hole,664.00,0.00,0.00
20-0679-001,9/10/2020,F,1/14/2021,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"3,500.00",0.00,0.00
20-0788-001,9/10/2020,O,,Police- S. Mountain Precinct 400,Police Vehicle,Rear End,"75,000.00",0.00,0.00
20-9010-001,9/10/2020,O,,Human Resources - Admin,Public Officials,Public Officials Liability,,0.00,0.00
20-0288-001,9/11/2020,F,3/10/2021,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,"7,541.28",0.00,0.00
20-0291-001,9/11/2020,O,,Water Distrib - Reservoir Yard,Operations,Water Main Break,"10,000.00",0.00,"3,757.47"
20-0305-001,9/11/2020,F,11/9/2020,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"8,000.00",0.00,"4,655.97"
20-0443-001,9/11/2020,F,12/1/2020,Water Distrib - Reservoir Yard,Operations,Change Meter,497.00,0.00,497.00
20-0484-001,9/11/2020,F,1/29/2021,Street- Southeast Maint Dist,Operations,Construction Area,855.20,0.00,0.00
20-0800-001,9/11/2020,O,,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"500,000.00",0.00,0.00
20-0800-002,9/11/2020,O,,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"100,000.00",0.00,0.00
20-0302-001,9/12/2020,F,10/8/2020,Street- Southeast Maint Dist,Operations,Pot Hole,615.00,0.00,0.00
20-0344-001,9/12/2020,F,11/16/2020,Water Distrib - Corona Yard,Operations,Change Meter,149.99,0.00,0.00
20-0384-001,9/12/2020,O,,Street- Southwest Maint Dist,Operations,Pot Hole,500.00,0.00,0.00
20-0404-001,9/12/2020,F,11/30/2020,Police- Desert Horizon Precinct 600,Law Enforcement,"Care, Custody, Control","1,000.00",0.00,0.00
20-0383-001,9/13/2020,F,11/13/2020,Fire Battalion 4,Fire/EMS Operations,Damage to Property/Injury to Persons,"1,462.80",0.00,0.00
20-0398-001,9/13/2020,F,11/10/2020,Police- Maryvale Precinct 800,Law Enforcement,Excessive Force,"3,250.00",0.00,0.00
20-0444-001,9/13/2020,F,11/25/2020,Police- Cactus Park Precinct 900,Police Vehicle,Struck Fixed Object,"1,288.07",0.00,"1,603.07"
20-0880-001,9/13/2020,F,5/20/2021,Police- Maryvale Precinct 800,Law Enforcement,False Arrest,"350,000.00",0.00,0.00
20-0332-001,9/14/2020,F,10/20/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"3,000.00",0.00,"5,987.00"
20-0648-001,9/14/2020,F,3/11/2021,Water Distrib - Reservoir Yard,Operations,Excavation Related,"11,272.04",0.00,"9,562.04"
20-0506-001,9/15/2020,F,12/29/2020,Street- Southwest Maint Dist,Operations,Damage to Property/Injury to Persons,706.28,0.00,706.28
20-0840-001,9/15/2020,R,3/22/2021,Street- North Maint Dist,Operations,Negligent Barricading,"1,800,000.00",0.00,0.00
20-0872-001,9/15/2020,O,,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"115,277.51",0.00,0.00
20-0876-001,9/15/2020,F,3/12/2021,Non-City Claim,Operations,Negligent Barricading,"250,000.00",0.00,0.00
20-0316-001,9/16/2020,F,10/23/2020,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,625.95,0.00,625.95
20-0342-001,9/16/2020,F,10/19/2020,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,560.00,0.00,550.00
20-0887-001,9/16/2020,O,,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"46,632.46",0.00,0.00
20-0340-001,9/17/2020,F,12/2/2020,Street- Southwest Maint Dist,Operations,Debris/Object in Road,"6,500.00",0.00,0.00
20-0422-001,9/17/2020,F,12/23/2020,Street- North Maint Dist,Operations,Pot Hole,"3,896.28",0.00,0.00
20-0430-001,9/17/2020,F,11/6/2020,Street- North Maint Dist,Operations,Damage by Mobile Equipment,126.65,0.00,0.00
20-0436-001,9/17/2020,F,11/17/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Main/Vehicle/Int,275.00,0.00,275.00
20-0436-002,9/17/2020,F,11/20/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Main/Vehicle/Int,"3,020.82",0.00,"3,020.82"
20-0436-003,9/17/2020,F,12/31/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Mechanical Failure,847.47,0.00,847.47
20-0372-001,9/18/2020,F,10/14/2020,Pub Wks- Solid Waste Field Services West,Operations,"Care, Custody, Control","4,568.29",0.00,0.00
20-0408-011,9/18/2020,F,11/10/2020,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,150.00,0.00,0.00
20-0409-001,9/18/2020,F,11/20/2020,Street- North Maint Dist,Operations,Damage to Property/Injury to Persons,550.00,0.00,0.00
20-1185-001,9/18/2020,F,6/30/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,950.00",0.00,0.00
20-0347-001,9/19/2020,F,10/23/2020,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,Forced Entry,350.00,0.00,0.00
20-0537-001,9/19/2020,F,5/17/2021,Street- Prev Maint/St Cleaning/Flooding,Operations,Excavation Related,"50,000.00",0.00,0.00
20-0710-001,9/19/2020,O,,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Police Vehicle,Failure to Yield,"17,554.20",0.00,0.00
20-0327-001,9/20/2020,F,10/9/2020,Street- Southeast Maint Dist,Operations,Construction Area,500.00,0.00,0.00
20-0555-001,9/20/2020,F,12/11/2020,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,375.39,0.00,0.00
20-0367-001,9/21/2020,F,12/7/2020,Street- Central Maintenance Dist,Operations,Pot Hole,491.51,0.00,290.00
20-0525-001,9/21/2020,F,4/23/2021,Police- Squaw Peak Precinct 700,Law Enforcement,Forced Entry,340.00,0.00,0.00
20-0543-001,9/21/2020,F,1/8/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"2,433.54",0.00,0.00
20-0827-001,9/21/2020,F,4/15/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,189.37",0.00,0.00
20-0336-001,9/22/2020,F,12/7/2020,Fire- Admin/EMS/CAD-Alarm/Safety,Medium/Heavy,Struck Fixed Object,"1,000.00",0.00,"1,020.00"
20-0524-001,9/22/2020,F,1/21/2021,Street- Southwest Maint Dist,Operations,Pot Hole,"1,546.87",0.00,0.00
20-0901-001,9/22/2020,O,,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Law Enforcement,Auto Theft Related,"500,000.00",0.00,0.00
20-0361-001,9/23/2020,F,10/12/2020,Street- Central Maintenance Dist,Operations,Pot Hole,720.55,0.00,0.00
20-0689-001,9/23/2020,F,1/14/2021,Police- Central City Precinct 500,Law Enforcement,"Care, Custody, Control",353.00,0.00,0.00
20-0705-001,9/23/2020,F,3/8/2021,Fire- Admin/EMS/CAD-Alarm/Safety,Medium/Heavy,Failure to Yield,"3,187.56",0.00,"3,187.56"
20-0819-001,9/23/2020,F,6/24/2021,Police- Cactus Park Precinct 900,Law Enforcement,False Arrest,"500,000.00",0.00,0.00
20-0822-001,9/23/2020,F,3/2/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Failure to Yield,"15,000.00",0.00,0.00
20-0566-001,9/24/2020,F,1/22/2021,Water Distrib - Cave Creek Yard,Operations,Damage to Property/Injury to Persons,730.00,0.00,0.00
20-0724-001,9/24/2020,O,,NSD- Neighborhood Preservation,Light Truck,Failure to Yield,"5,997.23",0.00,0.00
20-0339-001,9/25/2020,F,3/2/2021,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,,0.00,"5,482.85"
20-0364-001,9/25/2020,F,11/20/2020,Street- Southwest Maint Dist,Operations,Debris/Object in Road,"3,012.67",0.00,0.00
20-0407-001,9/25/2020,F,12/9/2020,Water Distrib - Reservoir Yard,Operations,Water Service Related,739.20,0.00,739.20
20-0410-001,9/25/2020,F,11/30/2020,Street- Prev Maint/St Cleaning/Flooding,Operations,Debris/Object in Road,920.32,0.00,0.00
20-0674-001,9/26/2020,O,,Police- Central City Precinct 500,Police Vehicle,Failure to Yield,"130,000.00",0.00,0.00
20-0674-002,9/26/2020,O,,Police- Central City Precinct 500,Police Vehicle,Failure to Yield,"100,000.00",0.00,0.00
20-0824-001,9/26/2020,O,,Street- Traffic Ops/Invest/Sign-Stripe,Light Truck,Turning,"8,129.32",0.00,0.00
20-0824-002,9/26/2020,O,,Street- Traffic Ops/Invest/Sign-Stripe,Light Truck,Failure to Yield,"14,644.00",0.00,0.00
20-0824-003,9/26/2020,O,,Street- Traffic Ops/Invest/Sign-Stripe,Light Truck,Failure to Yield,"14,939.00",0.00,0.00
20-0839-001,9/26/2020,F,4/8/2021,Police- Desert Horizon Precinct 600,Law Enforcement,Search & Seizure,"49,999.00",0.00,0.00
20-0908-001,9/27/2020,O,,Police- Maryvale Precinct 800,Police Vehicle,U-Turn,"150,000.00",0.00,0.00
20-0908-002,9/27/2020,O,,Police- Maryvale Precinct 800,Police Vehicle,U-Turn,"80,000.00",0.00,0.00
20-0908-003,9/27/2020,F,5/6/2021,Police- Maryvale Precinct 800,Police Vehicle,U-Turn,"10,249.38",0.00,0.00
20-1117-001,9/27/2020,F,6/3/2021,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Police Vehicle,Struck Fixed Object,"4,875.00",0.00,0.00
20-0373-001,9/29/2020,F,11/17/2020,Street- Central Maintenance Dist,Operations,Tar/Paint/Oil,160.00,0.00,160.00
20-0386-001,9/29/2020,F,11/5/2020,Street- Central Maintenance Dist,Medium/Heavy,Rear End,400.00,0.00,400.00
20-0505-001,9/29/2020,F,12/29/2020,Street- Southwest Maint Dist,Operations,Damage to Property/Injury to Persons,706.28,0.00,706.28
20-0375-001,9/30/2020,F,10/13/2020,Non-City Claim,Non-City,Non-City Claim,"1,447.38",0.00,0.00
20-0595-001,9/30/2020,F,1/28/2021,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way","2,837.87",0.00,0.00
20-0354-001,10/1/2020,O,,Water Distrib - Corona Yard,Operations,Water Main Break,"35,000.00",0.00,"21,815.69"
20-0370-001,10/1/2020,F,10/23/2020,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Failure to Yield,"2,200.00",0.00,0.00
20-0376-001,10/1/2020,F,12/4/2020,Street- Southwest Maint Dist,Operations,Pot Hole,"2,500.00",0.00,"2,500.00"
20-0406-001,10/1/2020,F,11/18/2020,Water Distrib - Corona Yard,Operations,Damage to Property/Injury to Persons,"1,540.31",0.00,"1,720.31"
20-0418-001,10/1/2020,F,5/20/2021,Police- Central City Precinct 500,Law Enforcement,Forced Entry,"8,499.00",0.00,0.00
20-0439-001,10/2/2020,F,12/4/2020,Street- Southwest Maint Dist,Operations,Pot Hole,"1,096.25",0.00,"1,096.25"
20-0539-001,10/2/2020,F,4/19/2021,Street- Southwest Maint Dist,Operations,Pot Hole,800.00,0.00,0.00
20-0832-001,10/2/2020,O,,Police- Central City Precinct 500,Law Enforcement,"Care, Custody, Control","1,900.00",0.00,0.00
20-0358-001,10/3/2020,F,2/19/2021,Pub Wks- Solid Waste Field Services West,Medium/Heavy,Struck Fixed Object,,0.00,"2,395.21"
20-0360-001,10/3/2020,F,11/19/2020,Street- Southwest Maint Dist,Operations,Pot Hole,592.95,0.00,0.00
20-0369-001,10/3/2020,F,12/11/2020,Water Distrib - Morten Yard,Light Truck,Failure to Yield,"3,000.00",0.00,"3,584.45"
20-0642-001,10/3/2020,F,3/4/2021,Pub Wks- Solid Waste Field Services Sout,Operations,Damage by Mobile Equipment,150.00,0.00,0.00
20-0926-001,10/3/2020,O,,Police- S. Mountain Precinct 400,Police Vehicle,Police Pursuit,"4,000,000.00",0.00,0.00
20-0926-002,10/3/2020,O,,Police- S. Mountain Precinct 400,Police Vehicle,Police Pursuit,"6,000,000.00",0.00,0.00
20-0363-001,10/4/2020,O,,Water Distrib - Corona Yard,Operations,Water Main Break,"125,000.00",0.00,"5,529.04"
20-0400-001,10/4/2020,F,11/19/2020,Street- Central Maintenance Dist,Operations,Pot Hole,350.00,0.00,0.00
20-0411-001,10/5/2020,F,11/13/2020,Street- Southwest Maint Dist,Operations,Pot Hole,"1,300.00",0.00,0.00
20-0501-001,10/5/2020,F,12/9/2020,Fire- Admin/EMS/CAD-Alarm/Safety,Light Truck,Struck Fixed Object,"1,752.38",0.00,"1,752.38"
20-0768-001,10/5/2020,F,2/25/2021,Police- Central City Precinct 500,Law Enforcement,"Care, Custody, Control","14,500.00",0.00,0.00
20-0900-001,10/5/2020,F,5/18/2021,Street- Southwest Maint Dist,Operations,Pot Hole,505.27,0.00,505.27
20-0377-001,10/6/2020,F,12/9/2020,Street- Southwest Maint Dist,Operations,Pot Hole,660.00,0.00,660.00
20-0421-001,10/7/2020,F,12/11/2020,Street- Central Maintenance Dist,Operations,Debris/Object in Road,"1,796.76",0.00,0.00
20-0497-001,10/7/2020,F,12/11/2020,NON-CITY DEPT,Van 0-9 Passenger,Failure to Yield,"9,129.03",0.00,0.00
20-0378-001,10/8/2020,F,11/23/2020,Street- Central Maintenance Dist,Operations,Pot Hole,287.41,0.00,287.41
20-0379-001,10/8/2020,F,12/1/2020,Planning Director's Office - Admin,Sedan,Lane Change/Pass,"5,928.38",0.00,"5,928.38"
20-0532-001,10/8/2020,F,12/11/2020,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"2,800.00",0.00,0.00
20-9005-001,10/8/2020,F,12/8/2020,Police - Northern Precinct 200,Law Enforcement,Violate Civil Rights,,0.00,0.00
20-0434-001,10/9/2020,F,12/15/2020,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"3,125.00",0.00,"3,125.00"
20-0440-001,10/9/2020,F,12/1/2020,Police - Northern Precinct 200,Police Vehicle,Struck Fixed Object,918.47,0.00,918.47
20-0454-001,10/9/2020,F,12/11/2020,Police - Estrella Mountain Precinct 300,Law Enforcement,"Care, Custody, Control",543.08,0.00,543.08
20-0515-001,10/9/2020,F,12/11/2020,Street- North Maint Dist,Operations,Construction Area,879.35,0.00,0.00
20-0789-001,10/9/2020,F,2/25/2021,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way","15,262.71",0.00,0.00
20-0816-001,10/9/2020,F,3/4/2021,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Motorcycle,Failure to Yield,"2,939.48",0.00,0.00
20-0894-001,10/9/2020,O,,Wastewtr Engineering & Construction Mgt,Operations,Construction Area,363.00,0.00,0.00
20-0479-001,10/11/2020,F,12/1/2020,Street- Southwest Maint Dist,Operations,Pot Hole,546.00,0.00,190.00
20-0479-002,10/11/2020,F,1/20/2021,Street- Southwest Maint Dist,Operations,Pot Hole,732.05,0.00,732.05
20-0891-001,10/11/2020,F,6/23/2021,Street- Southwest Maint Dist,Operations,Pot Hole,"1,233.26",0.00,"1,135.00"
20-0399-011,10/12/2020,F,11/2/2020,Street- Southeast Maint Dist,Operations,Debris/Object in Road,"1,500.00",0.00,0.00
20-0401-001,10/12/2020,F,12/1/2020,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,,0.00,"3,298.00"
20-0432-001,10/12/2020,F,12/1/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,500.00,0.00,500.00
20-0483-001,10/12/2020,F,12/1/2020,Police- Desert Horizon Precinct 600,Police Vehicle,Struck Fixed Object,"2,513.59",0.00,"2,237.58"
20-0487-001,10/12/2020,F,12/11/2020,Street- Southeast Maint Dist,Operations,Debris/Object in Road,386.95,0.00,0.00
20-0527-001,10/12/2020,O,,Fire-Fire Prevention/Resource Mgt/Haz Ma,Fire/EMS Operations,Improper Handling,"880,000.00",0.00,0.00
20-0570-001,10/12/2020,R,1/29/2021,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Mechanical Failure,"17,115.00",0.00,0.00
20-0417-001,10/13/2020,F,1/11/2021,Water Distrib - Reservoir Yard,Operations,Water Main Break,"8,000.00",0.00,0.00
20-0426-001,10/13/2020,F,11/18/2020,Street- Central Maintenance Dist,Operations,Damage by Mobile Equipment,80.00,0.00,0.00
20-0441-001,10/13/2020,F,12/11/2020,Street- Southwest Maint Dist,Operations,Pot Hole,653.66,0.00,326.83
20-0416-001,10/14/2020,F,1/20/2021,Police- S. Mountain Precinct 400,Law Enforcement,Damage to Property,999.00,0.00,999.00
20-0489-001,10/14/2020,F,11/20/2020,Parks- South Division,Operations,Overhanging Tree,508.01,0.00,0.00
20-0556-001,10/14/2020,F,12/11/2020,Pub Wks- Solid Waste Field Services Nort,Medium/Heavy,Failure to Yield,"4,760.00",0.00,0.00
20-0682-001,10/14/2020,F,2/24/2021,Water Distrib - Cave Creek Yard,Operations,Water Main Break,417.22,0.00,417.22
20-0419-001,10/15/2020,F,11/20/2020,Housing-Admin/Occupancy/Mgt Services,Light Truck,Falling Load/Rock,"1,000.00",0.00,0.00
20-0433-001,10/15/2020,F,12/15/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,449.54",0.00,"1,449.54"
20-0968-001,10/16/2020,F,4/8/2021,Non-City Claim,Operations,Other,517.18,0.00,0.00
20-0969-001,10/16/2020,O,,Police - Estrella Mountain Precinct 300,Police Vehicle,Rear End,"19,550.07",0.00,0.00
20-1087-001,10/16/2020,F,6/10/2021,Housing-Senior Hous/Scattered Sites/Sec,Premises,Maint. Building/Premises,"22,976.62",0.00,0.00
20-0488-001,10/17/2020,F,11/30/2020,Water Distrib - Morten Yard,Operations,Change Meter,"1,093.53",0.00,0.00
20-0528-001,10/17/2020,F,3/17/2021,Water Distrib - Morten Yard,Operations,Damage by Mobile Equipment,270.96,0.00,0.00
20-0780-001,10/17/2020,F,4/28/2021,Street- Traffic Ops/Invest/Sign-Stripe,Light Truck,Failure to Yield,"4,711.99",0.00,0.00
20-0945-001,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"1,000,000.00",0.00,0.00
20-0945-002,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"1,000,000.00",0.00,0.00
20-0945-003,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"1,000,000.00",0.00,0.00
20-0945-004,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"5,000,000.00",0.00,0.00
20-0967-001,10/17/2020,F,4/8/2021,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","3,377.71",0.00,0.00
20-1104-001,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-002,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-003,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-004,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-005,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-006,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-007,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-008,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-009,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-010,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-011,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-1104-012,10/17/2020,O,,Police- Central City Precinct 500,Law Enforcement,False Arrest,"3,500,000.00",0.00,0.00
20-0427-001,10/19/2020,F,12/11/2020,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,923.72,0.00,923.72
20-0518-001,10/19/2020,F,3/1/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,500.00,0.00,500.00
20-0675-001,10/19/2020,F,12/28/2020,Transit- Phoenix Transit-Contract,Bus 21-75,Rear End,"18,000.00",0.00,0.00
20-0865-001,10/19/2020,F,3/25/2021,Street- Southeast Maint Dist,Operations,Pot Hole,"1,891.82",0.00,0.00
20-0888-001,10/19/2020,F,4/19/2021,Water Distrib - Morten Yard,Operations,Water Main Break,"3,026.98",0.00,"3,026.98"
20-0452-001,10/20/2020,F,11/12/2020,Street- Southwest Maint Dist,Operations,Debris/Object in Road,789.44,0.00,0.00
20-0460-001,10/20/2020,F,12/3/2020,Police-TechSvcs/Rec-ID/Lab/Com911/Prop M,Law Enforcement,"Care, Custody, Control",200.00,0.00,0.00
20-0936-001,10/20/2020,O,,Police- Squaw Peak Precinct 700,Law Enforcement,Shooting,"12,000,000.00",0.00,0.00
20-0936-002,10/20/2020,O,,Police- Squaw Peak Precinct 700,Law Enforcement,Shooting,,0.00,0.00
20-0936-003,10/20/2020,O,,Police- Squaw Peak Precinct 700,Law Enforcement,Shooting,"12,000,000.00",0.00,0.00
20-0448-001,10/21/2020,F,12/16/2020,Parks- Northwest Division,Premises,Maint. Building/Premises,772.00,0.00,772.00
20-0540-001,10/21/2020,F,12/16/2020,Police- Maryvale Precinct 800,Police Vehicle,Turning,"1,109.96",0.00,"1,359.96"
20-0559-001,10/21/2020,F,3/2/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"3,500.00",0.00,"2,427.63"
20-0474-001,10/22/2020,O,,Housing-Admin/Occupancy/Mgt Services,Employment,Sex Harassment,,0.00,0.00
20-0564-001,10/22/2020,F,3/4/2021,Police- Cactus Park Precinct 900,Law Enforcement,"Care, Custody, Control",281.00,0.00,0.00
20-0725-001,10/22/2020,O,,Police- S. Mountain Precinct 400,Law Enforcement,Damage to Property,"2,800.00",0.00,"2,800.00"
20-0656-001,10/23/2020,F,2/16/2021,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,"1,542.00",0.00,"1,542.00"
20-0980-001,10/23/2020,O,,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Police Vehicle,Emergency Maneuver,"600,000.00",0.00,0.00
20-0813-001,10/24/2020,O,,Fire- Admin/EMS/CAD-Alarm/Safety,Medium/Heavy,Struck Fixed Object,"5,296.06",0.00,0.00
20-0461-001,10/25/2020,F,7/8/2021,Police - Northern Precinct 200,Law Enforcement,Excessive Force,,0.00,0.00
20-0461-002,10/25/2020,F,3/2/2021,Police - Northern Precinct 200,Law Enforcement,Shooting,"2,791.54",0.00,"2,387.86"
20-0461-003,10/25/2020,F,2/1/2021,Police - Northern Precinct 200,Law Enforcement,Shooting,"3,737.49",0.00,"3,734.49"
20-0461-004,10/25/2020,F,4/30/2021,Police - Northern Precinct 200,Law Enforcement,Shooting,446.04,0.00,446.04
20-0478-001,10/25/2020,F,6/18/2021,Parks- Northeast Division,Operations,Overhanging Tree,"3,149.84",0.00,"1,105.77"
20-0521-001,10/25/2020,F,12/29/2020,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Law Enforcement,Shooting,"1,069.02",0.00,"1,069.02"
20-0743-001,10/25/2020,O,,Aviation- Sky Harbor Airport/Terminals,Premises,Other,"500,000.00",0.00,0.00
20-0424-001,10/26/2020,F,12/2/2020,Water Distrib - Reservoir Yard,Operations,Change Meter,260.00,0.00,0.00
