Date,Department,Product Name,Page Views,Adds to Cart,Purchases,Number of Products Purchased
2025-03-29,"Books","Textbook",5786,2903,1648,4944
2025-03-29,"Beauty","Cleanser",8484,1805,973,973
2025-03-29,"Beauty","Shampoo",9236,8624,1404,4212
2025-03-29,"Beauty","EcoStyle Perfume",8841,8028,2145,4290
2025-03-29,"Electronics","Mouse",596,330,106,212
2025-03-29,"Books","Mystery Novel",6604,4510,1123,3369
2025-03-29,"Home & Garden","XL Utensil Set",8069,7460,994,994
2025-03-29,"Beauty","Gray Eye Shadow Palette",5332,3722,2751,2751
2025-03-29,"Sports & Fitness","Protein Shaker",3244,2020,1049,3147
2025-03-29,"Beauty","Purple Cleanser",2750,2319,978,1956
2025-03-29,"Beauty","Face Moisturizer",8499,7343,3159,9477
2025-03-29,"Clothing","Large Running Shoes",8632,3594,840,840
2025-03-29,"Books","Children Book",3651,2926,577,1731
2025-03-29,"Home & Garden","Candle Set",2685,1050,445,1335
2025-03-29,"Home & Garden","Throw Pillow",512,399,64,128
2025-03-29,"Home & Garden","Kitchen Mat",5391,2025,1929,5787
2025-03-29,"Clothing","Sneakers",9488,1691,1159,2318
2025-03-29,"Electronics","SmartChoice Bluetooth Speaker",2606,2372,295,295
2025-03-29,"Home & Garden","PureNature Table Lamp",1170,1047,106,106
2025-03-29,"Sports & Fitness","Standard Water Bottle",6636,5649,559,1677
2025-03-29,"Home & Garden","16oz Cutting Board",9200,7345,4951,9902
2025-03-29,"Books","History Book",1982,1810,1057,1057
2025-03-29,"Books","HomeBasics Magazine Subscription",809,632,147,147
2025-03-29,"Books","Travel Guide",8279,2791,712,1424
2025-03-29,"Beauty","SmartChoice Cleanser",4082,3065,294,588
2025-03-29,"Toys","Building Blocks",8877,4940,558,1116
2025-03-29,"Sports & Fitness","Water Bottle",6844,6245,323,323
2025-03-29,"Books","Science Fiction",2567,634,391,391
2025-03-29,"Clothing","Baseball Cap",1235,338,233,466
2025-03-29,"Sports & Fitness","PureNature Running Armband",2780,762,191,573
2025-03-29,"Electronics","XL Mouse",1681,1164,231,231
2025-03-29,"Books","Graphic Novel",3195,1840,157,157
2025-03-29,"Clothing","Dress Shirt",9973,7456,4627,9254
2025-03-29,"Books","Cookbook",7137,2989,1585,3170
2025-03-29,"Sports & Fitness","Running Armband",1921,1236,379,758
2025-03-29,"Sports & Fitness","Swimming Goggles",4592,2205,366,366
2025-03-29,"Beauty","Hair Dryer",4078,2196,1085,1085
2025-03-29,"Electronics","SmartChoice Smart Watch",6119,4148,893,1786
2025-03-29,"Beauty","Nail Polish",7054,6346,354,708
2025-03-29,"Food & Beverages","Peanut Butter",1949,704,108,108
2025-03-29,"Home & Garden","Towel Set",3970,3336,558,1116
2025-03-29,"Food & Beverages","32oz Olive Oil",3122,2559,432,1296
2025-03-29,"Books","ModernLiving Graphic Novel",8976,6572,4416,4416
2025-03-29,"Food & Beverages","Granola",2891,964,147,147
2025-03-29,"Clothing","16oz Backpack",2776,2477,163,489
2025-03-29,"Toys","Action Figure",5645,3414,3205,6410
2025-03-29,"Toys","Black Robot Toy",6985,5507,717,1434
2025-03-29,"Toys","Robot Toy",3234,2900,535,535
2025-03-29,"Books","Poetry Collection",6583,2266,1275,3825
2025-03-29,"Toys","Musical Instrument",8539,631,451,902
2025-03-29,"Home & Garden","Mixing Bowls",686,218,54,162
2025-03-29,"Toys","Doll House",4173,865,725,2175
2025-03-29,"Food & Beverages","Pasta Set",8049,4312,1585,4755
2025-03-29,"Electronics","HDMI Cable",4649,3109,1011,2022
2025-03-29,"Electronics","Tablet",9012,5357,1329,2658
2025-03-29,"Toys","Stuffed Animal",8587,2737,838,1676
2025-03-29,"Home & Garden","Bed Sheets Set",7343,3290,493,493
2025-03-29,"Clothing","Leather Belt",486,370,84,168
2025-03-29,"Electronics","Webcam",2471,824,134,268
2025-03-29,"Toys","LEGO Set",9355,6127,433,433
2025-03-29,"Books","XL Magazine Subscription",8757,4725,848,848
2025-03-29,"Sports & Fitness","White Yoga Mat",3102,2291,259,259
2025-03-29,"Beauty","Lipstick",7520,5890,1725,1725
2025-03-29,"Toys","Remote Control Car",9994,7008,1031,1031
2025-03-29,"Clothing","Cotton T-Shirt",8136,2252,1319,1319
2025-03-29,"Electronics","Bluetooth Speaker",2487,820,278,834
2025-03-29,"Home & Garden","Utensil Set",2443,1656,1404,2808
2025-03-29,"Beauty","StyleHub Face Mask",4353,2994,864,1728
2025-03-29,"Food & Beverages","Orange Vitamin Supplements",1954,1778,618,618
2025-03-29,"Beauty","Black Face Mask",7796,922,608,1216
2025-03-29,"Clothing","Backpack",912,578,129,258
2025-03-29,"Beauty","Eye Shadow Palette",3865,3128,371,1113
2025-03-29,"Food & Beverages","Cooking Sauce",222,115,12,24
2025-03-29,"Books","Orange Travel Guide",1264,623,223,223
2025-03-29,"Books","Navy Business Book",3012,2188,188,376
2025-03-29,"Sports & Fitness","Bicycle Helmet",9902,5247,728,2184
2025-03-29,"Toys","Board Game",7146,4574,501,501
2025-03-30,"Home & Garden","PureNature Table Lamp",1627,1364,226,678
2025-03-30,"Electronics","HDMI Cable",81,20,11,22
2025-03-30,"Electronics","Mouse",7333,6812,1285,2570
2025-03-30,"Toys","Stuffed Animal",1449,617,120,360
2025-03-30,"Electronics","ModernLiving Laptop Stand",7656,2972,1121,3363
2025-03-30,"Sports & Fitness","XL Foam Roller",7977,3925,362,1086
2025-03-30,"Sports & Fitness","White Yoga Mat",2362,901,95,190
2025-03-30,"Books","Navy Business Book",8727,6855,3648,7296
2025-03-30,"Home & Garden","Throw Pillow",1877,1458,309,927
2025-03-30,"Beauty","Conditioner",7007,6073,404,404
2025-03-30,"Books","Travel Guide",382,316,223,669
2025-03-30,"Beauty","Large Nail Polish",1546,835,567,567
2025-03-30,"Home & Garden","FitLife Wall Art",151,117,20,40
2025-03-30,"Sports & Fitness","Tennis Racket",9345,3394,1057,3171
2025-03-30,"Sports & Fitness","Foam Roller",6780,4157,1271,2542
2025-03-30,"Sports & Fitness","Exercise Ball",2767,1529,523,523
2025-03-30,"Books","StyleHub Science Fiction",565,219,74,222
2025-03-30,"Beauty","Shampoo",1378,437,108,324
2025-03-30,"Clothing","Orange Scarf",942,705,237,237
2025-03-30,"Books","Orange Travel Guide",6894,3459,951,1902
2025-03-30,"Electronics","Pink Laptop Bag",2414,823,296,296
2025-03-30,"Books","Poetry Collection",176,53,26,78
2025-03-30,"Clothing","Backpack",5270,3922,509,1018
2025-03-30,"Books","ClassicWear Fantasy Series",7480,5499,832,2496
2025-03-30,"Books","Children Book",4188,3930,2333,4666
2025-03-30,"Beauty","SmartChoice Cleanser",5217,4238,558,1116
2025-03-30,"Beauty","Face Moisturizer",9365,5749,975,1950
2025-03-30,"Beauty","Purple Cleanser",6438,2581,1780,5340
2025-03-30,"Books","Self-Help Book",1488,1271,224,448
2025-03-30,"Books","HomeBasics Magazine Subscription",4047,3602,308,616
2025-03-30,"Books","ProMax Mystery Novel",2043,1928,228,228
2025-03-30,"Toys","Building Blocks",6646,2944,1307,2614
2025-03-30,"Books","History Book",1541,667,127,381
2025-03-30,"Books","Magazine Subscription",5054,2147,209,627
2025-03-30,"Books","Textbook",4468,4052,470,470
2025-03-30,"Books","Graphic Novel",2764,2168,476,952
2025-03-30,"Home & Garden","Curtains",1265,1046,448,1344
2025-03-30,"Home & Garden","Bed Sheets Set",4141,2549,363,1089
2025-03-30,"Food & Beverages","Protein Bars",8678,5431,1053,3159
2025-03-30,"Sports & Fitness","Premium Resistance Bands",6451,5467,3783,7566
2025-03-30,"Sports & Fitness","Swimming Goggles",2731,1019,378,756
2025-03-30,"Food & Beverages","Granola",7331,3769,2851,2851
2025-03-30,"Electronics","XL HDMI Cable",5533,1699,755,1510
2025-03-30,"Food & Beverages","Olive Oil",9224,8470,1017,3051
2025-03-30,"Toys","HomeBasics Science Kit",7435,6785,1297,3891
2025-03-30,"Toys","Board Game",9121,8029,1351,1351
2025-03-30,"Toys","Black Puzzle Set",9846,3583,467,467
2025-03-30,"Electronics","Webcam",6087,2484,864,864
2025-03-30,"Clothing","Denim Jeans",1826,1238,1018,3054
2025-03-30,"Clothing","Yoga Pants",2668,2431,259,777
2025-03-30,"Sports & Fitness","Water Bottle",3024,1852,167,501
2025-03-30,"Toys","Black Robot Toy",8855,7493,4787,4787
2025-03-30,"Food & Beverages","FitLife Protein Bars",6681,1069,724,2172
2025-03-30,"Books","Science Fiction",7507,6473,592,1184
2025-03-30,"Toys","LEGO Set",2475,557,203,609
2025-03-30,"Home & Garden","Storage Basket",5140,3251,2168,2168
2025-03-30,"Home & Garden","Coffee Maker",8476,4527,1642,1642
2025-03-30,"Toys","ClassicWear Remote Control Car",5933,3469,3069,9207
2025-03-30,"Toys","SmartChoice Educational Toy",803,176,72,216
2025-03-30,"Electronics","StyleHub Laptop Bag",5162,2559,498,498
2025-03-30,"Sports & Fitness","Gym Bag",3685,2098,868,2604
2025-03-30,"Beauty","ClassicWear Foundation",228,213,89,178
2025-03-30,"Books","Art Book",8037,6771,3861,11583
2025-03-30,"Electronics","Wireless Headphones",4785,1903,405,810
2025-03-30,"Clothing","Sneakers",2570,1789,819,819
2025-03-30,"Electronics","Laptop Bag",2924,2677,329,658
2025-03-30,"Electronics","Pink Webcam",2501,1213,119,357
2025-03-30,"Electronics","Power Bank",5913,617,241,241
2025-03-30,"Clothing","Cotton T-Shirt",9662,5020,4653,13959
2025-03-30,"Food & Beverages","32oz Olive Oil",4098,3279,354,354
2025-03-30,"Clothing","16oz Backpack",3673,2272,1441,1441
2025-03-30,"Clothing","Red Socks Pack",326,146,137,137
2025-03-30,"Sports & Fitness","PureNature Running Armband",7251,1929,1115,3345
2025-03-30,"Food & Beverages","Cooking Sauce",8906,1589,1429,4287
2025-03-30,"Sports & Fitness","Standard Water Bottle",9757,8957,703,1406
2025-03-30,"Sports & Fitness","PureNature Gym Bag",4335,2149,319,638
2025-03-30,"Clothing","Large Running Shoes",8097,5403,1130,2260
2025-03-30,"Food & Beverages","Trail Mix",367,307,31,31
2025-03-30,"Clothing","Socks Pack",403,59,46,92
2025-03-30,"Electronics","PureNature USB-C Cable",6444,5104,902,1804
2025-03-30,"Beauty","ProMax Eye Shadow Palette",5782,688,616,1232
2025-03-30,"Food & Beverages","Red Dark Chocolate",4191,3123,287,574
2025-03-30,"Home & Garden","Utensil Set",3997,3237,1942,1942
2025-03-30,"Beauty","Mascara",2687,1899,325,325
2025-03-30,"Toys","Card Game",6257,4712,894,1788
2025-03-30,"Home & Garden","Towel Set",9556,5109,4846,14538
2025-03-30,"Beauty","Cleanser",6022,1771,552,1104
2025-03-30,"Electronics","Tablet",3447,1463,600,600
2025-03-30,"Books","Mystery Novel",9514,5470,1117,2234
2025-03-30,"Clothing","Hoodie",4612,4363,2033,2033
2025-03-31,"Books","ModernLiving Graphic Novel",6498,3879,3112,6224
2025-03-31,"Clothing","Red Socks Pack",9855,6556,3766,11298
2025-03-31,"Home & Garden","Pink Table Lamp",9352,3885,1200,2400
2025-03-31,"Beauty","Makeup Brush Set",1250,64,53,159
2025-03-31,"Electronics","Wireless Headphones",5098,1169,857,2571
2025-03-31,"Beauty","Black Face Mask",7225,2520,1371,1371
2025-03-31,"Electronics","SmartChoice Smart Watch",225,77,37,111
2025-03-31,"Beauty","TechCore Body Lotion",9431,2237,2199,6597
2025-03-31,"Home & Garden","Curtains",7911,5533,4604,9208
2025-03-31,"Electronics","Bluetooth Speaker",2602,1844,1305,1305
2025-03-31,"Toys","Large Play-Doh Set",791,502,103,309
2025-03-31,"Clothing","Yoga Pants",9312,8171,1176,3528
2025-03-31,"Clothing","Dress Shirt",224,201,103,309
2025-03-31,"Books","Mystery Novel",8431,5492,812,812
2025-03-31,"Sports & Fitness","Yoga Mat",4887,3587,1674,1674
2025-03-31,"Electronics","HDMI Cable",7734,3399,2129,6387
2025-03-31,"Sports & Fitness","Tennis Racket",953,238,97,291
2025-03-31,"Clothing","Gloves",3616,2465,796,2388
2025-03-31,"Sports & Fitness","Protein Shaker",1858,903,394,394
2025-03-31,"Books","XL Magazine Subscription",5651,4820,552,552
2025-03-31,"Electronics","Tablet",585,485,28,56
2025-03-31,"Clothing","Winter Jacket",2520,1269,1206,2412
2025-03-31,"Books","Textbook",4326,3013,845,845
2025-03-31,"Clothing","Baseball Cap",565,457,47,47
2025-03-31,"Beauty","StyleHub Face Mask",5334,4299,1622,4866
2025-03-31,"Clothing","Running Shoes",8748,5532,2560,2560
2025-03-31,"Beauty","EcoStyle Perfume",5721,4844,317,634
2025-03-31,"Beauty","Nail Polish",3418,2113,232,232
2025-03-31,"Sports & Fitness","Bicycle Helmet",195,112,21,42
2025-03-31,"Books","Art Book",6066,4291,321,642
2025-03-31,"Books","HomeBasics Magazine Subscription",8233,3305,758,2274
2025-03-31,"Books","Business Book",8383,2152,1945,5835
2025-03-31,"Sports & Fitness","Standard Water Bottle",2883,2510,560,560
2025-03-31,"Home & Garden","Mixing Bowls",7069,584,309,927
2025-03-31,"Electronics","Monitor",557,144,36,36
2025-03-31,"Books","ProMax Mystery Novel",7716,6605,3503,7006
2025-03-31,"Beauty","HomeBasics Mascara",9169,4617,701,2103
2025-03-31,"Electronics","Webcam",3517,1729,1530,1530
2025-03-31,"Electronics","Pink Webcam",8098,4709,1418,2836
2025-03-31,"Sports & Fitness","PureNature Gym Bag",2705,1748,466,932
2025-03-31,"Sports & Fitness","Running Armband",3115,1069,373,373
2025-03-31,"Books","Children Book",3000,1672,1563,1563
2025-03-31,"Electronics","Keyboard",5947,3066,837,837
2025-03-31,"Books","Yellow Biography",613,425,46,92
2025-03-31,"Home & Garden","Kitchen Mat",6670,4626,462,1386
2025-03-31,"Clothing","Hoodie",2227,1258,261,783
2025-03-31,"Electronics","ModernLiving Laptop Stand",8857,7861,1220,1220
2025-03-31,"Beauty","Shampoo",56,43,10,10
2025-03-31,"Sports & Fitness","Gym Bag",1370,954,729,2187
2025-03-31,"Sports & Fitness","White Yoga Mat",7969,7295,1924,3848
2025-03-31,"Sports & Fitness","Exercise Ball",3953,1971,650,650
2025-03-31,"Sports & Fitness","Basketball",2747,302,283,283
2025-03-31,"Electronics","Standard Laptop Stand",1047,620,422,422
2025-03-31,"Beauty","Eye Shadow Palette",6171,3401,2129,2129
2025-03-31,"Books","ClassicWear Fantasy Series",4349,2329,1926,5778
2025-03-31,"Beauty","Conditioner",599,484,75,225
2025-03-31,"Electronics","Laptop Bag",3277,1696,1373,4119
2025-03-31,"Sports & Fitness","Jump Rope",2235,279,125,250
2025-03-31,"Beauty","Body Lotion",6149,1677,396,396
2025-03-31,"Beauty","Orange Perfume",4608,2801,585,585
2025-03-31,"Sports & Fitness","Dumbbell Set",7972,7338,4488,13464
2025-03-31,"Clothing","Orange Scarf",2924,1543,843,1686
2025-03-31,"Books","StyleHub Science Fiction",8298,5154,2846,8538
2025-03-31,"Home & Garden","PureNature Table Lamp",3618,298,216,648
2025-03-31,"Home & Garden","White Towel Set",4371,2016,1379,1379
2025-03-31,"Books","Biography",3111,2149,272,544
2025-03-31,"Beauty","Face Mask",3493,1001,950,1900
2025-03-31,"Beauty","Face Moisturizer",5323,3338,785,2355
2025-03-31,"Books","Science Fiction",549,250,82,246
2025-03-31,"Sports & Fitness","XL Foam Roller",3026,2681,1144,2288
2025-03-31,"Beauty","Lipstick",5646,5183,457,914
2025-03-31,"Clothing","Large Running Shoes",3588,3255,445,890
2025-03-31,"Beauty","Serum",6114,3798,273,819
2025-03-31,"Clothing","Socks Pack",2185,1963,172,172
2025-03-31,"Sports & Fitness","Foam Roller",9340,3991,1483,1483
2025-03-31,"Sports & Fitness","Swimming Goggles",1636,978,173,346
2025-03-31,"Home & Garden","Cutting Board",4888,2239,266,532
2025-03-31,"Sports & Fitness","PureNature Running Armband",9736,7271,679,2037
2025-03-31,"Home & Garden","Wall Art",1463,647,271,271
2025-03-31,"Home & Garden","16oz Cutting Board",8342,7018,2965,5930
2025-03-31,"Clothing","ClassicWear Backpack",6659,3156,3147,9441
2025-03-31,"Books","Travel Guide",2972,631,549,549
2025-03-31,"Sports & Fitness","Fitness Tracker",753,209,147,441
2025-03-31,"Home & Garden","Throw Pillow",8802,7531,3442,6884
2025-03-31,"Books","Cookbook",9198,8354,839,1678
2025-03-31,"Books","Orange Travel Guide",727,364,86,172
2025-03-31,"Books","Poetry Collection",9214,8720,5357,10714
2025-03-31,"Toys","Building Blocks",9106,2228,555,555
2025-03-31,"Home & Garden","FitLife Wall Art",78,69,33,66
2025-03-31,"Home & Garden","Table Lamp",4680,4285,1836,3672
2025-04-01,"Food & Beverages","32oz Olive Oil",8677,3212,2488,7464
2025-04-01,"Electronics","Laptop Stand",4199,947,487,974
2025-04-01,"Electronics","USB-C Cable",6732,5990,2684,2684
2025-04-01,"Electronics","Smart Watch",6638,2462,1087,2174
2025-04-01,"Home & Garden","Coffee Maker",56,43,5,5
2025-04-01,"Home & Garden","Mixing Bowls",7378,2500,1245,2490
2025-04-01,"Home & Garden","Curtains",1177,595,90,90
2025-04-01,"Home & Garden","16oz Cutting Board",1912,983,79,158
2025-04-01,"Toys","Educational Toy",4722,3883,733,2199
2025-04-01,"Toys","Black Puzzle Set",2828,1524,422,1266
2025-04-01,"Home & Garden","Storage Basket",3244,394,384,768
2025-04-01,"Food & Beverages","Honey Jar",3507,3265,1603,4809
2025-04-01,"Electronics","Brown Tablet",7414,6302,3072,6144
2025-04-01,"Books","ClassicWear Fantasy Series",6671,6273,942,1884
2025-04-01,"Electronics","Laptop Bag",3700,1591,559,559
2025-04-01,"Books","Navy Business Book",9728,9151,1091,2182
2025-04-01,"Sports & Fitness","Premium Resistance Bands",4234,3626,402,804
2025-04-01,"Electronics","Standard Laptop Stand",370,212,30,60
2025-04-01,"Books","Business Book",1394,1145,106,106
2025-04-01,"Electronics","Webcam",9735,8449,1118,2236
2025-04-01,"Toys","Small Action Figure",4302,590,205,615
2025-04-01,"Food & Beverages","Pasta Set",5359,2899,225,450
2025-04-01,"Electronics","Wireless Headphones",714,191,38,38
2025-04-01,"Sports & Fitness","Water Bottle",140,132,48,144
2025-04-01,"Beauty","Large Nail Polish",8146,6633,3164,3164
2025-04-01,"Toys","Play-Doh Set",5552,2207,407,407
2025-04-01,"Beauty","Mascara",6760,6164,981,981
2025-04-01,"Beauty","Gray Lipstick",9220,7861,1837,1837
2025-04-01,"Clothing","StyleHub Baseball Cap",1271,217,129,258
2025-04-01,"Clothing","Denim Jeans",3020,507,362,724
2025-04-01,"Food & Beverages","Vitamin Supplements",912,592,339,1017
2025-04-01,"Electronics","Pink Webcam",4361,2586,767,1534
2025-04-01,"Books","Poetry Collection",4151,1074,785,2355
2025-04-01,"Sports & Fitness","White Yoga Mat",1903,1159,936,1872
2025-04-01,"Sports & Fitness","ClassicWear Swimming Goggles",8761,6040,1737,1737
2025-04-01,"Beauty","Hair Dryer",1621,939,269,807
2025-04-01,"Home & Garden","Throw Pillow",9617,8438,759,759
2025-04-01,"Books","Art Book",1177,963,162,486
2025-04-01,"Food & Beverages","Organic Coffee",4117,3799,441,1323
2025-04-01,"Food & Beverages","Spice Collection",1906,1187,705,2115
2025-04-01,"Beauty","Purple Cleanser",9498,5606,1254,1254
2025-04-01,"Clothing","Socks Pack",1453,1296,276,276
2025-04-01,"Electronics","XL HDMI Cable",8084,7251,3159,3159
2025-04-01,"Sports & Fitness","Resistance Bands",3213,2159,406,812
2025-04-01,"Toys","Science Kit",5073,3506,3034,6068
2025-04-01,"Beauty","ProMax Eye Shadow Palette",1640,429,126,252
2025-04-01,"Electronics","SmartChoice Smart Watch",7005,4644,3791,3791
2025-04-01,"Toys","ClassicWear Robot Toy",7238,3964,897,1794
2025-04-01,"Electronics","Keyboard",5888,3168,2233,4466
2025-04-01,"Home & Garden","XL Utensil Set",9560,8974,1774,3548
2025-04-01,"Toys","Doll House",6369,5438,931,1862
2025-04-01,"Clothing","Backpack",6840,2327,794,794
2025-04-01,"Clothing","Baseball Cap",7822,4821,728,2184
2025-04-01,"Electronics","XL Smart Watch",2191,1623,115,115
2025-04-01,"Home & Garden","Small Storage Basket",7814,7285,3636,7272
2025-04-01,"Toys","XL Science Kit",9482,8465,4679,4679
2025-04-01,"Electronics","ModernLiving Laptop Stand",270,116,63,63
2025-04-01,"Food & Beverages","Dark Chocolate",4165,967,402,804
2025-04-01,"Toys","ClassicWear Remote Control Car",6735,5312,748,2244
2025-04-01,"Beauty","Body Lotion",2062,1529,368,736
2025-04-01,"Toys","Green Art Supplies Kit",1556,1237,500,1500
2025-04-01,"Home & Garden","Table Lamp",731,394,134,268
2025-04-01,"Beauty","Deluxe Serum",6238,1332,879,1758
2025-04-01,"Beauty","Black Face Mask",5041,1109,309,927
2025-04-01,"Toys","Black LEGO Set",8350,2460,1160,1160
2025-04-01,"Beauty","Face Moisturizer",2323,472,171,342
2025-04-01,"Clothing","Sneakers",3340,1073,531,1593
2025-04-01,"Electronics","PureNature USB-C Cable",6226,5278,1091,2182
2025-04-01,"Clothing","Gray Gloves",6218,4363,325,975
2025-04-01,"Sports & Fitness","Tennis Racket",8588,3606,972,972
2025-04-01,"Clothing","Leather Belt",1938,1616,338,1014
2025-04-01,"Electronics","XL Mouse",4887,3318,1623,3246
2025-04-01,"Books","HomeBasics Magazine Subscription",7919,6268,3025,9075
2025-04-01,"Electronics","HDMI Cable",9194,4672,538,1614
2025-04-01,"Sports & Fitness","Jump Rope",9930,8197,1670,5010
2025-04-01,"Toys","Musical Instrument",6466,3588,2079,6237
2025-04-01,"Electronics","SmartChoice Bluetooth Speaker",5707,4348,2399,2399
2025-04-01,"Home & Garden","Area Rug",1297,1172,82,164
2025-04-01,"Clothing","16oz Backpack",4836,3713,786,786
2025-04-01,"Home & Garden","Pink Area Rug",4792,2444,781,2343
2025-04-01,"Toys","LEGO Set",1600,446,249,747
2025-04-01,"Books","XL Magazine Subscription",6415,3699,1524,3048
2025-04-01,"Toys","SmartChoice Educational Toy",4781,4468,2607,7821
2025-04-01,"Sports & Fitness","PureNature Gym Bag",7308,4167,1239,1239
2025-04-01,"Books","Travel Guide",2230,283,139,139
2025-04-01,"Books","Science Fiction",10007,7825,5644,5644
2025-04-01,"Clothing","Winter Jacket",1987,799,354,1062
2025-04-01,"Books","Graphic Novel",1459,1320,462,1386
2025-04-01,"Toys","Large Play-Doh Set",5728,1170,587,1761
2025-04-01,"Sports & Fitness","XL Foam Roller",3950,915,905,905
2025-04-02,"Sports & Fitness","Swimming Goggles",3914,2453,501,501
2025-04-02,"Electronics","Pink Laptop Bag",9058,7168,434,868
2025-04-02,"Food & Beverages","FitLife Peanut Butter",671,359,93,93
2025-04-02,"Electronics","XL HDMI Cable",3774,3017,1086,2172
2025-04-02,"Electronics","ProMax Monitor",4289,1566,358,358
2025-04-02,"Toys","Board Game",4195,1887,263,263
2025-04-02,"Food & Beverages","Orange Vitamin Supplements",7108,4722,946,946
2025-04-02,"Food & Beverages","Medium Trail Mix",4254,1729,1366,2732
2025-04-02,"Sports & Fitness","Premium Resistance Bands",10045,8496,2074,4148
2025-04-02,"Electronics","Laptop Bag",7008,5347,3157,6314
2025-04-02,"Books","Navy Business Book",8759,4422,609,609
2025-04-02,"Electronics","Keyboard",5562,3736,2997,5994
2025-04-02,"Clothing","Cotton T-Shirt",6112,4570,1067,1067
2025-04-02,"Clothing","StyleHub Baseball Cap",9907,6993,3079,6158
2025-04-02,"Electronics","Monitor",3557,2309,251,753
2025-04-02,"Sports & Fitness","Yoga Mat",84,61,48,48
2025-04-02,"Food & Beverages","Pasta Set",1909,473,377,754
2025-04-02,"Sports & Fitness","Jump Rope",6875,2657,447,1341
2025-04-02,"Books","ModernLiving Graphic Novel",3970,2123,606,1212
2025-04-02,"Clothing","16oz Backpack",5838,4625,1571,1571
2025-04-02,"Clothing","Large Running Shoes",7392,4909,676,1352
2025-04-02,"Electronics","Screen Protector",2041,1170,150,150
2025-04-02,"Electronics","ModernLiving Laptop Stand",7361,2599,1608,1608
2025-04-02,"Clothing","Backpack",2487,2093,1319,3957
2025-04-02,"Books","ModernLiving Poetry Collection",9257,6952,1435,1435
2025-04-02,"Toys","Doll House",7617,5423,692,692
2025-04-02,"Electronics","Webcam",4429,2695,832,2496
2025-04-02,"Toys","Small Action Figure",9580,2705,675,2025
2025-04-02,"Sports & Fitness","ClassicWear Swimming Goggles",5582,2550,570,1140
2025-04-02,"Food & Beverages","FitLife Dark Chocolate",964,760,117,351
2025-04-02,"Electronics","USB-C Cable",158,72,15,45
2025-04-02,"Electronics","Laptop Stand",4945,4506,730,2190
2025-04-02,"Clothing","Socks Pack",4244,2029,514,1542
2025-04-02,"Beauty","Purple Cleanser",7678,5770,397,397
2025-04-02,"Electronics","XL Smart Watch",7886,5584,2030,6090
2025-04-02,"Sports & Fitness","Exercise Ball",1643,1325,371,371
2025-04-02,"Books","Fantasy Series",453,374,88,88
2025-04-02,"Books","Poetry Collection",5729,3703,478,478
2025-04-02,"Electronics","Bluetooth Speaker",6579,3896,2177,4354
2025-04-02,"Clothing","Yoga Pants",1720,389,178,356
2025-04-02,"Clothing","Red Socks Pack",460,132,121,363
2025-04-02,"Toys","Stuffed Animal",870,184,162,486
2025-04-02,"Books","HomeBasics Magazine Subscription",3948,777,342,684
2025-04-02,"Electronics","StyleHub Laptop Bag",1688,1550,146,438
2025-04-02,"Electronics","Phone Case",2027,1050,290,870
2025-04-02,"Food & Beverages","Trail Mix",9818,5500,2914,2914
2025-04-02,"Electronics","Standard Laptop Stand",2806,1334,210,210
2025-04-02,"Toys","Card Game",4896,4398,2476,7428
2025-04-02,"Electronics","Smart Watch",9246,7469,1760,3520
2025-04-02,"Electronics","PureNature USB-C Cable",3529,3187,1442,1442
2025-04-02,"Clothing","Dress Shirt",2816,1942,534,1068
2025-04-02,"Electronics","Tablet",5374,1611,377,754
2025-04-02,"Books","Self-Help Book",2829,1121,346,1038
2025-04-02,"Clothing","Baseball Cap",4182,1546,737,737
2025-04-02,"Electronics","SmartChoice Smart Watch",8117,6192,3858,3858
2025-04-02,"Toys","HomeBasics Science Kit",4681,4032,783,1566
2025-04-02,"Sports & Fitness","Dumbbell Set",6748,1390,1192,3576
2025-04-02,"Electronics","Brown Tablet",3827,820,390,780
2025-04-02,"Electronics","Mouse",3841,989,298,894
2025-04-02,"Electronics","TechCore Screen Protector",5549,2616,557,1671
2025-04-02,"Electronics","XL Mouse",1870,1299,1113,2226
2025-04-02,"Sports & Fitness","Fitness Tracker",4558,4040,700,2100
2025-04-02,"Clothing","Leather Belt",5841,3740,2075,2075
2025-04-02,"Sports & Fitness","Tennis Racket",7035,2097,956,1912
2025-04-02,"Clothing","Denim Jeans",6820,2519,1351,1351
2025-04-02,"Food & Beverages","Spice Collection",9798,7917,1560,1560
2025-04-02,"Electronics","Power Bank",3042,1321,165,330
2025-04-02,"Sports & Fitness","XL Foam Roller",8398,1603,681,1362
2025-04-02,"Clothing","Orange Scarf",1975,1257,765,765
2025-04-02,"Books","Children Book",4656,628,370,740
2025-04-02,"Food & Beverages","Organic Coffee",130,17,13,39
2025-04-02,"Food & Beverages","Red Dark Chocolate",7226,3341,3338,6676
2025-04-02,"Books","History Book",4152,3501,193,193
2025-04-02,"Electronics","Pink Webcam",7480,4695,760,760
2025-04-02,"Sports & Fitness","White Yoga Mat",6391,5515,1086,1086
2025-04-02,"Clothing","Scarf",5821,2231,569,1138
2025-04-02,"Toys","LEGO Set",6311,3683,871,2613
2025-04-02,"Books","Cookbook",9665,8251,1365,2730
2025-04-02,"Beauty","Cleanser",4309,3728,1529,1529
2025-04-02,"Books","Art Book",3664,1802,369,369
2025-04-02,"Clothing","Sunglasses",240,74,27,27
