index,collision id,borough,contributing factor vehicle 1,crash date,crash time,location,vehicle type code 1,vehicle type code 2,number of motorist injured,number of persons killed,zip code,contributing factor vehicle 2,contributing factor vehicle 4,cross street name,vehicle type code 3
154,BROOKLYN,Alcohol Involvement,12/29/2024,1899-12-30 03:07:00,"(40.64403, -73.93942)",Sedan,Station Wagon/Sport Utility Vehicle,1,0,11203,Unspecified,,,Sedan,
155,,Unspecified,12/29/2024,1899-12-30 14:43:00,"(40.744526, -73.77161)",Sedan,Sedan,2,0,,Unspecified,,,Sedan,
156,QUEENS,Driver Inexperience,12/29/2024,1899-12-30 06:25:00,"(40.750004, -73.89923)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11377,Unspecified,,63 ST,,
157,QUEENS,Passing Too Closely,12/29/2024,1899-12-30 02:13:00,"(40.727383, -73.8641)",Sedan,Sedan,0,0,11374,Unspecified,,AUSTIN ST,Sedan,
158,,Failure to Yield Right-of-Way,12/29/2024,1899-12-30 22:36:00,"(40.837406, -73.860535)",Sedan,,0,0,,,,PARKCHESTER RD,,
159,BROOKLYN,Unspecified,12/29/2024,1899-12-30 12:30:00,"(40.69014, -73.934975)",Sedan,,0,0,11221,,,,,
160,QUEENS,Unspecified,12/29/2024,1899-12-30 15:40:00,"(40.75855, -73.892525)",Sedan,Sedan,1,0,11370,Unspecified,,31 AVE,Moped,
161,QUEENS,Unspecified,12/29/2024,1899-12-30 06:00:00,"(40.716465, -73.763794)",Sedan,Sedan,0,0,11423,Unspecified,Unspecified,,Sedan,
162,QUEENS,Following Too Closely,12/28/2024,1899-12-30 18:48:00,"(40.753376, -73.93125)",Sedan,,0,0,11101,Unspecified,,38 AVE,,
163,BRONX,Unspecified,12/28/2024,1899-12-30 10:15:00,"(40.828026, -73.84992)",Sedan,,0,0,10472,,,,,
164,,Pavement Slippery,12/28/2024,1899-12-30 15:00:00,"(40.627453, -74.13789)",Sedan,Sedan,1,0,,Unspecified,,BARRETT AVE,,
165,QUEENS,Unspecified,12/28/2024,1899-12-30 17:40:00,"(40.74356, -73.70767)",Sedan,Station Wagon/Sport Utility Vehicle,2,0,11004,Unspecified,,263 ST,,
166,QUEENS,Unspecified,12/28/2024,1899-12-30 17:00:00,"(40.700275, -73.81148)",Station Wagon/Sport Utility Vehicle,,0,0,11435,,,,,
167,BROOKLYN,Driver Inattention/Distraction,12/28/2024,1899-12-30 22:40:00,"(40.632393, -73.99529)",Station Wagon/Sport Utility Vehicle,,0,0,11219,,,NEW UTRECHT AVE,,
168,BROOKLYN,Driver Inattention/Distraction,12/28/2024,1899-12-30 13:08:00,"(40.604164, -73.99847)",Pick-up Truck,Sedan,0,0,11214,Unspecified,,,,
169,QUEENS,Driver Inattention/Distraction,12/28/2024,1899-12-30 07:45:00,"(40.742523, -73.949234)",Sedan,Sedan,0,0,11101,Unspecified,Unspecified,49 AVE,Sedan,
170,BROOKLYN,Driver Inexperience,12/28/2024,1899-12-30 11:34:00,"(40.692356, -73.91106)",Sedan,,0,0,11221,Unspecified,,HANCOCK ST,,
171,BROOKLYN,Driver Inattention/Distraction,12/28/2024,1899-12-30 06:36:00,"(40.6691, -73.93665)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11213,Unspecified,,TROY AVE,,
172,QUEENS,Driver Inattention/Distraction,12/28/2024,1899-12-30 20:30:00,"(40.707478, -73.75243)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11412,Unspecified,,,,
173,BROOKLYN,Alcohol Involvement,12/28/2024,1899-12-30 17:05:00,"(40.60547, -73.997574)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11214,Unspecified,,,,
174,BROOKLYN,Other Vehicular,12/28/2024,1899-12-30 15:47:00,"(40.621426, -73.92404)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,11234,Driverless/Runaway Vehicle,,,,
175,BROOKLYN,Failure to Yield Right-of-Way,12/28/2024,1899-12-30 17:00:00,"(40.596745, -73.98527)",Sedan,,0,0,11214,,,86 ST,,
176,BRONX,Backing Unsafely,12/28/2024,1899-12-30 20:37:00,"(40.864754, -73.88889)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,10458,Unspecified,,DECATUR AVE,,
177,BROOKLYN,Unspecified,12/28/2024,1899-12-30 13:00:00,"(40.693375, -73.957924)",Sedan,Sedan,0,0,11205,Unspecified,,,,
178,STATEN ISLAND,Backing Unsafely,12/28/2024,1899-12-30 09:45:00,"(0.0, 0.0)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,10309,Unspecified,,,,
179,QUEENS,Unspecified,12/28/2024,1899-12-30 07:04:00,"(40.678852, -73.787384)",Station Wagon/Sport Utility Vehicle,,0,0,11434,,,,,
180,QUEENS,Failure to Yield Right-of-Way,12/28/2024,1899-12-30 19:35:00,"(40.75672, -73.914215)",Sedan,,0,0,11103,,,BROADWAY,,
181,BROOKLYN,Driver Inattention/Distraction,12/28/2024,1899-12-30 18:30:00,"(40.69131, -73.91325)",Station Wagon/Sport Utility Vehicle,,0,0,11221,Unspecified,,JEFFERSON AVE,,
182,,Unspecified,12/28/2024,1899-12-30 08:38:00,"(40.827732, -73.84374)",Sedan,,0,0,,,,ZEREGA AVENUE,,
183,BROOKLYN,Driver Inattention/Distraction,12/27/2024,1899-12-30 21:05:00,"(40.584915, -73.96287)",Sedan,,3,0,11235,Unspecified,,,,
184,BROOKLYN,Reaction to Uninvolved Vehicle,12/27/2024,1899-12-30 09:50:00,"(40.606358, -74.003815)",Station Wagon/Sport Utility Vehicle,Box Truck,1,0,11214,Reaction to Uninvolved Vehicle,,,,
185,BROOKLYN,Unspecified,12/27/2024,1899-12-30 06:50:00,"(40.68984, -73.97862)",Carry All,Pick-up Truck,0,0,11201,Unspecified,,ASHLAND PL,,
186,MANHATTAN,Unspecified,12/27/2024,1899-12-30 19:30:00,"(40.75587, -73.972824)",Sedan,Box Truck,0,0,10017,Unspecified,,LEXINGTON AVE,,
187,,Following Too Closely,12/27/2024,1899-12-30 11:22:00,"(40.8065, -73.90803)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,,,
188,BROOKLYN,Unspecified,12/27/2024,1899-12-30 13:00:00,"(0.0, 0.0)",,,0,0,11214,,,,,
189,BRONX,Unspecified,12/27/2024,1899-12-30 18:16:00,"(40.862156, -73.910866)",Sedan,Sedan,0,0,10468,Unspecified,,,,
190,BROOKLYN,Unspecified,12/27/2024,1899-12-30 15:30:00,"(40.62051, -73.99247)",Sedan,Sedan,0,0,11204,Unspecified,,17 AVE,,
191,MANHATTAN,Driver Inattention/Distraction,12/27/2024,1899-12-30 15:54:00,"(40.86177, -73.91847)",Sedan,Carry All,1,0,10034,Unspecified,,9 AVE,,
192,QUEENS,,12/27/2024,1899-12-30 21:00:00,"(40.74738, -73.91388)",E-Scooter,,0,0,11377,,,,,
193,QUEENS,Unspecified,12/27/2024,1899-12-30 17:00:00,"(40.725773, -73.87647)",Sedan,,0,0,11379,,,,,
194,STATEN ISLAND,Driver Inattention/Distraction,12/27/2024,1899-12-30 19:25:00,"(40.5415, -74.16253)",Station Wagon/Sport Utility Vehicle,E-Scooter,0,0,10312,Unspecified,,RICHMOND AVE,,
195,BROOKLYN,Unspecified,12/27/2024,1899-12-30 09:00:00,"(40.657246, -73.89012)",Station Wagon/Sport Utility Vehicle,,0,0,11207,,,,,
196,MANHATTAN,Turning Improperly,12/27/2024,1899-12-30 10:00:00,"(40.86676, -73.92061)",Box Truck,Taxi,1,0,10034,Unspecified,,VERMILYEA AVE,,
197,QUEENS,Passing Too Closely,12/27/2024,1899-12-30 09:37:00,"(40.73247, -73.86164)",Sedan,Moped,1,0,11374,Unspecified,,97 ST,,
198,BROOKLYN,Passing Too Closely,12/27/2024,1899-12-30 14:00:00,"(40.625416, -73.93162)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11234,Unspecified,,,,
199,QUEENS,Driver Inattention/Distraction,12/27/2024,1899-12-30 19:00:00,"(40.758453, -73.89347)",Sedan,,0,0,11370,,,74 ST,,
200,BRONX,Backing Unsafely,12/27/2024,1899-12-30 19:49:00,"(40.820503, -73.88809)",Pick-up Truck,Pick-up Truck,0,0,10474,Unspecified,,GARRISON AVE,,
201,BROOKLYN,Unsafe Speed,12/27/2024,1899-12-30 22:30:00,"(40.685635, -73.92959)",Sedan,,0,0,11221,Unspecified,,MALCOLM X BLVD,,
202,BROOKLYN,Backing Unsafely,12/27/2024,1899-12-30 09:00:00,"(40.6647, -73.87148)",Station Wagon/Sport Utility Vehicle,Box Truck,0,0,11208,Unspecified,,STANLEY AVE,,
203,STATEN ISLAND,Unspecified,12/26/2024,1899-12-30 14:00:00,"(40.585922, -74.105255)",Station Wagon/Sport Utility Vehicle,Sedan,2,0,10306,Unspecified,,JEFFERSON AVE,Station Wagon/Sport Utility Vehicle,
204,BROOKLYN,Failure to Keep Right,12/26/2024,1899-12-30 18:06:00,"(40.606148, -73.99795)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11214,Unspecified,,,Station Wagon/Sport Utility Vehicle,
205,BROOKLYN,Unspecified,12/26/2024,1899-12-30 20:30:00,"(40.639614, -73.932014)",Sedan,,0,0,11203,Unspecified,,FOSTER AVE,,
206,BROOKLYN,Driver Inexperience,12/26/2024,1899-12-30 16:10:00,"(40.66464, -73.93918)",Motorcycle,Station Wagon/Sport Utility Vehicle,0,0,11213,Unspecified,,,,
207,QUEENS,Unspecified,12/26/2024,1899-12-30 16:40:00,"(40.598606, -73.76459)",Sedan,,0,0,11691,,,,,
208,BROOKLYN,Unspecified,12/26/2024,1899-12-30 08:00:00,"(40.698772, -73.92233)",Station Wagon/Sport Utility Vehicle,,0,0,11221,,,STANHOPE ST,,
209,BROOKLYN,Driver Inattention/Distraction,12/26/2024,1899-12-30 21:17:00,"(40.61188, -73.99381)",Station Wagon/Sport Utility Vehicle,Bus,1,0,11204,Unspecified,,,,
210,,Driver Inattention/Distraction,12/26/2024,1899-12-30 23:45:00,"(40.71702, -73.830505)",Sedan,,1,0,,Unspecified,,,,
211,MANHATTAN,Steering Failure,12/26/2024,1899-12-30 12:25:00,"(40.856075, -73.9304)",Box Truck,Station Wagon/Sport Utility Vehicle,1,0,10040,Unspecified,Unspecified,W 191 ST,Sedan,
212,QUEENS,Backing Unsafely,12/26/2024,1899-12-30 08:44:00,"(0.0, 0.0)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,11432,Unspecified,,,,
213,BROOKLYN,Other Vehicular,12/26/2024,1899-12-30 18:25:00,"(40.6526, -73.910255)",Sedan,Sedan,1,0,11236,Reaction to Uninvolved Vehicle,,,Box Truck,
214,BROOKLYN,Driver Inattention/Distraction,12/26/2024,1899-12-30 11:23:00,"(40.60144, -74.00154)",Sedan,,0,0,11214,,,BATH AVE,,
215,,Unsafe Speed,12/26/2024,1899-12-30 05:12:00,"(40.6314, -74.016136)",Sedan,,1,0,,,,,,
216,,Pavement Slippery,12/26/2024,1899-12-30 02:45:00,"(40.81232, -73.96571)",Sedan,,0,0,,,,,,
217,BROOKLYN,Driver Inattention/Distraction,12/25/2024,1899-12-30 10:30:00,"(40.619133, -73.99018)",Sedan,Station Wagon/Sport Utility Vehicle,1,0,11204,Unspecified,,18 AVE,,
218,QUEENS,Unspecified,12/25/2024,1899-12-30 17:50:00,"(40.759895, -73.82394)",Station Wagon/Sport Utility Vehicle,E-Bike,0,0,11355,Unspecified,,41 AVE,,
219,BROOKLYN,Unspecified,12/25/2024,1899-12-30 11:30:00,"(40.63971, -74.01064)",Sedan,Sedan,0,0,11220,Unspecified,,,,
220,BROOKLYN,Failure to Yield Right-of-Way,12/25/2024,1899-12-30 19:12:00,"(40.646885, -73.94915)",Sedan,,0,0,11226,,,TILDEN AVE,,
221,MANHATTAN,Unspecified,12/25/2024,1899-12-30 23:00:00,"(40.856075, -73.9304)",Pick-up Truck,Sedan,0,0,10040,Unspecified,,W 191 ST,,
222,,Unspecified,12/25/2024,1899-12-30 01:05:00,"(40.595177, -73.99801)",Sedan,,0,0,,,,,,
223,QUEENS,Unspecified,12/25/2024,1899-12-30 04:30:00,"(40.725853, -73.72542)",Sedan,,2,0,11426,,,BRADDOCK AVENUE,,
224,QUEENS,Unspecified,12/25/2024,1899-12-30 14:00:00,"(40.68538, -73.77967)",Sedan,,0,0,11434,,,FOCH BLVD,,
225,BROOKLYN,Unspecified,12/25/2024,1899-12-30 22:48:00,"(40.67338, -73.953094)",Sedan,,0,0,11216,,,,,
226,BRONX,Turning Improperly,12/24/2024,1899-12-30 12:21:00,"(40.875572, -73.87881)",Sedan,Box Truck,0,0,10467,Unspecified,,,,
227,BRONX,Traffic Control Disregarded,12/24/2024,1899-12-30 23:15:00,"(40.808163, -73.92652)",Sedan,Taxi,1,0,10454,Unspecified,,ALEXANDER AVE,,
228,BROOKLYN,Backing Unsafely,12/24/2024,1899-12-30 01:33:00,"(40.611095, -73.99358)",Sedan,Sedan,1,0,11214,Driver Inattention/Distraction,,,,
229,QUEENS,Traffic Control Disregarded,12/24/2024,1899-12-30 10:48:00,"(40.7451, -73.823845)",Sedan,Sedan,0,0,11355,Unspecified,,58 AVE,,
230,MANHATTAN,Traffic Control Disregarded,12/24/2024,1899-12-30 18:12:00,"(40.795956, -73.970825)",Taxi,,0,0,10025,Unspecified,,BROADWAY,,
231,QUEENS,Unspecified,12/24/2024,1899-12-30 00:00:00,"(40.74219, -73.86594)",Sedan,,0,0,11368,,,,,
232,BROOKLYN,Following Too Closely,12/24/2024,1899-12-30 09:00:00,"(40.659412, -73.87079)",Station Wagon/Sport Utility Vehicle,Sedan,1,0,11208,Unspecified,,FLATLANDS AVE,,
233,MANHATTAN,Following Too Closely,12/24/2024,1899-12-30 09:33:00,"(40.7488, -73.96985)",Sedan,Station Wagon/Sport Utility Vehicle,1,0,10017,Unspecified,,1 AVE,Station Wagon/Sport Utility Vehicle,
234,QUEENS,Unspecified,12/24/2024,1899-12-30 12:06:00,"(40.751324, -73.8282)",Sedan,,0,0,11355,,,,,
235,BROOKLYN,Unspecified,12/23/2024,1899-12-30 08:05:00,"(40.72962, -73.95122)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11222,Unspecified,,,,
236,,Pavement Slippery,12/23/2024,1899-12-30 01:40:00,"(40.700737, -73.99499)",Moped,,2,0,,,,,,
237,,Alcohol Involvement,12/23/2024,1899-12-30 16:40:00,"(40.60348, -74.01828)",Sedan,Sedan,0,0,,Unspecified,,BELT PARKWAY EXIT 4 EASTBOUND,,
238,QUEENS,Driver Inattention/Distraction,12/23/2024,1899-12-30 08:30:00,"(40.71935, -73.84262)",Sedan,,0,0,11375,Unspecified,,AUSTIN ST,,
239,MANHATTAN,Driver Inattention/Distraction,12/23/2024,1899-12-30 08:13:00,"(40.71123, -74.00648)",Sedan,PK,0,0,10038,Unspecified,,NASSAU ST,,
240,MANHATTAN,Unspecified,12/23/2024,1899-12-30 12:00:00,"(40.78832, -73.94102)",Station Wagon/Sport Utility Vehicle,,0,0,10029,Unspecified,,E 104 ST,,
241,MANHATTAN,Backing Unsafely,12/23/2024,1899-12-30 23:40:00,"(40.854675, -73.93865)",Sedan,,0,0,10033,,,CABRINI BLVD,,
242,BRONX,Passing Too Closely,12/23/2024,1899-12-30 21:10:00,"(40.881237, -73.89719)",Sedan,,0,0,10463,Unspecified,,,,
243,MANHATTAN,Other Vehicular,12/22/2024,1899-12-30 04:11:00,"(40.791843, -73.935555)",Sedan,Sedan,1,0,10029,Unsafe Speed,Other Vehicular,FRANKLIN D ROOSEVELT DR,Sedan,
244,BROOKLYN,Passing Too Closely,12/22/2024,1899-12-30 22:15:00,"(40.65552, -73.95102)",Sedan,,0,0,11226,Unspecified,,,,
245,BROOKLYN,Driver Inattention/Distraction,12/22/2024,1899-12-30 16:30:00,"(40.60077, -74.001205)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11214,Unspecified,,,,
246,BROOKLYN,Turning Improperly,12/22/2024,1899-12-30 02:28:00,"(40.61384, -73.98144)",Sedan,Sedan,0,0,11204,Unspecified,,BAY PKWY,,
247,BRONX,Unspecified,12/22/2024,1899-12-30 20:15:00,"(40.813557, -73.85629)",,,0,0,10473,,,PATTERSON AVE,,
248,,Unsafe Speed,12/21/2024,1899-12-30 04:17:00,"(40.704422, -73.99491)",Sedan,Sedan,0,0,,Unspecified,,,,
249,QUEENS,Unsafe Speed,12/21/2024,1899-12-30 06:20:00,"(40.72416, -73.75497)",Sedan,Sedan,0,0,11427,Unspecified,,HILLSIDE AVE,,
250,BRONX,Unspecified,12/21/2024,1899-12-30 21:00:00,"(40.804695, -73.922386)",Sedan,Sedan,2,0,10454,Unspecified,,BROWN PL,Station Wagon/Sport Utility Vehicle,
251,BRONX,Unsafe Speed,12/21/2024,1899-12-30 21:36:00,"(40.834057, -73.889725)",Station Wagon/Sport Utility Vehicle,Bike,0,0,10460,Unspecified,,E 172 ST,,
252,MANHATTAN,Unspecified,12/21/2024,1899-12-30 10:35:00,"(40.73792, -73.992226)",Bus,Taxi,0,0,10003,Unspecified,,E 17 ST,,
253,MANHATTAN,Passing or Lane Usage Improper,12/21/2024,1899-12-30 16:00:00,"(40.84812, -73.930885)",Sedan,Sedan,0,0,10033,Unspecified,,W 181 ST,,
254,,Passing or Lane Usage Improper,12/21/2024,1899-12-30 12:12:00,"(40.740078, -73.72471)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,244 ST,Station Wagon/Sport Utility Vehicle,
255,MANHATTAN,Unspecified,12/21/2024,1899-12-30 09:50:00,"(40.712673, -73.985596)",Sedan,,0,0,10002,,,,,
256,BROOKLYN,View Obstructed/Limited,12/20/2024,1899-12-30 09:32:00,"(40.711166, -73.94889)",Sedan,Concrete Mixer,1,0,11211,View Obstructed/Limited,,LORIMER ST,,
257,BROOKLYN,Backing Unsafely,12/20/2024,1899-12-30 13:17:00,"(40.66168, -74.00002)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11232,Unspecified,,25 ST,,
258,QUEENS,Turning Improperly,12/19/2024,1899-12-30 09:45:00,"(40.74404, -73.81803)",Sedan,Sedan,0,0,11355,Unspecified,,150 ST,,
259,QUEENS,Unspecified,12/19/2024,1899-12-30 12:00:00,"(40.73382, -73.87264)",Pick-up Truck,,0,0,11373,,,,,
260,BRONX,Unspecified,12/19/2024,1899-12-30 01:11:00,"(40.874844, -73.86612)",Sedan,Sedan,0,0,10467,Unspecified,,,,
261,MANHATTAN,Unspecified,12/19/2024,1899-12-30 18:11:00,"(40.77981, -73.960144)",Sedan,,0,0,10028,,,,,
262,,Failure to Yield Right-of-Way,12/18/2024,1899-12-30 09:30:00,"(40.72545, -73.837776)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,,,
263,,Unspecified,12/18/2024,1899-12-30 23:21:00,"(40.689857, -73.726776)",Sedan,,1,0,,,,,,
264,QUEENS,Unspecified,12/18/2024,1899-12-30 18:40:00,"(40.724392, -73.904366)",Sedan,,0,0,11378,,,61 ST,,
265,BROOKLYN,Unsafe Speed,12/18/2024,1899-12-30 22:56:00,"(40.68876, -73.98084)",E-Bike,,0,0,11217,,,NEVINS ST,,
266,BROOKLYN,Driver Inattention/Distraction,12/17/2024,1899-12-30 13:30:00,"(40.60421, -73.991455)",Station Wagon/Sport Utility Vehicle,,0,0,11214,,,82 ST,,
267,BROOKLYN,Passing Too Closely,12/17/2024,1899-12-30 14:11:00,"(40.66895, -73.93389)",Dump,,0,0,11213,Unspecified,,SCHENECTADY AVE,,
268,QUEENS,Driver Inattention/Distraction,12/17/2024,1899-12-30 13:40:00,"(40.76393, -73.7696)",Sedan,,0,0,11361,Unspecified,,,,
269,,Aggressive Driving/Road Rage,12/16/2024,1899-12-30 18:41:00,"(40.83801, -73.87329)",Sedan,Pick-up Truck,0,0,,Unspecified,,,,
270,,Unsafe Lane Changing,12/16/2024,1899-12-30 15:30:00,"(40.718864, -73.97483)",Sedan,Sedan,0,0,,Unspecified,,,,
271,BRONX,Unsafe Speed,12/16/2024,1899-12-30 19:13:00,"(40.826515, -73.91794)",Sedan,Sedan,0,0,10451,Unspecified,,MORRIS AVE,,
272,BROOKLYN,Driver Inattention/Distraction,12/15/2024,1899-12-30 10:15:00,"(40.608597, -74.00485)",Sedan,Sedan,0,0,11214,Unspecified,,17 AVE,,
273,,Unspecified,12/15/2024,1899-12-30 08:43:00,"(40.812313, -73.93136)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,,Unspecified,,,,
274,BRONX,Turning Improperly,12/15/2024,1899-12-30 17:00:00,"(40.86085, -73.892)",Sedan,Station Wagon/Sport Utility Vehicle,4,0,10458,Unspecified,,,,
275,,Alcohol Involvement,12/15/2024,1899-12-30 05:00:00,"(40.73771, -73.974266)",Sedan,,1,0,,,,,,
276,BRONX,Unspecified,12/15/2024,1899-12-30 19:24:00,"(40.832596, -73.81871)",Sedan,,0,0,10465,,,WILCOX AVE,,
277,BRONX,Unspecified,12/15/2024,1899-12-30 15:30:00,"(40.909676, -73.90051)",Sedan,,0,0,10471,,,TYNDALL AVE,,
278,BROOKLYN,Failure to Yield Right-of-Way,12/14/2024,1899-12-30 10:33:00,"(40.6427, -73.91767)",Station Wagon/Sport Utility Vehicle,,0,0,11236,Unspecified,,,,
279,QUEENS,Unspecified,12/14/2024,1899-12-30 17:00:00,"(0.0, 0.0)",Sedan,Sedan,0,0,11356,Unspecified,,,,
280,BRONX,Unspecified,12/14/2024,1899-12-30 13:50:00,"(40.82206, -73.9204)",Sedan,,0,0,10451,,,CONCOURSE VLG E,,
281,QUEENS,Unspecified,12/13/2024,1899-12-30 21:00:00,"(40.6831, -73.78431)",Station Wagon/Sport Utility Vehicle,,0,0,11434,,,118 AVE,,
282,MANHATTAN,Unspecified,12/13/2024,1899-12-30 15:20:00,"(40.838078, -73.93623)",Bus,,0,0,10032,,,W 167 ST,,
283,MANHATTAN,Unspecified,12/9/2024,1899-12-30 15:00:00,"(40.71383, -73.985916)",Sedan,,0,0,10002,,,,,
284,BRONX,Unspecified,12/9/2024,1899-12-30 22:05:00,"(40.86275, -73.90493)",E-Scooter,,0,0,10468,,,W FORDHAM RD,,
285,MANHATTAN,Unspecified,12/8/2024,1899-12-30 03:15:00,"(40.755505, -73.96806)",Sedan,,0,0,10022,,,2 AVE,,
286,MANHATTAN,Driver Inattention/Distraction,12/7/2024,1899-12-30 13:34:00,"(40.729492, -74.00697)",,,0,0,10014,,,HUDSON ST,,
287,BROOKLYN,Turning Improperly,12/4/2024,1899-12-30 13:20:00,"(40.64787, -73.97296)",Moped,Sedan,1,0,11218,Turning Improperly,,,,
288,BROOKLYN,Unspecified,12/4/2024,1899-12-30 16:50:00,"(40.709316, -73.933)",Bike,Box Truck,0,0,11237,Unspecified,,MESEROLE ST,,
289,MANHATTAN,Unspecified,12/3/2024,1899-12-30 15:00:00,"(40.794487, -73.949234)",Sedan,,0,0,10029,,,,,
290,MANHATTAN,Unspecified,12/2/2024,1899-12-30 07:10:00,"(40.780293, -73.955635)",Sedan,,0,0,10128,Unspecified,,,,
291,QUEENS,Turning Improperly,12/1/2024,1899-12-30 09:06:00,"(40.747105, -73.88654)",Sedan,,0,0,11373,Unspecified,,,,
292,QUEENS,Backing Unsafely,12/1/2024,1899-12-30 12:50:00,"(40.755302, -73.73827)",Sedan,,0,0,11362,Unspecified,,,,
293,,Other Vehicular,11/29/2024,1899-12-30 01:24:00,"(40.844105, -73.898)",Convertible,,1,0,,Other Vehicular,,,,
294,QUEENS,Driver Inattention/Distraction,11/29/2024,1899-12-30 18:42:00,"(40.704033, -73.79379)",,,0,0,11433,,,165 ST,,
295,STATEN ISLAND,Lost Consciousness,11/28/2024,1899-12-30 08:30:00,"(40.609146, -74.075)",Sedan,,1,0,10305,,,,,
296,,Passenger Distraction,11/27/2024,1899-12-30 19:49:00,"(40.63083, -73.90736)",,,0,0,,,,AVENUE L,,
297,QUEENS,Driver Inattention/Distraction,11/26/2024,1899-12-30 10:05:00,"(40.778614, -73.83976)",Sedan,,0,0,11356,,,23 AVE,,
298,,Driver Inattention/Distraction,11/26/2024,1899-12-30 15:15:00,"(40.62425, -74.02007)",Sedan,,1,0,,Unspecified,,7 AVE,,
299,MANHATTAN,Unspecified,11/26/2024,1899-12-30 19:41:00,"(40.7795, -73.95558)",Taxi,,0,0,10028,,,LEXINGTON AVE,,
300,BROOKLYN,Unspecified,11/25/2024,1899-12-30 21:05:00,"(40.669685, -73.94021)",Station Wagon/Sport Utility Vehicle,,2,0,11213,,,,,
301,,Unspecified,11/25/2024,1899-12-30 09:55:00,"(40.717354, -73.79803)",Sedan,,0,0,,,,GRAND CENTRAL PARKWAY,,
302,BRONX,Oversized Vehicle,11/22/2024,1899-12-30 09:23:00,"(40.834705, -73.91826)",Garbage or Refuse,,0,0,10452,,,GRANDVIEW PL,,
303,,Pavement Slippery,11/21/2024,1899-12-30 05:50:00,"(40.679234, -74.00397)",Sedan,,0,0,,,,,,
304,QUEENS,Driver Inexperience,11/21/2024,1899-12-30 20:16:00,"(40.68928, -73.796104)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,11435,Driver Inattention/Distraction,,110 RD,,
305,,Driver Inattention/Distraction,11/21/2024,1899-12-30 06:25:00,"(40.732773, -73.94281)",,,0,0,,,,GREENPOINT AVE,,
306,,Driver Inattention/Distraction,11/21/2024,1899-12-30 23:00:00,"(40.700497, -73.96255)",Sedan,,0,0,,,,KENT AVE,,
307,BROOKLYN,Fell Asleep,11/20/2024,1899-12-30 23:58:00,"(40.69864, -73.93818)",Sedan,,0,0,11206,,,LOCUST ST,,
308,QUEENS,Unspecified,11/18/2024,1899-12-30 20:59:00,"(40.74985, -73.81855)",Station Wagon/Sport Utility Vehicle,,0,0,11355,,,,,
309,BRONX,Backing Unsafely,11/15/2024,1899-12-30 08:25:00,"(40.821358, -73.88911)",Sedan,,0,0,10459,,,BRUCKNER BLVD,,
310,,Unspecified,11/15/2024,1899-12-30 16:26:00,"(40.6293, -74.0766)",Sedan,Bike,0,0,,Unspecified,,SANDS ST,,
311,BRONX,Unspecified,11/15/2024,1899-12-30 00:15:00,"(40.817093, -73.90535)",Sedan,,0,0,10455,,,,,
312,,Unsafe Lane Changing,11/15/2024,1899-12-30 08:24:00,"(40.69593, -73.96547)",Box Truck,Sedan,0,0,,Unspecified,,RYERSON ST,,
313,,Fell Asleep,11/13/2024,1899-12-30 05:35:00,"(40.86669, -73.831314)",Flat Bed,Pickup,1,0,,Unspecified,,,,
314,QUEENS,Turning Improperly,11/12/2024,1899-12-30 17:42:00,"(40.741116, -73.757355)",Bus,Sedan,0,0,11364,Unspecified,,217 ST,,
315,STATEN ISLAND,Unspecified,11/11/2024,1899-12-30 19:00:00,"(40.54538, -74.176)",Sedan,,0,0,10312,,,,,
316,,Unsafe Speed,11/11/2024,1899-12-30 07:30:00,"(40.689857, -73.726776)",Taxi,,0,0,,,,,,
317,BRONX,Unspecified,11/9/2024,1899-12-30 05:10:00,"(40.831974, -73.92349)",Sedan,Sedan,0,0,10452,Unspecified,,RIVER AVE,,
318,BROOKLYN,Oversized Vehicle,11/5/2024,1899-12-30 10:51:00,"(40.7002, -73.94753)",Sedan,,0,0,11206,,,,,
319,MANHATTAN,Unspecified,11/5/2024,1899-12-30 00:00:00,"(40.819702, -73.942635)",Sedan,,0,0,10030,Unspecified,,,,
320,BRONX,,11/4/2024,1899-12-30 11:40:00,"(40.822422, -73.89154)",,,0,0,10459,,,,,
