SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
Crocodile TearsLittle Hurricane,1/5/2021 3:12:00 PM,Little Hurricane,Homewrecker,Crocodile Tears,1/5/2021 9:12:00 PM
Lifestyles of the Rich & FamousGood Charlotte,1/5/2021 3:09:00 PM,Good Charlotte,The Young and the Hopeless,Lifestyles of the Rich & Famous,1/5/2021 9:09:00 PM
James DeanJr Jr,1/5/2021 3:06:00 PM,Jr Jr,James Dean,James Dean,1/5/2021 9:06:00 PM
New RulesDua Lipa,1/5/2021 3:02:00 PM,Dua Lipa,Dua Lipa,New Rules,1/5/2021 9:02:00 PM
Slow an' Easy - US Mix; 2019 RemasterWhitesnake,1/5/2021 2:56:00 PM,Whitesnake,Slide It In (The Ultimate Edition; 2019 Remaster),Slow an' Easy - US Mix; 2019 Remaster,1/5/2021 8:56:00 PM
Whatever Haunts YouTaddy Porter,1/5/2021 2:52:00 PM,Taddy Porter,Taddy Porter,Whatever Haunts You,1/5/2021 8:52:00 PM
Pacing Like PrinceRyan Montbleau Band,1/5/2021 2:49:00 PM,Ryan Montbleau Band,Growing Light,Pacing Like Prince,1/5/2021 8:49:00 PM
UpsideAllen Stone,1/5/2021 2:45:00 PM,Allen Stone,Radius (Deluxe Edition),Upside,1/5/2021 8:45:00 PM
LeviathanTropidelic,1/5/2021 2:41:00 PM,Tropidelic,Heavy is the Head,Leviathan,1/5/2021 8:41:00 PM
Fool For LoveLord Huron,1/5/2021 2:36:00 PM,Lord Huron,Strange Trails,Fool For Love,1/5/2021 8:36:00 PM
Stormy WeatherGreat Dane,1/5/2021 2:34:00 PM,Great Dane,Alpha Dog,Stormy Weather,1/5/2021 8:34:00 PM
We All Got ProblemsCaleb Hawley,1/5/2021 2:30:00 PM,Caleb Hawley,Love Drugs & Decisions,We All Got Problems,1/5/2021 8:30:00 PM
How LongCharlie Puth,1/5/2021 2:27:00 PM,Charlie Puth,Voicenotes,How Long,1/5/2021 8:27:00 PM
Speedom (Wwc2)Tech N9ne,1/5/2021 2:22:00 PM,Tech N9ne,Special Effects,Speedom (Wwc2),1/5/2021 8:22:00 PM
Billie JeanThe Civil Wars,1/5/2021 2:18:00 PM,The Civil Wars,Between The Bars (EP),Billie Jean,1/5/2021 8:18:00 PM
All Your Light (Times Like These)Portugal. The Man,1/5/2021 2:13:00 PM,Portugal. The Man,In the Mountain in the Cloud,All Your Light (Times Like These),1/5/2021 8:13:00 PM
GiantMatrimony,1/5/2021 2:10:00 PM,Matrimony,Montibello Memories,Giant,1/5/2021 8:10:00 PM
BREAKFAST CLUBDJ Z-Trip,1/5/2021 2:05:00 PM,DJ Z-Trip,Shifting Gears (Explicit Version),BREAKFAST CLUB,1/5/2021 8:05:00 PM
Out the DoorStick Figure,1/5/2021 2:00:00 PM,Stick Figure,Set in Stone,Out the Door,1/5/2021 8:00:00 PM
WorryJack Garratt,1/5/2021 1:56:00 PM,Jack Garratt,Remnants,Worry,1/5/2021 7:56:00 PM
Lil Darlin (feat. The O'Mys)ZZ Ward,1/5/2021 1:53:00 PM,ZZ Ward,Til the Casket Drops,Lil Darlin (feat. The O'Mys),1/5/2021 7:53:00 PM
Super Rich KidsFrank Ocean,1/5/2021 1:47:00 PM,Frank Ocean,channel ORANGE,Super Rich Kids,1/5/2021 7:47:00 PM
My Song 5 - RemixHAIM,1/5/2021 1:44:00 PM,HAIM,My Song 5,My Song 5 - Remix,1/5/2021 7:44:00 PM
Do It RightAnne-Marie,1/5/2021 1:40:00 PM,Anne-Marie,Do it Right,Do It Right,1/5/2021 7:40:00 PM
75 and SunnyRyan Montbleau Band,1/5/2021 1:34:00 PM,Ryan Montbleau Band,Stages: Volume II,75 and Sunny,1/5/2021 7:34:00 PM
Fire on the Horizon (LabRat Remix)Stick Figure,1/5/2021 1:29:00 PM,Stick Figure,Fire on the Horizon (LabRat Remix),Fire on the Horizon (LabRat Remix),1/5/2021 7:29:00 PM
Weary EyesStick Figure,1/5/2021 1:26:00 PM,Stick Figure,Set in Stone,Weary Eyes,1/5/2021 7:26:00 PM
The Pledge (In and Out)Curren$y,1/5/2021 1:23:00 PM,Curren$y,Jet Files,The Pledge (In and Out),1/5/2021 7:23:00 PM
LuxuryJon Bellion,1/5/2021 1:19:00 PM,Jon Bellion,The Definition,Luxury,1/5/2021 7:19:00 PM
SoberTool,1/5/2021 1:14:00 PM,Tool,Undertow,Sober,1/5/2021 7:14:00 PM
Oh What A WorldRufus Wainwright,1/5/2021 1:10:00 PM,Rufus Wainwright,Want One,Oh What A World,1/5/2021 7:10:00 PM
Missed OpportunityHall & Oates,1/5/2021 1:05:00 PM,Hall & Oates,Ooh Yeah!,Missed Opportunity,1/5/2021 7:05:00 PM
Persona Non GrataBright Eyes,1/5/2021 1:01:00 PM,Bright Eyes,Persona Non Grata,Persona Non Grata,1/5/2021 7:01:00 PM
DualitySlipknot,1/5/2021 12:57:00 PM,Slipknot,Antennas To Hell,Duality,1/5/2021 6:57:00 PM
Wulf Fang FistJULESTHEWULF,1/5/2021 12:54:00 PM,JULESTHEWULF,Wulf Fang Fist,Wulf Fang Fist,1/5/2021 6:54:00 PM
Sweet Cream In ItJel,1/5/2021 12:52:00 PM,Jel,Soft Money,Sweet Cream In It,1/5/2021 6:52:00 PM
Put Your Money on MeThe Struts,1/5/2021 12:48:00 PM,The Struts,Everybody Wants,Put Your Money on Me,1/5/2021 6:48:00 PM
Rock OnDef Leppard,1/5/2021 12:45:00 PM,Def Leppard,Yeah!,Rock On,1/5/2021 6:45:00 PM
Ten Thousand FistsDisturbed,1/5/2021 12:42:00 PM,Disturbed,Ten Thousand Fists,Ten Thousand Fists,1/5/2021 6:42:00 PM
Adam's Songblink-182,1/5/2021 12:38:00 PM,blink-182,Enema of the State,Adam's Song,1/5/2021 6:38:00 PM
DeterminedMudvayne,1/5/2021 12:35:00 PM,Mudvayne,Lost and Found,Determined,1/5/2021 6:35:00 PM
Burn It To The GroundNickelback,1/5/2021 12:31:00 PM,Nickelback,Dark Horse,Burn It To The Ground,1/5/2021 6:31:00 PM
GRRRLSAviva,1/5/2021 12:28:00 PM,Aviva,Grrrls,GRRRLS,1/5/2021 6:28:00 PM
I Want YouMarian Hill,1/5/2021 12:24:00 PM,Marian Hill,Act One,I Want You,1/5/2021 6:24:00 PM
MelancholyChill Bump,1/5/2021 12:21:00 PM,Chill Bump,Hidden Strings - EP,Melancholy,1/5/2021 6:21:00 PM
Elvis Presley BluesTom Jones,1/5/2021 12:17:00 PM,Tom Jones,Long Lost Suitcase,Elvis Presley Blues,1/5/2021 6:17:00 PM
Not FallingMudvayne,1/5/2021 12:13:00 PM,Mudvayne,The End of All Things to Come,Not Falling,1/5/2021 6:13:00 PM
Mannish Boy - Ruckus Roboticus RemixMuddy Waters,1/5/2021 12:08:00 PM,Muddy Waters,Mannish Boy (Ruckus Roboticus Remix),Mannish Boy - Ruckus Roboticus Remix,1/5/2021 6:08:00 PM
You Send MeCaught a Ghost,1/5/2021 12:06:00 PM,Caught a Ghost,You send me,You Send Me,1/5/2021 6:06:00 PM
All Nightmare LongMetallica,1/5/2021 11:58:00 AM,Metallica,Death Magnetic,All Nightmare Long,1/5/2021 5:58:00 PM
Graveyard - AcousticHalsey,1/5/2021 11:54:00 AM,Halsey,Graveyard (Acoustic),Graveyard - Acoustic,1/5/2021 5:54:00 PM
Pool Of Booze Booze BoozaVolbeat,1/5/2021 11:50:00 AM,Volbeat,The Strength / The Sound / The Songs,Pool Of Booze Booze Booza,1/5/2021 5:50:00 PM
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)Miley Cyrus,1/5/2021 11:46:00 AM,Miley Cyrus,Plastic Hearts,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),1/5/2021 5:46:00 PM
Square PusherElisey,1/5/2021 11:44:00 AM,Elisey,Square Pusher,Square Pusher,1/5/2021 5:44:00 PM
golden beanslokeyz,1/5/2021 11:42:00 AM,lokeyz,espresso time,golden beans,1/5/2021 5:42:00 PM
doodlessonolon,1/5/2021 11:40:00 AM,sonolon,graffiti tape,doodles,1/5/2021 5:40:00 PM
pogost1cky,1/5/2021 11:39:00 AM,st1cky,glitch,pogo,1/5/2021 5:39:00 PM
Black FoamSkinny Cap,1/5/2021 11:37:00 AM,Skinny Cap,Black Foam,Black Foam,1/5/2021 5:37:00 PM
Lost WorldAvatron,1/5/2021 11:34:00 AM,Avatron,Lost World,Lost World,1/5/2021 5:34:00 PM
Wax PoetryDazik69,1/5/2021 11:32:00 AM,Dazik69,Wax Poetry,Wax Poetry,1/5/2021 5:32:00 PM
Lackluster LegacyTwinkz,1/5/2021 11:31:00 AM,Twinkz,Jam Session,Lackluster Legacy,1/5/2021 5:31:00 PM
Saturday AfternoonSweet Oscar,1/5/2021 11:29:00 AM,Sweet Oscar,Back Alley Conversations,Saturday Afternoon,1/5/2021 5:29:00 PM
GeoGuustavv,1/5/2021 11:27:00 AM,Guustavv,Dimma,Geo,1/5/2021 5:27:00 PM
Jazzy Afternooncodename chinadoll,1/5/2021 11:25:00 AM,codename chinadoll,Selected Lifestyle Poems,Jazzy Afternoon,1/5/2021 5:25:00 PM
subway trumpetmodecontrol,1/5/2021 11:23:00 AM,modecontrol,tricky personalities,subway trumpet,1/5/2021 5:23:00 PM
shogunClass E,1/5/2021 11:21:00 AM,Class E,moisture,shogun,1/5/2021 5:21:00 PM
slow breathshamgang,1/5/2021 11:19:00 AM,shamgang,Moods 2020,slow breath,1/5/2021 5:19:00 PM
Broken UmbrellaLoaderror,1/5/2021 11:17:00 AM,Loaderror,Broken Umbrella,Broken Umbrella,1/5/2021 5:17:00 PM
Togetherskipweath,1/5/2021 11:15:00 AM,skipweath,Together,Together,1/5/2021 5:15:00 PM
XOXONostalgique,1/5/2021 11:13:00 AM,Nostalgique,Night Life,XOXO,1/5/2021 5:13:00 PM
RelevanceZifon,1/5/2021 11:11:00 AM,Zifon,Alleviate,Relevance,1/5/2021 5:11:00 PM
That Jazz88keys,1/5/2021 11:09:00 AM,88keys,Classifier,That Jazz,1/5/2021 5:09:00 PM
Second FlatGreen Balloon,1/5/2021 11:08:00 AM,Green Balloon,Epic Love,Second Flat,1/5/2021 5:08:00 PM
Night LifeNostalgique,1/5/2021 11:06:00 AM,Nostalgique,Night Life,Night Life,1/5/2021 5:06:00 PM
huaFlughand,1/5/2021 11:04:00 AM,Flughand,ili,hua,1/5/2021 5:04:00 PM
Strictly FunkyGold School,1/5/2021 11:02:00 AM,Gold School,Strictly Funky,Strictly Funky,1/5/2021 5:02:00 PM
Sunshine In The RainJazzavelha,1/5/2021 10:30:00 AM,Jazzavelha,Sunshine In The Rain,Sunshine In The Rain,1/5/2021 4:30:00 PM
One Day at a TimeEnsidya,1/5/2021 10:28:00 AM,Ensidya,One Day at a Time,One Day at a Time,1/5/2021 4:28:00 PM
I'm nothin'Hybrid Vibrations,1/5/2021 10:24:00 AM,Hybrid Vibrations,I'm nothin',I'm nothin',1/5/2021 4:24:00 PM
Front YardTrixie Muff,1/5/2021 10:22:00 AM,Trixie Muff,Front Yard,Front Yard,1/5/2021 4:22:00 PM
yaaasfresh from the oven,1/5/2021 10:19:00 AM,fresh from the oven,yaaas,yaaas,1/5/2021 4:19:00 PM
Lucy DreamerCrate Digger,1/5/2021 10:17:00 AM,Crate Digger,Luscious,Lucy Dreamer,1/5/2021 4:17:00 PM
ISAWyl,1/5/2021 10:12:00 AM,Wyl,We Talk Tomorrow,ISA,1/5/2021 4:12:00 PM
Anime AllstarsNadja Salkova,1/5/2021 10:11:00 AM,Nadja Salkova,Walking In The Rain,Anime Allstars,1/5/2021 4:11:00 PM
goodfellap!ke,1/5/2021 10:09:00 AM,p!ke,goodfella,goodfella,1/5/2021 4:09:00 PM
Strange TimesOscar Hollis,1/5/2021 10:06:00 AM,Oscar Hollis,Lost in Flight,Strange Times,1/5/2021 4:06:00 PM
just relaxStilistics,1/5/2021 10:05:00 AM,Stilistics,ready set go,just relax,1/5/2021 4:05:00 PM
Tognajobii,1/5/2021 10:02:00 AM,jobii,Pomegranate,Togna,1/5/2021 4:02:00 PM
Pusher StreetHi Hat Henry,1/5/2021 10:01:00 AM,Hi Hat Henry,Soul Kitchen,Pusher Street,1/5/2021 4:01:00 PM
Stere-EreoBeat Oven,1/5/2021 9:59:00 AM,Beat Oven,High,Stere-Ereo,1/5/2021 3:59:00 PM
Molvaer88keys,1/5/2021 9:57:00 AM,88keys,Classifier,Molvaer,1/5/2021 3:57:00 PM
BeatStopFreckle & Pete,1/5/2021 9:55:00 AM,Freckle & Pete,BeatStop,BeatStop,1/5/2021 3:55:00 PM
Sunday Strollchilles,1/5/2021 9:53:00 AM,chilles,Sunday Stroll,Sunday Stroll,1/5/2021 3:53:00 PM
rebounceshamgang,1/5/2021 9:51:00 AM,shamgang,Moods 2020,rebounce,1/5/2021 3:51:00 PM
One Hundred MastersLoaderror,1/5/2021 9:49:00 AM,Loaderror,Broken Umbrella,One Hundred Masters,1/5/2021 3:49:00 PM
CouchsurfingSoul Dojo,1/5/2021 9:47:00 AM,Soul Dojo,Great Wall,Couchsurfing,1/5/2021 3:47:00 PM
ArchipelagosBlue Steel,1/5/2021 9:45:00 AM,Blue Steel,Archipelagos,Archipelagos,1/5/2021 3:45:00 PM
MontaraHnny,1/5/2021 9:41:00 AM,Hnny,Montara,Montara,1/5/2021 3:41:00 PM
Lef TDCS Lefty,1/5/2021 9:39:00 AM,DCS Lefty,Lef T,Lef T,1/5/2021 3:39:00 PM
Sunshine RecorderSakloma24,1/5/2021 9:37:00 AM,Sakloma24,Secret Village of Chill,Sunshine Recorder,1/5/2021 3:37:00 PM
Poetic WaxDusty Decks,1/5/2021 9:22:00 AM,Dusty Decks,On the Keys of Steel,Poetic Wax,1/5/2021 3:22:00 PM
Higher LoveKygo,1/5/2021 9:09:00 AM,Kygo,Higher Love,Higher Love,1/5/2021 3:09:00 PM
Bad Things (with Camila Cabello)Machine Gun Kelly,1/5/2021 9:05:00 AM,Machine Gun Kelly,Bloom,Bad Things (with Camila Cabello),1/5/2021 3:05:00 PM
Stupid LoveLady Gaga,1/5/2021 9:01:00 AM,Lady Gaga,Chromatica,Stupid Love,1/5/2021 3:01:00 PM
This FeelingThe Chainsmokers,1/5/2021 8:58:00 AM,The Chainsmokers,Sick Boy,This Feeling,1/5/2021 2:58:00 PM
Panini - DaBaby RemixLil Nas X,1/5/2021 8:55:00 AM,Lil Nas X,Panini,Panini - DaBaby Remix,1/5/2021 2:55:00 PM
The ManTaylor Swift,1/5/2021 8:52:00 AM,Taylor Swift,Lover,The Man,1/5/2021 2:52:00 PM
Meant to Be (feat. Florida Georgia Line)Bebe Rexha,1/5/2021 8:49:00 AM,Bebe Rexha,All Your Fault: Pt. 2,Meant to Be (feat. Florida Georgia Line),1/5/2021 2:49:00 PM
JuiceLizzo,1/5/2021 8:46:00 AM,Lizzo,Cuz I Love You,Juice,1/5/2021 2:46:00 PM
All Time LowJon Bellion,1/5/2021 8:42:00 AM,Jon Bellion,The Human Condition,All Time Low,1/5/2021 2:42:00 PM
Sunday BestSurfaces,1/5/2021 8:39:00 AM,Surfaces,Where the Light Is,Sunday Best,1/5/2021 2:39:00 PM
1950King Princess,1/5/2021 8:35:00 AM,King Princess,1950,1950,1/5/2021 2:35:00 PM
Sit Still Look PrettyDaya,1/5/2021 8:32:00 AM,Daya,Sit Still Look Pretty,Sit Still Look Pretty,1/5/2021 2:32:00 PM
Bad at LoveHalsey,1/5/2021 8:29:00 AM,Halsey,hopeless fountain kingdom (Deluxe),Bad at Love,1/5/2021 2:29:00 PM
You Need to Calm DownTaylor Swift,1/5/2021 8:26:00 AM,Taylor Swift,Lover,You Need to Calm Down,1/5/2021 2:26:00 PM
WeakAJR,1/5/2021 8:23:00 AM,AJR,What Everyone's Thinking,Weak,1/5/2021 2:23:00 PM
Truth HurtsLizzo,1/5/2021 8:20:00 AM,Lizzo,Cuz I Love You (Deluxe),Truth Hurts,1/5/2021 2:20:00 PM
ThunderImagine Dragons,1/5/2021 8:17:00 AM,Imagine Dragons,Evolve,Thunder,1/5/2021 2:17:00 PM
TrampolineShaed,1/5/2021 8:14:00 AM,Shaed,MELT,Trampoline,1/5/2021 2:14:00 PM
Slow HandsNiall Horan,1/5/2021 8:10:00 AM,Niall Horan,Flicker (Deluxe),Slow Hands,1/5/2021 2:10:00 PM
The BonesMaren Morris,1/5/2021 8:07:00 AM,Maren Morris,GIRL,The Bones,1/5/2021 2:07:00 PM
EternitySlow Clouds,1/5/2021 8:05:00 AM,Slow Clouds,Eternity,Eternity,1/5/2021 2:05:00 PM
RevitalizeYonder Dale,1/5/2021 8:02:00 AM,Yonder Dale,Unification,Revitalize,1/5/2021 2:02:00 PM
SolitudeIsobel Belano,1/5/2021 7:55:00 AM,Isobel Belano,Solitude,Solitude,1/5/2021 1:55:00 PM
AltitudeAstral Roads,1/5/2021 7:51:00 AM,Astral Roads,Altitude,Altitude,1/5/2021 1:51:00 PM
Open MindaTm0,1/5/2021 7:48:00 AM,aTm0,Open Mind,Open Mind,1/5/2021 1:48:00 PM
I'll Be HereRightset,1/5/2021 7:45:00 AM,Rightset,I'll Be Here,I'll Be Here,1/5/2021 1:45:00 PM
BridgesLake Geneva,1/5/2021 7:42:00 AM,Lake Geneva,Bridges,Bridges,1/5/2021 1:42:00 PM
Animaniacs - Opening TitleAnimaniacs,1/5/2021 7:36:00 AM,Animaniacs,Steven Spielberg Presents Animaniacs (Soundtrack from the Original Series),Animaniacs - Opening Title,1/5/2021 1:36:00 PM
DufyBrique a Braq,1/5/2021 7:33:00 AM,Brique a Braq,Dufy,Dufy,1/5/2021 1:33:00 PM
Calm WildernessNight Sounds,1/5/2021 7:29:00 AM,Night Sounds,Calm Wilderness,Calm Wilderness,1/5/2021 1:29:00 PM
TendrilsRealizer,1/5/2021 7:27:00 AM,Realizer,Tendrils,Tendrils,1/5/2021 1:27:00 PM
TenderLake Geneva,1/5/2021 7:24:00 AM,Lake Geneva,Tender,Tender,1/5/2021 1:24:00 PM
CrossingThe Tides,1/5/2021 7:21:00 AM,The Tides,Crossing,Crossing,1/5/2021 1:21:00 PM
Ingen äger flodenThomas Jackson,1/5/2021 7:17:00 AM,Thomas Jackson,Den inre skogen,Ingen äger floden,1/5/2021 1:17:00 PM
Feels Like FlyingElementaries,1/5/2021 7:14:00 AM,Elementaries,Feels Like Flying,Feels Like Flying,1/5/2021 1:14:00 PM
Another Mellow MorningSpirits Of Our Dreams,1/5/2021 7:10:00 AM,Spirits Of Our Dreams,Another Mellow Morning,Another Mellow Morning,1/5/2021 1:10:00 PM
Mil SonidosReina del Mar,1/5/2021 7:07:00 AM,Reina del Mar,Mil Sonidos,Mil Sonidos,1/5/2021 1:07:00 PM
HydrocodoneCuco,1/4/2021 6:51:00 PM,Cuco,Para Mi,Hydrocodone,1/5/2021 12:51:00 AM
ShadowStick Figure,1/4/2021 5:43:00 PM,Stick Figure,Set in Stone,Shadow,1/4/2021 11:43:00 PM
Letting InBeauville,1/4/2021 5:39:00 PM,Beauville,Letting In,Letting In,1/4/2021 11:39:00 PM
Battle Without Honor or HumanityTauk,1/4/2021 5:21:00 PM,Tauk,Headroom,Battle Without Honor or Humanity,1/4/2021 11:21:00 PM
FREE Animated YouTube Subscribe Button OverlayBoone Loves Video,1/4/2021 4:00:00 PM,Boone Loves Video,,FREE Animated YouTube Subscribe Button Overlay,1/4/2021 10:00:00 PM
Lost & FoundThe Polish Ambassador,1/4/2021 3:58:00 PM,The Polish Ambassador,Pushing Through the Pavement,Lost & Found,1/4/2021 9:58:00 PM
How To Make Cool DIY YouTube BackdropNick Nimmin,1/4/2021 3:38:00 PM,Nick Nimmin,,How To Make Cool DIY YouTube Backdrop,1/4/2021 9:38:00 PM
Save Me Some SunshineRafferty,1/4/2021 3:25:00 PM,Rafferty,Save Me Some Sunshine,Save Me Some Sunshine,1/4/2021 9:25:00 PM
TwistedAaron Taos,1/4/2021 3:22:00 PM,Aaron Taos,Night Thoughts,Twisted,1/4/2021 9:22:00 PM
Make Me Feel GoodZoogma,1/4/2021 3:17:00 PM,Zoogma,A Future in Blue,Make Me Feel Good,1/4/2021 9:17:00 PM
Stormy WeatherGreat Dane,1/4/2021 3:14:00 PM,Great Dane,Alpha Dog,Stormy Weather,1/4/2021 9:14:00 PM
ForeverMatt and Kim,1/4/2021 3:11:00 PM,Matt and Kim,ALMOST EVERYDAY,Forever,1/4/2021 9:11:00 PM
Zombie (Acoustic)Bad Wolves,1/4/2021 3:06:00 PM,Bad Wolves,Zombie EP,Zombie (Acoustic),1/4/2021 9:06:00 PM
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)Miley Cyrus,1/4/2021 3:03:00 PM,Miley Cyrus,Plastic Hearts,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),1/4/2021 9:03:00 PM
The Rain (Supa Dupa Fly)Missy Elliott,1/4/2021 2:59:00 PM,Missy Elliott,Supa Dupa Fly,The Rain (Supa Dupa Fly),1/4/2021 8:59:00 PM
Fireman Ring The BellR.L. Burnside,1/4/2021 2:56:00 PM,R.L. Burnside,Acoustic Stories,Fireman Ring The Bell,1/4/2021 8:56:00 PM
SensesNonpoint,1/4/2021 2:52:00 PM,Nonpoint,Separate Yourself 1997,Senses,1/4/2021 8:52:00 PM
CutthroatKatastro,1/4/2021 2:50:00 PM,Katastro,Not for Sale II,Cutthroat,1/4/2021 8:50:00 PM
GrannyDave Matthews Band,1/4/2021 2:45:00 PM,Dave Matthews Band,Under the Table and Dreaming (Expanded Edition),Granny,1/4/2021 8:45:00 PM
My City Was Gone - 7 Version; 2009 RemasterPretenders,1/4/2021 2:41:00 PM,Pretenders,The Best of the Pretenders,My City Was Gone - 7 Version; 2009 Remaster,1/4/2021 8:41:00 PM
The Chemical Worker's Song (Process Man)Great Big Sea,1/4/2021 12:59:00 PM,Great Big Sea,Up,The Chemical Worker's Song (Process Man),1/4/2021 6:59:00 PM
You KnowThe Boom Booms,1/4/2021 12:55:00 PM,The Boom Booms,Hot Rum!,You Know,1/4/2021 6:55:00 PM
The Fish Aren't Bitin' TodayDavid Allan Coe,1/4/2021 12:52:00 PM,David Allan Coe,Compass Point,The Fish Aren't Bitin' Today,1/4/2021 6:52:00 PM
Let My Baby RideR.L. Burnside,1/4/2021 12:49:00 PM,R.L. Burnside,Come On In,Let My Baby Ride,1/4/2021 6:49:00 PM
Trunk Fulla AmpsSelf,1/4/2021 12:45:00 PM,Self,Gizmodgery,Trunk Fulla Amps,1/4/2021 6:45:00 PM
Fast LaneShrub,1/4/2021 12:41:00 PM,Shrub,Highceratops,Fast Lane,1/4/2021 6:41:00 PM
Happy Boy - RemasteredThe Beat Farmers,1/4/2021 12:40:00 PM,The Beat Farmers,Tales of the New West,Happy Boy - Remastered,1/4/2021 6:40:00 PM
Is You IsHigh Step Society,1/4/2021 12:34:00 PM,High Step Society,High Step Society,Is You Is,1/4/2021 6:34:00 PM
To Be Young (Is to Be Sad Is to Be High) [Outtake]Ryan Adams,1/4/2021 12:31:00 PM,Ryan Adams,Heartbreaker (Deluxe Edition),To Be Young (Is to Be Sad Is to Be High) [Outtake],1/4/2021 6:31:00 PM
While My Guitar Gently WeepsTom Petty,1/4/2021 12:25:00 PM,Tom Petty,The Best of Rock and Roll Hall of Fame + Museum Live,While My Guitar Gently Weeps,1/4/2021 6:25:00 PM
HoochEverything,1/4/2021 12:21:00 PM,Everything,In the Juju Underworld,Hooch,1/4/2021 6:21:00 PM
MilwaukeeThe Both,1/4/2021 12:17:00 PM,The Both,The Both,Milwaukee,1/4/2021 6:17:00 PM
Highball With The DevilLes Claypool And The Holy Mackerel,1/4/2021 12:13:00 PM,Les Claypool And The Holy Mackerel,Highball With The Devil,Highball With The Devil,1/4/2021 6:13:00 PM
I Like BeerTom T. Hall,1/4/2021 12:10:00 PM,Tom T. Hall,Tom T. Hall - Storyteller Poet Philosopher,I Like Beer,1/4/2021 6:10:00 PM
Smoothie SongNickel Creek,1/4/2021 12:06:00 PM,Nickel Creek,This Side,Smoothie Song,1/4/2021 6:06:00 PM
11:11Dinosaur Pile-Up,1/4/2021 12:02:00 PM,Dinosaur Pile-Up,Eleven Eleven,11:11,1/4/2021 6:02:00 PM
Come TogetherYellow Dubmarine,1/4/2021 11:56:00 AM,Yellow Dubmarine,Abbey Dub,Come Together,1/4/2021 5:56:00 PM
Rocky RoadsBeat Fatigue,1/4/2021 11:51:00 AM,Beat Fatigue,Algorhythm & Blues,Rocky Roads,1/4/2021 5:51:00 PM
Duke of HazzardBlockhead,1/4/2021 11:47:00 AM,Blockhead,Uncle Tony's Coloring Book,Duke of Hazzard,1/4/2021 5:47:00 PM
Come OverStevie Starlight,1/4/2021 11:41:00 AM,Stevie Starlight,Come Over,Come Over,1/4/2021 5:41:00 PM
SouthtownAaron Kamm and the One Drops,1/4/2021 11:35:00 AM,Aaron Kamm and the One Drops,Grow,Southtown,1/4/2021 5:35:00 PM
Movin' Out (Anthony's Song)The Supervillains,1/4/2021 11:31:00 AM,The Supervillains,Massive,Movin' Out (Anthony's Song),1/4/2021 5:31:00 PM
Shake ItThe Tazers,1/4/2021 11:27:00 AM,The Tazers,Shake It,Shake It,1/4/2021 5:27:00 PM
Big Black BirdBlitzen Trapper,1/4/2021 11:24:00 AM,Blitzen Trapper,Black River Killer,Big Black Bird,1/4/2021 5:24:00 PM
HurricanePossessed By Paul James,1/4/2021 11:21:00 AM,Possessed By Paul James,There Will Be Nights When I'm Lonely,Hurricane,1/4/2021 5:21:00 PM
Miss PrinceHey Steve,1/4/2021 11:18:00 AM,Hey Steve,The Prince & the Duke,Miss Prince,1/4/2021 5:18:00 PM
Life To FixThe Record Company,1/4/2021 11:14:00 AM,The Record Company,All Of This Life,Life To Fix,1/4/2021 5:14:00 PM
Mist & Shadow - LiveThe Sword,1/4/2021 11:09:00 AM,The Sword,Greetings From... (Live),Mist & Shadow - Live,1/4/2021 5:09:00 PM
cardiganTaylor Swift,1/4/2021 10:00:00 AM,Taylor Swift,folklore,cardigan,1/4/2021 4:00:00 PM
LoverTaylor Swift,1/4/2021 9:56:00 AM,Taylor Swift,Lover,Lover,1/4/2021 3:56:00 PM
ME! (feat. Brendon Urie of Panic! at the Disco)Taylor Swift,1/4/2021 9:53:00 AM,Taylor Swift,Lover,ME! (feat. Brendon Urie of Panic! at the Disco),1/4/2021 3:53:00 PM
You Need to Calm DownTaylor Swift,1/4/2021 9:50:00 AM,Taylor Swift,Lover,You Need to Calm Down,1/4/2021 3:50:00 PM
New RulesDua Lipa,1/4/2021 9:45:00 AM,Dua Lipa,Dua Lipa,New Rules,1/4/2021 3:45:00 PM
exile (feat. Bon Iver)Taylor Swift,1/4/2021 9:45:00 AM,Taylor Swift,folklore,exile (feat. Bon Iver),1/4/2021 3:45:00 PM
Don't Ask Me (Bonus Track)Seasick Steve,1/3/2021 9:54:00 PM,Seasick Steve,Sonic Soul Surfer,Don't Ask Me (Bonus Track),1/4/2021 3:54:00 AM
Hot Rod LincolnCommander Cody And His Lost Planet Airmen,1/3/2021 9:52:00 PM,Commander Cody And His Lost Planet Airmen,Lost In The Ozone,Hot Rod Lincoln,1/4/2021 3:52:00 AM
Front 2 BackSnails,1/3/2021 9:47:00 PM,Snails,Front 2 Back,Front 2 Back,1/4/2021 3:47:00 AM
SoberSpiritual Rez,1/3/2021 9:43:00 PM,Spiritual Rez,Setting in the West,Sober,1/4/2021 3:43:00 AM
LuxuryJon Bellion,1/3/2021 9:39:00 PM,Jon Bellion,The Definition,Luxury,1/4/2021 3:39:00 AM
