Avg Room Rate,reservation_id,check_in_date,stay_duration,adults,children,room_type,special_requests_flag,booking_channel,reservation_status,advanced_booking,Property,Date,Rate Type
109,280124-KT-5950-DM,1/7/2020,6,1,4,Double,No,Travel Agent,Completed,Yes,The Marimekko,1/7/2020,Weekday
169,938257-GN-2253-UP,9/29/2020,14,3,2,Double,Yes,Travel Agent,Completed,Yes,The Sankey,9/29/2020,Weekday
100.98,582635-A9-6439-ZX,7/5/2020,3,1,3,Queen,No,Travel Agent,Completed,Yes,The Chord,7/5/2020,Weekend
109,540932-WY-8007-AT,4/1/2020,6,3,2,Double,No,Call Center,Completed,Yes,The Marimekko,4/1/2020,Weekday
152.1,058894-ZW-9258-VL,3/31/2020,14,3,1,Single,No,Phone App,Completed,Yes,The Sankey,3/31/2020,Weekday
152.1,804844-IL-4582-PG,8/25/2020,3,2,3,Single,Yes,Website,Completed,Yes,The Sankey,8/25/2020,Weekday
152.1,558588-XR-7523-HA,5/9/2020,7,4,1,Single,No,Phone App,Completed,Yes,The Sankey,5/9/2020,Weekday
179.1,504550-52-4052-NA,9/28/2020,6,1,2,Single,Yes,Call Center,Completed,Yes,The Sankey,9/28/2020,Weekend
143.55,208066-BK-6577-XL,6/29/2020,4,4,3,Executive Suite,No,Call Center,Completed,Yes,The Chord,6/29/2020,Weekend
111.18,704237-36-1901-XL,3/24/2020,5,3,2,Queen,Yes,Travel Agent,Completed,Yes,The Marimekko,3/24/2020,Weekday
114.45,778188-BC-4294-ZL,9/23/2020,14,3,4,King,Yes,Phone App,Completed,Yes,The Marimekko,9/23/2020,Weekday
208.95,802985-TL-3986-CD,2/24/2020,3,2,2,King,Yes,Website,Completed,Yes,The Sankey,2/24/2020,Weekend
99,469524-E5-6965-ZE,8/10/2020,11,1,4,Double,No,Walk-in,No-Show,No,The Chord,8/10/2020,Weekend
99,723964-39-8352-DU,7/19/2020,9,3,1,Double,Yes,Phone App,Completed,Yes,The Marimekko,7/19/2020,Weekend
99,376190-A8-7891-SX,7/27/2020,12,3,1,Double,Yes,Website,Completed,Yes,The Chord,7/27/2020,Weekend
98.1,864725-L9-6189-LR,8/13/2020,3,3,1,Single,No,Website,Completed,No,The Marimekko,8/13/2020,Weekday
98.1,197256-LP-0936-UX,7/15/2020,4,1,2,Single,No,Travel Agent,Completed,Yes,The Marimekko,7/15/2020,Weekday
111.18,969195-WC-7508-EB,7/14/2020,2,2,2,Queen,No,Travel Agent,Completed,Yes,The Marimekko,7/14/2020,Weekday
111.18,729701-MY-5406-YY,5/5/2020,7,4,1,Queen,Yes,Website,No-Show,Yes,The Marimekko,5/5/2020,Weekday
103.95,354111-3M-9775-LF,6/15/2020,2,1,4,King,Yes,Website,Completed,Yes,The Marimekko,6/15/2020,Weekend
79,967033-86-6058-HZ,5/22/2020,6,2,3,Double,No,Travel Agent,No-Show,Yes,The Chord,5/22/2020,Weekday
169,353036-HR-4553-KD,3/31/2020,3,1,4,Double,Yes,Travel Agent,Completed,Yes,The Sankey,3/31/2020,Weekday
177.45,802057-CG-5841-WC,1/28/2020,5,2,1,King,No,Travel Agent,Completed,Yes,The Sankey,1/28/2020,Weekday
199,844470-J0-4027-RE,1/26/2020,3,4,2,Double,Yes,Walk-in,Completed,No,The Sankey,1/26/2020,Weekend
202.98,541087-4D-2831-LZ,5/4/2020,12,2,3,Queen,No,Website,Completed,Yes,The Sankey,5/4/2020,Weekend
172.38,382279-DT-4294-DC,6/19/2020,1,1,3,Queen,No,Travel Agent,Completed,Yes,The Sankey,6/19/2020,Weekday
114.55,954175-BO-1063-AC,9/8/2020,8,4,1,Executive Suite,Yes,Phone App,Completed,Yes,The Chord,9/8/2020,Weekday
202.98,252855-R8-3231-CD,6/15/2020,5,1,1,Queen,Yes,Website,Completed,Yes,The Sankey,6/15/2020,Weekend
208.95,841984-JO-8756-PR,7/20/2020,10,2,3,King,Yes,Website,Completed,Yes,The Sankey,7/20/2020,Weekend
158.05,145111-41-7065-LT,6/19/2020,10,1,1,Executive Suite,No,Call Center,Completed,Yes,The Marimekko,6/19/2020,Weekday
71.1,454432-1X-6731-TI,10/24/2020,9,3,3,Single,Yes,Travel Agent,Completed,Yes,The Chord,10/24/2020,Weekday
119.9,633256-S1-4554-SQ,6/27/2020,7,3,3,Suite,Yes,Walk-in,Completed,No,The Marimekko,6/27/2020,Weekday
103.95,711229-22-3923-XT,4/5/2020,12,2,2,King,Yes,Travel Agent,Completed,Yes,The Marimekko,4/5/2020,Weekend
245.05,476336-MX-5794-LU,6/26/2020,13,4,2,Executive Suite,No,Phone App,Completed,Yes,The Sankey,6/26/2020,Weekday
177.45,402463-Q0-3569-UD,4/3/2020,14,1,4,King,Yes,Travel Agent,Completed,Yes,The Sankey,4/3/2020,Weekday
177.45,183286-FI-3515-RX,5/16/2020,4,3,2,King,No,Phone App,Completed,Yes,The Sankey,5/16/2020,Weekday
80.58,981071-FV-0224-EF,9/29/2020,8,3,4,Queen,Yes,Call Center,Completed,Yes,The Chord,9/29/2020,Weekday
199,946686-LE-1938-YV,3/22/2020,4,4,3,Double,No,Phone App,Completed,Yes,The Sankey,3/22/2020,Weekend
202.98,459493-JJ-7231-HR,2/10/2020,2,3,1,Queen,Yes,Travel Agent,Completed,Yes,The Sankey,2/10/2020,Weekend
169,820122-N5-8172-BV,8/20/2020,4,1,4,Double,No,Website,Completed,Yes,The Sankey,8/20/2020,Weekday
208.95,392218-WZ-6082-XG,6/28/2020,2,1,4,King,No,Call Center,Completed,Yes,The Sankey,6/28/2020,Weekend
158.05,542908-MT-1669-KJ,10/22/2020,3,2,2,Executive Suite,Yes,Website,Completed,Yes,The Marimekko,10/22/2020,Weekday
172.38,733560-U8-3126-AK,9/11/2020,10,4,1,Queen,No,Call Center,Completed,No,The Sankey,9/11/2020,Weekday
89.1,804939-E1-0991-WF,3/23/2020,3,4,1,Single,Yes,Phone App,No-Show,Yes,The Chord,3/23/2020,Weekend
177.45,322377-BH-3339-VH,1/7/2020,4,2,2,King,No,Call Center,Completed,Yes,The Sankey,1/7/2020,Weekday
109,868963-RE-9352-WQ,7/21/2020,12,1,1,Double,Yes,Call Center,Completed,Yes,The Marimekko,7/21/2020,Weekday
169,536803-EH-8934-RG,4/1/2020,9,2,4,Double,No,Phone App,Completed,Yes,The Sankey,4/1/2020,Weekday
185.9,399702-VA-7391-NC,6/23/2020,5,3,4,Suite,No,Phone App,Completed,Yes,The Sankey,6/23/2020,Weekday
245.05,360377-15-1786-ZT,3/14/2020,14,1,1,Executive Suite,Yes,Walk-in,Completed,No,The Sankey,3/14/2020,Weekday
111.18,251197-90-7906-ZA,9/3/2020,3,2,1,Queen,No,Travel Agent,Completed,Yes,The Marimekko,9/3/2020,Weekday
98.1,760822-S7-7302-YS,8/8/2020,3,2,2,Single,Yes,Phone App,Completed,Yes,The Marimekko,8/8/2020,Weekday
245.05,390914-XZ-7371-MX,5/2/2020,13,2,1,Executive Suite,No,Travel Agent,No-Show,Yes,The Sankey,5/2/2020,Weekday
114.55,658084-EM-8703-NW,6/27/2020,8,1,1,Executive Suite,Yes,Call Center,Completed,Yes,The Chord,6/27/2020,Weekday
199,726895-UU-7035-HT,9/13/2020,14,2,3,Double,Yes,Call Center,Completed,Yes,The Sankey,9/13/2020,Weekend
185.9,717977-KN-7989-XH,8/4/2020,12,2,1,Suite,No,Walk-in,Completed,No,The Sankey,8/4/2020,Weekday
172.38,785281-H7-4743-DT,4/1/2020,13,4,3,Queen,Yes,Call Center,Completed,No,The Sankey,4/1/2020,Weekday
109,272809-3J-4097-BU,5/28/2020,6,4,4,Double,Yes,Phone App,Completed,Yes,The Marimekko,5/28/2020,Weekday
99,664589-V1-7746-MA,10/26/2020,14,2,3,Double,Yes,Call Center,Completed,Yes,The Chord,10/26/2020,Weekend
111.18,114288-6O-1780-MQ,9/5/2020,4,2,3,Queen,No,Phone App,Completed,Yes,The Marimekko,9/5/2020,Weekday
109,665018-6I-5395-OH,1/14/2020,5,3,4,Double,Yes,Phone App,Completed,Yes,The Marimekko,1/14/2020,Weekday
169,336525-UQ-6537-XZ,5/20/2020,10,1,4,Double,Yes,Call Center,Completed,Yes,The Sankey,5/20/2020,Weekday
169,965973-RC-6112-UA,7/23/2020,4,4,4,Double,Yes,Website,No-Show,Yes,The Sankey,7/23/2020,Weekday
172.38,463835-5O-7564-FU,9/1/2020,3,4,2,Queen,No,Walk-in,Completed,No,The Sankey,9/1/2020,Weekday
98.1,656724-ZA-9547-CL,4/18/2020,1,3,1,Single,No,Travel Agent,Completed,Yes,The Marimekko,4/18/2020,Weekday
98.1,687593-ZT-3210-ZH,2/6/2020,6,4,3,Single,No,Call Center,Completed,Yes,The Marimekko,2/6/2020,Weekday
98.1,161609-G5-0885-EK,3/4/2020,4,3,3,Single,No,Website,Completed,Yes,The Marimekko,3/4/2020,Weekday
109,531682-IQ-0466-AS,8/14/2020,13,3,3,Double,Yes,Phone App,Completed,Yes,The Marimekko,8/14/2020,Weekday
152.1,362741-QQ-7413-LN,4/28/2020,10,1,3,Single,Yes,Website,Completed,Yes,The Sankey,4/28/2020,Weekday
86.9,152564-9W-3730-TX,4/15/2020,11,4,3,Suite,Yes,Travel Agent,Completed,Yes,The Chord,4/15/2020,Weekday
152.1,012540-FS-8353-YH,1/4/2020,12,4,2,Single,Yes,Travel Agent,Reduced,Yes,The Sankey,1/4/2020,Weekday
172.38,873961-YH-9267-LD,7/21/2020,9,2,1,Queen,No,Travel Agent,Completed,Yes,The Sankey,7/21/2020,Weekday
114.45,372010-09-2127-JF,10/17/2020,8,1,3,King,No,Phone App,Completed,Yes,The Marimekko,10/17/2020,Weekday
109,313472-KY-2800-PM,2/29/2020,9,3,4,Double,Yes,Phone App,Completed,Yes,The Marimekko,2/29/2020,Weekday
89.1,129491-8W-3205-ZE,3/30/2020,4,2,3,Single,Yes,Travel Agent,Completed,Yes,The Marimekko,3/30/2020,Weekend
169,266513-BO-7564-IU,5/29/2020,9,2,2,Double,No,Travel Agent,Completed,Yes,The Sankey,5/29/2020,Weekday
179.1,980354-U1-8627-TC,4/26/2020,14,3,4,Single,No,Website,Completed,Yes,The Sankey,4/26/2020,Weekend
99,918627-WM-2666-KQ,8/31/2020,7,2,1,Double,No,Phone App,Completed,Yes,The Marimekko,8/31/2020,Weekend
185.9,021753-SA-5115-AT,8/18/2020,6,4,2,Suite,Yes,Phone App,Completed,Yes,The Sankey,8/18/2020,Weekday
202.98,280491-C8-9257-OC,2/10/2020,4,3,3,Queen,Yes,Phone App,Completed,Yes,The Sankey,2/10/2020,Weekend
109,216914-30-0872-HW,2/7/2020,11,1,3,Double,No,Travel Agent,Completed,Yes,The Marimekko,2/7/2020,Weekday
82.95,050973-EZ-0607-JY,7/24/2020,14,3,4,King,Yes,Phone App,Completed,Yes,The Chord,7/24/2020,Weekday
98.1,686646-13-4911-RH,7/17/2020,10,2,4,Single,No,Phone App,Completed,Yes,The Marimekko,7/17/2020,Weekday
152.1,410845-RI-5161-FU,9/24/2020,9,1,3,Single,No,Travel Agent,Completed,Yes,The Sankey,9/24/2020,Weekday
169,155936-CW-4907-EH,5/29/2020,6,4,2,Double,No,Call Center,Completed,Yes,The Sankey,5/29/2020,Weekday
111.18,891643-E0-4864-YE,2/28/2020,14,3,4,Queen,Yes,Travel Agent,Completed,Yes,The Marimekko,2/28/2020,Weekday
177.45,129384-SI-3708-BK,10/8/2020,10,4,1,King,Yes,Travel Agent,Completed,Yes,The Sankey,10/8/2020,Weekday
98.1,887670-VR-6855-TG,9/11/2020,2,1,1,Single,Yes,Phone App,No-Show,Yes,The Marimekko,9/11/2020,Weekday
152.1,286023-CF-8240-UP,7/18/2020,14,2,4,Single,No,Phone App,Extended,Yes,The Sankey,7/18/2020,Weekday
114.45,779817-8V-2633-AC,7/31/2020,6,4,2,King,No,Phone App,Completed,Yes,The Marimekko,7/31/2020,Weekday
108.9,863254-8B-9877-YR,2/9/2020,13,1,4,Suite,Yes,Walk-in,Completed,No,The Marimekko,2/9/2020,Weekend
172.38,469703-SB-6385-RZ,1/14/2020,6,4,2,Queen,Yes,Phone App,Completed,No,The Sankey,1/14/2020,Weekday
172.38,353036-MJ-4241-KC,2/21/2020,11,2,1,Queen,Yes,Website,No-Show,Yes,The Sankey,2/21/2020,Weekday
99,024375-9Y-6639-ES,2/16/2020,11,4,4,Double,Yes,Website,Completed,Yes,The Chord,2/16/2020,Weekend
172.38,697194-E3-2532-ZR,8/21/2020,14,1,2,Queen,No,Walk-in,Completed,No,The Sankey,8/21/2020,Weekday
71.1,109397-YF-2177-KX,9/23/2020,4,4,4,Single,No,Website,Completed,Yes,The Chord,9/23/2020,Weekday
169,960256-WH-5253-EV,5/14/2020,7,3,4,Double,No,Phone App,Extended,Yes,The Sankey,5/14/2020,Weekday
169,141681-NW-7953-ZC,10/7/2020,1,1,2,Double,No,Website,Completed,Yes,The Sankey,10/7/2020,Weekday
119.9,100251-73-1377-ZB,7/24/2020,2,1,3,Suite,Yes,Travel Agent,Completed,Yes,The Marimekko,7/24/2020,Weekday
208.95,035560-2H-8517-PU,8/10/2020,5,1,4,King,Yes,Phone App,Completed,Yes,The Sankey,8/10/2020,Weekend
179.1,689585-MX-4994-XC,4/13/2020,4,3,1,Single,Yes,Website,Completed,Yes,The Sankey,4/13/2020,Weekend
179.1,717480-NG-4832-HY,10/4/2020,14,4,1,Single,No,Travel Agent,Completed,Yes,The Sankey,10/4/2020,Weekend
185.9,787970-XU-8028-ZN,2/26/2020,7,3,1,Suite,No,Call Center,Completed,Yes,The Sankey,2/26/2020,Weekday
245.05,184952-3T-9985-TO,8/13/2020,5,1,2,Executive Suite,Yes,Phone App,Completed,Yes,The Sankey,8/13/2020,Weekday
185.9,461934-M3-2961-OO,3/17/2020,12,4,4,Suite,Yes,Website,Completed,Yes,The Sankey,3/17/2020,Weekday
152.1,918130-7U-3420-LE,4/11/2020,6,1,4,Single,No,Travel Agent,Completed,Yes,The Sankey,4/11/2020,Weekday
100.98,936836-M4-6253-ON,8/31/2020,10,3,2,Queen,No,Phone App,Completed,Yes,The Marimekko,8/31/2020,Weekend
80.58,994480-1O-2615-VL,7/16/2020,13,4,2,Queen,No,Travel Agent,Completed,Yes,The Chord,7/16/2020,Weekday
169,878022-H5-2237-UT,4/16/2020,11,1,1,Double,Yes,Phone App,Completed,Yes,The Sankey,4/16/2020,Weekday
172.38,245090-T5-1579-QI,5/5/2020,6,2,1,Queen,No,Call Center,Completed,Yes,The Sankey,5/5/2020,Weekday
199,666345-EG-4279-SQ,4/6/2020,12,1,1,Double,No,Website,Completed,Yes,The Sankey,4/6/2020,Weekend
169,325824-J1-2626-DI,3/28/2020,7,4,1,Double,No,Website,Completed,Yes,The Sankey,3/28/2020,Weekday
169,673555-X7-9785-QT,3/26/2020,8,1,2,Double,No,Website,Completed,Yes,The Sankey,3/26/2020,Weekday
98.1,141548-X8-7032-VI,2/28/2020,9,4,3,Single,Yes,Phone App,Completed,Yes,The Marimekko,2/28/2020,Weekday
99,953564-TQ-0013-OI,1/20/2020,10,2,3,Double,Yes,Travel Agent,Completed,Yes,The Marimekko,1/20/2020,Weekend
202.98,847973-FA-1426-AR,10/18/2020,4,1,4,Queen,Yes,Phone App,Completed,Yes,The Sankey,10/18/2020,Weekend
143.55,180646-3R-4700-CB,3/15/2020,10,4,3,Executive Suite,No,Website,Completed,Yes,The Marimekko,3/15/2020,Weekend
152.1,354141-BC-9305-JZ,5/14/2020,9,1,3,Single,Yes,Phone App,Completed,No,The Sankey,5/14/2020,Weekday
218.9,391449-06-6776-KM,2/10/2020,9,2,1,Suite,No,Website,Completed,Yes,The Sankey,2/10/2020,Weekend
99,762688-94-1143-JT,3/2/2020,9,1,1,Double,No,Website,Completed,Yes,The Chord,3/2/2020,Weekend
185.9,656814-NE-2266-KP,3/12/2020,5,1,4,Suite,Yes,Call Center,Completed,Yes,The Sankey,3/12/2020,Weekday
108.9,105112-0V-2347-OT,8/24/2020,3,2,2,Suite,No,Travel Agent,Completed,Yes,The Marimekko,8/24/2020,Weekend
169,255193-DA-0696-VY,3/26/2020,13,1,3,Double,Yes,Phone App,Completed,Yes,The Sankey,3/26/2020,Weekday
202.98,204964-YY-0674-VP,9/7/2020,10,1,2,Queen,No,Website,No-Show,Yes,The Sankey,9/7/2020,Weekend
89.1,029210-TC-1318-OG,8/10/2020,14,3,3,Single,Yes,Call Center,Completed,Yes,The Marimekko,8/10/2020,Weekend
108.9,047208-CX-8764-SO,2/16/2020,10,2,2,Suite,Yes,Website,Completed,Yes,The Chord,2/16/2020,Weekend
218.9,099975-M1-0286-LK,10/12/2020,13,1,1,Suite,No,Travel Agent,Completed,Yes,The Sankey,10/12/2020,Weekend
89.1,271403-MR-8424-YM,9/21/2020,1,3,2,Single,Yes,Phone App,Completed,Yes,The Marimekko,9/21/2020,Weekend
172.38,390879-38-8450-XB,5/28/2020,1,3,2,Queen,Yes,Walk-in,Completed,No,The Sankey,5/28/2020,Weekday
119.9,283343-G6-2805-ET,3/3/2020,2,1,4,Suite,Yes,Phone App,Completed,Yes,The Marimekko,3/3/2020,Weekday
218.9,737734-H7-8528-FZ,6/22/2020,12,1,4,Suite,Yes,Travel Agent,Completed,Yes,The Sankey,6/22/2020,Weekend
99,491577-TA-5939-PV,9/28/2020,14,4,1,Double,No,Call Center,Completed,Yes,The Marimekko,9/28/2020,Weekend
199,776718-49-2537-HY,9/6/2020,3,3,1,Double,Yes,Travel Agent,Completed,Yes,The Sankey,9/6/2020,Weekend
169,934716-I0-9448-FV,1/8/2020,11,2,1,Double,Yes,Walk-in,Completed,No,The Sankey,1/8/2020,Weekday
169,061121-S2-1783-HF,2/8/2020,4,1,2,Double,No,Walk-in,Completed,No,The Sankey,2/8/2020,Weekday
199,086216-27-4331-JF,9/13/2020,12,4,1,Double,No,Website,Completed,Yes,The Sankey,9/13/2020,Weekend
89.1,006900-LI-1633-BB,9/28/2020,7,3,3,Single,Yes,Website,Completed,Yes,The Chord,9/28/2020,Weekend
169,116505-85-1509-WV,9/26/2020,8,1,1,Double,Yes,Phone App,Completed,Yes,The Sankey,9/26/2020,Weekday
71.1,802768-SV-6210-HA,6/18/2020,8,2,4,Single,No,Phone App,Completed,Yes,The Chord,6/18/2020,Weekday
99,166048-SB-8034-FQ,7/12/2020,6,2,4,Double,No,Call Center,Completed,Yes,The Chord,7/12/2020,Weekend
100.98,514222-PG-0578-DN,3/22/2020,11,2,4,Queen,No,Phone App,Completed,Yes,The Marimekko,3/22/2020,Weekend
179.1,555499-N8-7533-BO,1/26/2020,9,1,3,Single,No,Website,Completed,No,The Sankey,1/26/2020,Weekend
103.95,769522-39-7945-FD,8/23/2020,3,1,3,King,Yes,Call Center,Completed,Yes,The Chord,8/23/2020,Weekend
103.95,970174-GR-6662-JX,9/27/2020,11,3,3,King,Yes,Phone App,Completed,Yes,The Marimekko,9/27/2020,Weekend
158.05,488706-F2-7447-DZ,10/22/2020,9,3,1,Executive Suite,Yes,Call Center,Completed,Yes,The Marimekko,10/22/2020,Weekday
99,815179-UW-6860-OV,1/5/2020,9,2,2,Double,Yes,Phone App,Completed,Yes,The Marimekko,1/5/2020,Weekend
169,687209-RQ-9473-JU,3/25/2020,14,3,2,Double,Yes,Travel Agent,Completed,Yes,The Sankey,3/25/2020,Weekday
152.1,460110-GV-9171-QJ,2/27/2020,4,2,3,Single,No,Call Center,Completed,Yes,The Sankey,2/27/2020,Weekday
80.58,419601-0L-1203-XF,2/12/2020,11,2,2,Queen,No,Website,Completed,Yes,The Chord,2/12/2020,Weekday
208.95,615211-4E-6053-MU,7/5/2020,13,1,1,King,No,Walk-in,Completed,No,The Sankey,7/5/2020,Weekend
152.1,627137-ZV-9816-LG,10/24/2020,4,4,2,Single,No,Website,Completed,No,The Sankey,10/24/2020,Weekday
152.1,738816-A5-9752-WH,9/29/2020,4,1,1,Single,No,Phone App,Completed,Yes,The Sankey,9/29/2020,Weekday
185.9,344470-4K-8046-SQ,8/12/2020,2,1,1,Suite,No,Call Center,Completed,Yes,The Sankey,8/12/2020,Weekday
172.38,483706-ZF-9160-RZ,6/12/2020,6,2,3,Queen,No,Website,Completed,Yes,The Sankey,6/12/2020,Weekday
169,163039-VE-8480-EG,4/22/2020,1,4,1,Double,Yes,Phone App,Completed,Yes,The Sankey,4/22/2020,Weekday
71.1,493100-O1-6085-BK,1/31/2020,9,1,1,Single,No,Phone App,Completed,Yes,The Chord,1/31/2020,Weekday
80.58,421882-RP-9847-NF,6/24/2020,10,3,1,Queen,Yes,Website,Completed,Yes,The Chord,6/24/2020,Weekday
98.1,275817-YV-0802-CV,1/11/2020,3,1,2,Single,Yes,Phone App,Completed,Yes,The Marimekko,1/11/2020,Weekday
79,996800-PS-0786-NC,5/16/2020,13,2,2,Double,Yes,Website,Completed,Yes,The Chord,5/16/2020,Weekday
202.98,735164-SB-6476-MS,1/27/2020,12,1,1,Queen,No,Phone App,Completed,Yes,The Sankey,1/27/2020,Weekend
100.98,479838-QI-9317-BH,10/26/2020,7,4,3,Queen,Yes,Website,Completed,Yes,The Marimekko,10/26/2020,Weekend
111.18,743780-AD-8798-MX,6/18/2020,11,2,4,Queen,Yes,Phone App,No-Show,Yes,The Marimekko,6/18/2020,Weekday
172.38,531315-RG-5196-FI,1/15/2020,14,3,1,Queen,No,Travel Agent,Completed,Yes,The Sankey,1/15/2020,Weekday
169,540386-1C-6366-QW,8/4/2020,13,2,1,Double,No,Travel Agent,Completed,Yes,The Sankey,8/4/2020,Weekday
79,424813-SG-0948-YJ,7/3/2020,1,1,3,Double,No,Travel Agent,Completed,Yes,The Chord,7/3/2020,Weekday
172.38,474721-B6-3478-YV,6/4/2020,7,1,4,Queen,Yes,Walk-in,No-Show,No,The Sankey,6/4/2020,Weekday
169,904187-WU-7633-JY,8/19/2020,4,3,3,Double,Yes,Phone App,Completed,Yes,The Sankey,8/19/2020,Weekday
172.38,809678-HD-9975-TK,9/1/2020,5,3,2,Queen,No,Call Center,Completed,Yes,The Sankey,9/1/2020,Weekday
111.18,466402-TJ-3317-SY,6/20/2020,5,4,1,Queen,No,Travel Agent,Completed,Yes,The Marimekko,6/20/2020,Weekday
86.9,485828-RD-7511-JX,8/18/2020,14,3,1,Suite,No,Travel Agent,Completed,Yes,The Chord,8/18/2020,Weekday
199,291949-GB-0128-DN,1/19/2020,7,2,1,Double,No,Phone App,Completed,Yes,The Sankey,1/19/2020,Weekend
103.95,298990-NY-5012-LN,10/19/2020,8,3,4,King,No,Travel Agent,Completed,Yes,The Chord,10/19/2020,Weekend
152.1,217232-YA-4771-WF,8/18/2020,7,4,4,Single,Yes,Travel Agent,Completed,Yes,The Sankey,8/18/2020,Weekday
199,700131-SS-8556-BQ,2/16/2020,2,4,2,Double,Yes,Travel Agent,Completed,Yes,The Sankey,2/16/2020,Weekend
199,180120-FL-9481-XZ,4/26/2020,5,4,4,Double,No,Call Center,Completed,Yes,The Sankey,4/26/2020,Weekend
199,591280-TT-9620-DR,9/7/2020,11,3,3,Double,Yes,Website,No-Show,No,The Sankey,9/7/2020,Weekend
71.1,246255-1D-7313-GA,5/27/2020,9,2,4,Single,Yes,Travel Agent,Completed,Yes,The Chord,5/27/2020,Weekday
80.58,705100-3L-2229-NR,7/24/2020,7,3,3,Queen,Yes,Travel Agent,Completed,Yes,The Chord,7/24/2020,Weekday
114.45,547174-PJ-9403-VE,3/25/2020,11,3,3,King,Yes,Website,No-Show,Yes,The Marimekko,3/25/2020,Weekday
98.1,449169-18-2300-ZP,3/12/2020,1,2,1,Single,Yes,Call Center,Completed,Yes,The Marimekko,3/12/2020,Weekday
86.9,379564-6E-7023-KO,9/3/2020,8,4,3,Suite,Yes,Website,Completed,Yes,The Chord,9/3/2020,Weekday
208.95,151185-AB-8392-IP,4/13/2020,13,3,4,King,No,Phone App,Completed,Yes,The Sankey,4/13/2020,Weekend
111.18,765414-EM-0930-QT,8/7/2020,7,2,4,Queen,No,Call Center,Completed,No,The Marimekko,8/7/2020,Weekday
179.1,109522-9A-4594-NZ,6/29/2020,4,1,3,Single,No,Website,Completed,Yes,The Sankey,6/29/2020,Weekend
172.38,920643-RL-0375-NL,3/25/2020,5,3,1,Queen,Yes,Phone App,Completed,Yes,The Sankey,3/25/2020,Weekday
98.1,056048-EW-0322-RJ,2/6/2020,7,2,2,Single,Yes,Phone App,Completed,Yes,The Marimekko,2/6/2020,Weekday
152.1,772365-3T-8384-VU,2/1/2020,10,3,3,Single,Yes,Website,Completed,Yes,The Sankey,2/1/2020,Weekday
169,820919-A0-6698-RF,1/9/2020,13,2,2,Double,No,Phone App,Completed,Yes,The Sankey,1/9/2020,Weekday
119.9,483461-3J-1717-DF,9/26/2020,9,1,4,Suite,Yes,Website,Completed,Yes,The Marimekko,9/26/2020,Weekday
169,113219-E0-5715-NR,4/8/2020,2,1,2,Double,Yes,Call Center,Completed,No,The Sankey,4/8/2020,Weekday
177.45,382995-2A-3639-RG,7/2/2020,1,4,3,King,Yes,Travel Agent,Completed,Yes,The Sankey,7/2/2020,Weekday
152.1,800950-OF-5145-HC,2/14/2020,9,1,1,Single,No,Website,Completed,Yes,The Sankey,2/14/2020,Weekday
98.1,365572-S0-1493-CE,5/12/2020,9,4,4,Single,No,Travel Agent,Completed,Yes,The Marimekko,5/12/2020,Weekday
177.45,418290-U3-2879-YT,9/29/2020,7,4,1,King,Yes,Phone App,No-Show,Yes,The Sankey,9/29/2020,Weekday
218.9,523427-A2-6074-GZ,2/16/2020,6,2,3,Suite,No,Website,Completed,Yes,The Sankey,2/16/2020,Weekend
245.05,393405-6N-4498-RE,8/11/2020,4,3,1,Executive Suite,No,Call Center,Completed,Yes,The Sankey,8/11/2020,Weekday
114.45,768690-FX-2458-KJ,2/7/2020,10,4,2,King,Yes,Phone App,Completed,Yes,The Marimekko,2/7/2020,Weekday
172.38,205246-I6-4235-FT,4/29/2020,8,1,3,Queen,Yes,Phone App,Completed,Yes,The Sankey,4/29/2020,Weekday
185.9,005545-UW-8606-NF,1/22/2020,5,3,4,Suite,No,Phone App,Completed,Yes,The Sankey,1/22/2020,Weekday
89.1,053365-9G-7923-DY,3/16/2020,2,2,2,Single,No,Travel Agent,Completed,Yes,The Chord,3/16/2020,Weekend
179.1,384013-L6-3629-SW,6/22/2020,11,4,3,Single,No,Website,Completed,Yes,The Sankey,6/22/2020,Weekend
89.1,806222-CH-5972-EI,7/20/2020,2,1,4,Single,Yes,Walk-in,Completed,No,The Marimekko,7/20/2020,Weekend
245.05,306420-50-5266-VS,5/26/2020,12,1,3,Executive Suite,Yes,Phone App,Completed,No,The Sankey,5/26/2020,Weekday
172.38,874282-IV-4276-ZH,5/13/2020,3,4,4,Queen,No,Phone App,Completed,Yes,The Sankey,5/13/2020,Weekday
79,663812-LU-5072-CI,7/15/2020,13,4,4,Double,No,Phone App,Completed,Yes,The Chord,7/15/2020,Weekday
79,941778-R5-0386-FF,5/21/2020,6,1,4,Double,Yes,Call Center,Completed,Yes,The Chord,5/21/2020,Weekday
199,055947-G7-2720-CY,4/27/2020,4,2,4,Double,Yes,Travel Agent,Completed,Yes,The Sankey,4/27/2020,Weekend
169,396162-F8-7516-GF,3/14/2020,12,4,1,Double,No,Website,Completed,Yes,The Sankey,3/14/2020,Weekday
199,725107-K6-6479-BN,4/19/2020,2,4,4,Double,Yes,Phone App,Completed,Yes,The Sankey,4/19/2020,Weekend
114.45,083985-75-5121-MK,7/4/2020,8,2,4,King,Yes,Phone App,Completed,Yes,The Marimekko,7/4/2020,Weekday
100.98,735477-46-9272-NV,8/2/2020,5,4,1,Queen,No,Website,Completed,Yes,The Chord,8/2/2020,Weekend
