Question Number,Question Text,University,Sample Size,% Agree
Q04,My course has challenged me to achieve my best work,The City of Liverpool College,55,0.8723
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,The City of Liverpool College,55,0.8936
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,The City of Liverpool College,55,0.8936
Q07,My course has provided me with opportunities to apply what I have learnt,The City of Liverpool College,55,0.9362
Q08,The criteria used in marking have been clear in advance,The City of Liverpool College,55,0.8936
Q09,Marking and assessment has been fair,The City of Liverpool College,55,0.8511
Q10,Feedback on my work has been timely,The City of Liverpool College,55,0.8936
Q11,I have received helpful comments on my work,The City of Liverpool College,55,0.9149
Q12,I have been able to contact staff when I needed to,The City of Liverpool College,55,0.9362
Q13,I have received sufficient advice and guidance in relation to my course,The City of Liverpool College,55,0.9574
Q14,Good advice was available when I needed to make study choices on my course,The City of Liverpool College,55,0.9787
Q15,The course is well organised and running smoothly,The City of Liverpool College,55,0.8298
Q16,The timetable works efficiently for me,The City of Liverpool College,55,0.8936
Q17,Any changes in the course or teaching have been communicated effectively,The City of Liverpool College,55,0.8723
Q18,The IT resources and facilities provided have supported my learning well,The City of Liverpool College,55,0.8723
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",The City of Liverpool College,55,0.7826
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",The City of Liverpool College,55,0.9149
Q21,I feel part of a community of staff and students,The City of Liverpool College,55,0.9149
Q22,I have had the right opportunities to work with other students as part of my course,The City of Liverpool College,55,0.8936
Q23,I have had the right opportunities to provide feedback on my course,The City of Liverpool College,55,0.9574
Q24,Staff value students’ views and opinions about the course,The City of Liverpool College,55,0.9574
Q25,It is clear how students’ feedback on the course has been acted on,The City of Liverpool College,55,0.9149
Q26,The students’ union (association or guild) effectively represents students’ academic interests,The City of Liverpool College,55,0.8478
Q27,"Overall, I am satisfied with the quality of the course",The City of Liverpool College,55,0.9787
Q01,Staff are good at explaining things,City of Sunderland College,223,0.9104
Q02,Staff have made the subject interesting,City of Sunderland College,223,0.8507
Q03,The course is intellectually stimulating,City of Sunderland College,223,0.8722
Q04,My course has challenged me to achieve my best work,City of Sunderland College,223,0.8657
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,City of Sunderland College,223,0.8507
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,City of Sunderland College,223,0.9254
Q07,My course has provided me with opportunities to apply what I have learnt,City of Sunderland College,223,0.8731
Q08,The criteria used in marking have been clear in advance,City of Sunderland College,223,0.7985
Q09,Marking and assessment has been fair,City of Sunderland College,223,0.8433
Q10,Feedback on my work has been timely,City of Sunderland College,223,0.8134
Q11,I have received helpful comments on my work,City of Sunderland College,223,0.8881
Q12,I have been able to contact staff when I needed to,City of Sunderland College,223,0.8955
Q13,I have received sufficient advice and guidance in relation to my course,City of Sunderland College,223,0.8284
Q14,Good advice was available when I needed to make study choices on my course,City of Sunderland College,223,0.8872
Q15,The course is well organised and running smoothly,City of Sunderland College,223,0.7519
Q16,The timetable works efficiently for me,City of Sunderland College,223,0.8358
Q17,Any changes in the course or teaching have been communicated effectively,City of Sunderland College,223,0.7612
Q18,The IT resources and facilities provided have supported my learning well,City of Sunderland College,223,0.7121
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",City of Sunderland College,223,0.7068
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",City of Sunderland College,223,0.7239
Q21,I feel part of a community of staff and students,City of Sunderland College,223,0.7761
Q22,I have had the right opportunities to work with other students as part of my course,City of Sunderland College,223,0.8626
Q23,I have had the right opportunities to provide feedback on my course,City of Sunderland College,223,0.8195
Q24,Staff value students’ views and opinions about the course,City of Sunderland College,223,0.7879
Q25,It is clear how students’ feedback on the course has been acted on,City of Sunderland College,223,0.7121
Q26,The students’ union (association or guild) effectively represents students’ academic interests,City of Sunderland College,223,0.6555
Q27,"Overall, I am satisfied with the quality of the course",City of Sunderland College,223,0.8421
Q01,Staff are good at explaining things,City of Wolverhampton College,18,0.9
Q02,Staff have made the subject interesting,City of Wolverhampton College,18,0.8
Q03,The course is intellectually stimulating,City of Wolverhampton College,18,0.7
Q04,My course has challenged me to achieve my best work,City of Wolverhampton College,18,0.8
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,City of Wolverhampton College,18,0.7
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,City of Wolverhampton College,18,0.6
Q07,My course has provided me with opportunities to apply what I have learnt,City of Wolverhampton College,18,0.8
Q08,The criteria used in marking have been clear in advance,City of Wolverhampton College,18,0.8
Q09,Marking and assessment has been fair,City of Wolverhampton College,18,0.9
Q10,Feedback on my work has been timely,City of Wolverhampton College,18,0.7
Q11,I have received helpful comments on my work,City of Wolverhampton College,18,0.7
Q12,I have been able to contact staff when I needed to,City of Wolverhampton College,18,0.7
Q13,I have received sufficient advice and guidance in relation to my course,City of Wolverhampton College,18,0.8
Q14,Good advice was available when I needed to make study choices on my course,City of Wolverhampton College,18,0.7
Q15,The course is well organised and running smoothly,City of Wolverhampton College,18,0.6
Q16,The timetable works efficiently for me,City of Wolverhampton College,18,0.8
Q17,Any changes in the course or teaching have been communicated effectively,City of Wolverhampton College,18,0.7
Q18,The IT resources and facilities provided have supported my learning well,City of Wolverhampton College,18,0.6
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",City of Wolverhampton College,18,0.8
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",City of Wolverhampton College,18,0.7
Q21,I feel part of a community of staff and students,City of Wolverhampton College,18,0.7
Q22,I have had the right opportunities to work with other students as part of my course,City of Wolverhampton College,18,0.8
Q23,I have had the right opportunities to provide feedback on my course,City of Wolverhampton College,18,0.7
Q24,Staff value students’ views and opinions about the course,City of Wolverhampton College,18,0.7
Q25,It is clear how students’ feedback on the course has been acted on,City of Wolverhampton College,18,0.6
Q26,The students’ union (association or guild) effectively represents students’ academic interests,City of Wolverhampton College,18,0.8571
Q27,"Overall, I am satisfied with the quality of the course",City of Wolverhampton College,18,0.8
Q01,Staff are good at explaining things,"City, University of London",2555,0.8373
Q02,Staff have made the subject interesting,"City, University of London",2555,0.7079
Q03,The course is intellectually stimulating,"City, University of London",2555,0.7783
Q04,My course has challenged me to achieve my best work,"City, University of London",2555,0.7205
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,"City, University of London",2555,0.7232
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,"City, University of London",2555,0.7661
Q07,My course has provided me with opportunities to apply what I have learnt,"City, University of London",2555,0.7272
Q08,The criteria used in marking have been clear in advance,"City, University of London",2555,0.6283
Q09,Marking and assessment has been fair,"City, University of London",2555,0.6276
Q10,Feedback on my work has been timely,"City, University of London",2555,0.6663
Q11,I have received helpful comments on my work,"City, University of London",2555,0.6056
Q12,I have been able to contact staff when I needed to,"City, University of London",2555,0.8441
Q13,I have received sufficient advice and guidance in relation to my course,"City, University of London",2555,0.7071
Q14,Good advice was available when I needed to make study choices on my course,"City, University of London",2555,0.6633
Q15,The course is well organised and running smoothly,"City, University of London",2555,0.6251
Q16,The timetable works efficiently for me,"City, University of London",2555,0.7016
Q17,Any changes in the course or teaching have been communicated effectively,"City, University of London",2555,0.7223
Q18,The IT resources and facilities provided have supported my learning well,"City, University of London",2555,0.8367
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well","City, University of London",2555,0.854
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to","City, University of London",2555,0.8656
Q21,I feel part of a community of staff and students,"City, University of London",2555,0.5631
Q22,I have had the right opportunities to work with other students as part of my course,"City, University of London",2555,0.8122
Q23,I have had the right opportunities to provide feedback on my course,"City, University of London",2555,0.7956
Q24,Staff value students’ views and opinions about the course,"City, University of London",2555,0.6814
Q25,It is clear how students’ feedback on the course has been acted on,"City, University of London",2555,0.5415
Q26,The students’ union (association or guild) effectively represents students’ academic interests,"City, University of London",2555,0.5466
Q27,"Overall, I am satisfied with the quality of the course","City, University of London",2555,0.742
Q01,Staff are good at explaining things,Cliff College,14,0.8462
Q02,Staff have made the subject interesting,Cliff College,14,0.6154
Q03,The course is intellectually stimulating,Cliff College,14,0.8462
Q04,My course has challenged me to achieve my best work,Cliff College,14,0.6923
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Cliff College,14,0.7692
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Cliff College,14,0.6154
Q07,My course has provided me with opportunities to apply what I have learnt,Cliff College,14,0.6154
Q08,The criteria used in marking have been clear in advance,Cliff College,14,0.7692
Q09,Marking and assessment has been fair,Cliff College,14,0.6154
Q10,Feedback on my work has been timely,Cliff College,14,0.6154
Q11,I have received helpful comments on my work,Cliff College,14,0.9231
Q12,I have been able to contact staff when I needed to,Cliff College,14,0.7692
Q13,I have received sufficient advice and guidance in relation to my course,Cliff College,14,0.6154
Q14,Good advice was available when I needed to make study choices on my course,Cliff College,14,0.7692
Q15,The course is well organised and running smoothly,Cliff College,14,0.5385
Q16,The timetable works efficiently for me,Cliff College,14,0.6923
Q17,Any changes in the course or teaching have been communicated effectively,Cliff College,14,0.6923
Q18,The IT resources and facilities provided have supported my learning well,Cliff College,14,0.6154
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Cliff College,14,0.8462
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Cliff College,14,0.7692
Q21,I feel part of a community of staff and students,Cliff College,14,0.4615
Q22,I have had the right opportunities to work with other students as part of my course,Cliff College,14,0.3846
Q23,I have had the right opportunities to provide feedback on my course,Cliff College,14,0.9231
Q24,Staff value students’ views and opinions about the course,Cliff College,14,0.5385
Q25,It is clear how students’ feedback on the course has been acted on,Cliff College,14,0.4615
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Cliff College,14,0.25
Q27,"Overall, I am satisfied with the quality of the course",Cliff College,14,0.6923
Q01,Staff are good at explaining things,Colchester Institute,165,0.8796
Q02,Staff have made the subject interesting,Colchester Institute,165,0.8131
Q03,The course is intellectually stimulating,Colchester Institute,165,0.8148
Q04,My course has challenged me to achieve my best work,Colchester Institute,165,0.8796
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Colchester Institute,165,0.7963
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Colchester Institute,165,0.8692
Q07,My course has provided me with opportunities to apply what I have learnt,Colchester Institute,165,0.7963
Q08,The criteria used in marking have been clear in advance,Colchester Institute,165,0.7593
Q09,Marking and assessment has been fair,Colchester Institute,165,0.7196
Q10,Feedback on my work has been timely,Colchester Institute,165,0.8056
Q11,I have received helpful comments on my work,Colchester Institute,165,0.7778
Q12,I have been able to contact staff when I needed to,Colchester Institute,165,0.8889
Q13,I have received sufficient advice and guidance in relation to my course,Colchester Institute,165,0.7778
Q14,Good advice was available when I needed to make study choices on my course,Colchester Institute,165,0.7477
Q15,The course is well organised and running smoothly,Colchester Institute,165,0.5
Q16,The timetable works efficiently for me,Colchester Institute,165,0.7963
Q17,Any changes in the course or teaching have been communicated effectively,Colchester Institute,165,0.6296
Q18,The IT resources and facilities provided have supported my learning well,Colchester Institute,165,0.5429
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Colchester Institute,165,0.7714
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Colchester Institute,165,0.7692
Q21,I feel part of a community of staff and students,Colchester Institute,165,0.6822
Q22,I have had the right opportunities to work with other students as part of my course,Colchester Institute,165,0.7664
Q23,I have had the right opportunities to provide feedback on my course,Colchester Institute,165,0.8208
Q24,Staff value students’ views and opinions about the course,Colchester Institute,165,0.6916
Q25,It is clear how students’ feedback on the course has been acted on,Colchester Institute,165,0.4811
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Colchester Institute,165,0.41
Q27,"Overall, I am satisfied with the quality of the course",Colchester Institute,165,0.7905
Q01,Staff are good at explaining things,The Conservatoire for Dance and Drama,246,0.9451
Q02,Staff have made the subject interesting,The Conservatoire for Dance and Drama,246,0.9341
Q03,The course is intellectually stimulating,The Conservatoire for Dance and Drama,246,0.9231
Q04,My course has challenged me to achieve my best work,The Conservatoire for Dance and Drama,246,0.9176
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,The Conservatoire for Dance and Drama,246,0.8956
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,The Conservatoire for Dance and Drama,246,0.8846
Q07,My course has provided me with opportunities to apply what I have learnt,The Conservatoire for Dance and Drama,246,0.9505
Q08,The criteria used in marking have been clear in advance,The Conservatoire for Dance and Drama,246,0.7111
Q09,Marking and assessment has been fair,The Conservatoire for Dance and Drama,246,0.7263
Q10,Feedback on my work has been timely,The Conservatoire for Dance and Drama,246,0.7088
Q11,I have received helpful comments on my work,The Conservatoire for Dance and Drama,246,0.8462
Q12,I have been able to contact staff when I needed to,The Conservatoire for Dance and Drama,246,0.9451
Q13,I have received sufficient advice and guidance in relation to my course,The Conservatoire for Dance and Drama,246,0.8736
Q14,Good advice was available when I needed to make study choices on my course,The Conservatoire for Dance and Drama,246,0.8362
Q15,The course is well organised and running smoothly,The Conservatoire for Dance and Drama,246,0.6923
Q16,The timetable works efficiently for me,The Conservatoire for Dance and Drama,246,0.7692
Q17,Any changes in the course or teaching have been communicated effectively,The Conservatoire for Dance and Drama,246,0.7527
Q18,The IT resources and facilities provided have supported my learning well,The Conservatoire for Dance and Drama,246,0.75
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",The Conservatoire for Dance and Drama,246,0.8305
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",The Conservatoire for Dance and Drama,246,0.8674
Q21,I feel part of a community of staff and students,The Conservatoire for Dance and Drama,246,0.9176
Q22,I have had the right opportunities to work with other students as part of my course,The Conservatoire for Dance and Drama,246,0.967
Q23,I have had the right opportunities to provide feedback on my course,The Conservatoire for Dance and Drama,246,0.9066
Q24,Staff value students’ views and opinions about the course,The Conservatoire for Dance and Drama,246,0.8352
Q25,It is clear how students’ feedback on the course has been acted on,The Conservatoire for Dance and Drama,246,0.7088
Q26,The students’ union (association or guild) effectively represents students’ academic interests,The Conservatoire for Dance and Drama,246,0.7453
Q27,"Overall, I am satisfied with the quality of the course",The Conservatoire for Dance and Drama,246,0.9231
Q01,Staff are good at explaining things,Cornwall College,244,0.8659
Q02,Staff have made the subject interesting,Cornwall College,244,0.7821
Q03,The course is intellectually stimulating,Cornwall College,244,0.8324
Q04,My course has challenged me to achieve my best work,Cornwall College,244,0.7654
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Cornwall College,244,0.8146
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Cornwall College,244,0.8212
Q07,My course has provided me with opportunities to apply what I have learnt,Cornwall College,244,0.7486
Q08,The criteria used in marking have been clear in advance,Cornwall College,244,0.7654
Q09,Marking and assessment has been fair,Cornwall College,244,0.7865
Q10,Feedback on my work has been timely,Cornwall College,244,0.6517
Q11,I have received helpful comments on my work,Cornwall College,244,0.8034
Q12,I have been able to contact staff when I needed to,Cornwall College,244,0.8156
Q13,I have received sufficient advice and guidance in relation to my course,Cornwall College,244,0.7263
Q14,Good advice was available when I needed to make study choices on my course,Cornwall College,244,0.7371
Q15,The course is well organised and running smoothly,Cornwall College,244,0.5922
Q16,The timetable works efficiently for me,Cornwall College,244,0.7207
Q17,Any changes in the course or teaching have been communicated effectively,Cornwall College,244,0.6573
Q18,The IT resources and facilities provided have supported my learning well,Cornwall College,244,0.6971
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Cornwall College,244,0.7029
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Cornwall College,244,0.7865
Q21,I feel part of a community of staff and students,Cornwall College,244,0.6536
Q22,I have had the right opportunities to work with other students as part of my course,Cornwall College,244,0.8249
Q23,I have had the right opportunities to provide feedback on my course,Cornwall College,244,0.7416
Q24,Staff value students’ views and opinions about the course,Cornwall College,244,0.7006
Q25,It is clear how students’ feedback on the course has been acted on,Cornwall College,244,0.5455
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Cornwall College,244,0.4395
Q27,"Overall, I am satisfied with the quality of the course",Cornwall College,244,0.7458
Q01,Staff are good at explaining things,Court Theatre Training Company Ltd,21,0.8
Q02,Staff have made the subject interesting,Court Theatre Training Company Ltd,21,1
Q03,The course is intellectually stimulating,Court Theatre Training Company Ltd,21,0.9333
Q04,My course has challenged me to achieve my best work,Court Theatre Training Company Ltd,21,0.8667
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Court Theatre Training Company Ltd,21,0.8667
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Court Theatre Training Company Ltd,21,0.9333
Q07,My course has provided me with opportunities to apply what I have learnt,Court Theatre Training Company Ltd,21,0.9333
Q08,The criteria used in marking have been clear in advance,Court Theatre Training Company Ltd,21,0.6667
Q09,Marking and assessment has been fair,Court Theatre Training Company Ltd,21,0.7333
Q10,Feedback on my work has been timely,Court Theatre Training Company Ltd,21,0.6667
Q11,I have received helpful comments on my work,Court Theatre Training Company Ltd,21,0.7333
Q12,I have been able to contact staff when I needed to,Court Theatre Training Company Ltd,21,0.7333
Q13,I have received sufficient advice and guidance in relation to my course,Court Theatre Training Company Ltd,21,0.6667
Q14,Good advice was available when I needed to make study choices on my course,Court Theatre Training Company Ltd,21,0.5
Q15,The course is well organised and running smoothly,Court Theatre Training Company Ltd,21,0.3333
Q16,The timetable works efficiently for me,Court Theatre Training Company Ltd,21,0.8667
Q17,Any changes in the course or teaching have been communicated effectively,Court Theatre Training Company Ltd,21,0.4667
Q18,The IT resources and facilities provided have supported my learning well,Court Theatre Training Company Ltd,21,0.1538
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Court Theatre Training Company Ltd,21,0.1429
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Court Theatre Training Company Ltd,21,0.0667
Q21,I feel part of a community of staff and students,Court Theatre Training Company Ltd,21,0.8667
Q22,I have had the right opportunities to work with other students as part of my course,Court Theatre Training Company Ltd,21,0.9286
Q23,I have had the right opportunities to provide feedback on my course,Court Theatre Training Company Ltd,21,0.7333
Q24,Staff value students’ views and opinions about the course,Court Theatre Training Company Ltd,21,0.6
Q25,It is clear how students’ feedback on the course has been acted on,Court Theatre Training Company Ltd,21,0.2667
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Court Theatre Training Company Ltd,21,0.5833
Q27,"Overall, I am satisfied with the quality of the course",Court Theatre Training Company Ltd,21,0.7333
Q01,Staff are good at explaining things,Courtauld Institute of Art,64,0.875
Q02,Staff have made the subject interesting,Courtauld Institute of Art,64,0.975
Q03,The course is intellectually stimulating,Courtauld Institute of Art,64,0.875
Q04,My course has challenged me to achieve my best work,Courtauld Institute of Art,64,0.7
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Courtauld Institute of Art,64,0.875
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Courtauld Institute of Art,64,0.925
Q07,My course has provided me with opportunities to apply what I have learnt,Courtauld Institute of Art,64,0.775
Q08,The criteria used in marking have been clear in advance,Courtauld Institute of Art,64,0.625
Q09,Marking and assessment has been fair,Courtauld Institute of Art,64,0.625
Q10,Feedback on my work has been timely,Courtauld Institute of Art,64,0.6154
Q11,I have received helpful comments on my work,Courtauld Institute of Art,64,0.675
Q12,I have been able to contact staff when I needed to,Courtauld Institute of Art,64,0.675
Q13,I have received sufficient advice and guidance in relation to my course,Courtauld Institute of Art,64,0.55
Q14,Good advice was available when I needed to make study choices on my course,Courtauld Institute of Art,64,0.525
Q15,The course is well organised and running smoothly,Courtauld Institute of Art,64,0.3
Q16,The timetable works efficiently for me,Courtauld Institute of Art,64,0.575
Q17,Any changes in the course or teaching have been communicated effectively,Courtauld Institute of Art,64,0.425
Q18,The IT resources and facilities provided have supported my learning well,Courtauld Institute of Art,64,0.375
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Courtauld Institute of Art,64,0.75
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Courtauld Institute of Art,64,0.6
Q21,I feel part of a community of staff and students,Courtauld Institute of Art,64,0.5385
Q22,I have had the right opportunities to work with other students as part of my course,Courtauld Institute of Art,64,0.7436
Q23,I have had the right opportunities to provide feedback on my course,Courtauld Institute of Art,64,0.8
Q24,Staff value students’ views and opinions about the course,Courtauld Institute of Art,64,0.6
Q25,It is clear how students’ feedback on the course has been acted on,Courtauld Institute of Art,64,0.3158
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Courtauld Institute of Art,64,0.5897
Q27,"Overall, I am satisfied with the quality of the course",Courtauld Institute of Art,64,0.75
Q01,Staff are good at explaining things,Coventry College,29,1
Q02,Staff have made the subject interesting,Coventry College,29,1
Q03,The course is intellectually stimulating,Coventry College,29,0.8824
Q04,My course has challenged me to achieve my best work,Coventry College,29,0.8235
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Coventry College,29,0.8235
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Coventry College,29,0.9412
Q07,My course has provided me with opportunities to apply what I have learnt,Coventry College,29,0.9412
Q08,The criteria used in marking have been clear in advance,Coventry College,29,0.8235
Q09,Marking and assessment has been fair,Coventry College,29,0.9412
Q10,Feedback on my work has been timely,Coventry College,29,0.8824
Q11,I have received helpful comments on my work,Coventry College,29,0.9412
Q12,I have been able to contact staff when I needed to,Coventry College,29,0.8824
Q13,I have received sufficient advice and guidance in relation to my course,Coventry College,29,0.8824
Q14,Good advice was available when I needed to make study choices on my course,Coventry College,29,0.8824
Q15,The course is well organised and running smoothly,Coventry College,29,0.6471
Q16,The timetable works efficiently for me,Coventry College,29,0.9412
Q17,Any changes in the course or teaching have been communicated effectively,Coventry College,29,0.875
Q18,The IT resources and facilities provided have supported my learning well,Coventry College,29,0.5882
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Coventry College,29,0.6
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Coventry College,29,0.7059
Q21,I feel part of a community of staff and students,Coventry College,29,0.8235
Q22,I have had the right opportunities to work with other students as part of my course,Coventry College,29,0.8824
Q23,I have had the right opportunities to provide feedback on my course,Coventry College,29,0.8824
Q24,Staff value students’ views and opinions about the course,Coventry College,29,0.8824
Q25,It is clear how students’ feedback on the course has been acted on,Coventry College,29,0.7647
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Coventry College,29,0.6429
Q27,"Overall, I am satisfied with the quality of the course",Coventry College,29,0.8824
Q01,Staff are good at explaining things,Coventry University,6918,0.9028
Q02,Staff have made the subject interesting,Coventry University,6918,0.8375
Q03,The course is intellectually stimulating,Coventry University,6918,0.8621
Q04,My course has challenged me to achieve my best work,Coventry University,6918,0.8287
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Coventry University,6918,0.8578
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Coventry University,6918,0.8674
Q07,My course has provided me with opportunities to apply what I have learnt,Coventry University,6918,0.8558
Q08,The criteria used in marking have been clear in advance,Coventry University,6918,0.7672
Q09,Marking and assessment has been fair,Coventry University,6918,0.7274
Q10,Feedback on my work has been timely,Coventry University,6918,0.7421
Q11,I have received helpful comments on my work,Coventry University,6918,0.7515
Q12,I have been able to contact staff when I needed to,Coventry University,6918,0.8697
Q13,I have received sufficient advice and guidance in relation to my course,Coventry University,6918,0.8241
Q14,Good advice was available when I needed to make study choices on my course,Coventry University,6918,0.79
Q15,The course is well organised and running smoothly,Coventry University,6918,0.714
Q16,The timetable works efficiently for me,Coventry University,6918,0.7578
Q17,Any changes in the course or teaching have been communicated effectively,Coventry University,6918,0.7945
Q18,The IT resources and facilities provided have supported my learning well,Coventry University,6918,0.8566
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Coventry University,6918,0.895
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Coventry University,6918,0.8907
Q21,I feel part of a community of staff and students,Coventry University,6918,0.7472
Q22,I have had the right opportunities to work with other students as part of my course,Coventry University,6918,0.8951
Q23,I have had the right opportunities to provide feedback on my course,Coventry University,6918,0.866
Q24,Staff value students’ views and opinions about the course,Coventry University,6918,0.7938
Q25,It is clear how students’ feedback on the course has been acted on,Coventry University,6918,0.6772
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Coventry University,6918,0.6222
Q27,"Overall, I am satisfied with the quality of the course",Coventry University,6918,0.8248
Q01,Staff are good at explaining things,Craven College,53,0.8611
Q02,Staff have made the subject interesting,Craven College,53,0.8611
Q03,The course is intellectually stimulating,Craven College,53,0.8056
Q04,My course has challenged me to achieve my best work,Craven College,53,0.7222
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Craven College,53,0.8333
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Craven College,53,0.8333
Q07,My course has provided me with opportunities to apply what I have learnt,Craven College,53,0.8611
Q08,The criteria used in marking have been clear in advance,Craven College,53,0.8611
Q09,Marking and assessment has been fair,Craven College,53,0.8056
Q10,Feedback on my work has been timely,Craven College,53,0.8286
Q11,I have received helpful comments on my work,Craven College,53,0.8857
Q12,I have been able to contact staff when I needed to,Craven College,53,0.8889
Q13,I have received sufficient advice and guidance in relation to my course,Craven College,53,0.8333
Q14,Good advice was available when I needed to make study choices on my course,Craven College,53,0.7714
Q15,The course is well organised and running smoothly,Craven College,53,0.7222
Q16,The timetable works efficiently for me,Craven College,53,0.8889
Q17,Any changes in the course or teaching have been communicated effectively,Craven College,53,0.7222
Q18,The IT resources and facilities provided have supported my learning well,Craven College,53,0.4706
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Craven College,53,0.6765
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Craven College,53,0.7143
Q21,I feel part of a community of staff and students,Craven College,53,0.8
Q22,I have had the right opportunities to work with other students as part of my course,Craven College,53,0.8857
Q23,I have had the right opportunities to provide feedback on my course,Craven College,53,0.8286
Q24,Staff value students’ views and opinions about the course,Craven College,53,0.7429
Q25,It is clear how students’ feedback on the course has been acted on,Craven College,53,0.5429
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Craven College,53,0.4615
Q27,"Overall, I am satisfied with the quality of the course",Craven College,53,0.8
Q01,Staff are good at explaining things,University for the Creative Arts,1399,0.8696
Q02,Staff have made the subject interesting,University for the Creative Arts,1399,0.8372
Q03,The course is intellectually stimulating,University for the Creative Arts,1399,0.8027
Q04,My course has challenged me to achieve my best work,University for the Creative Arts,1399,0.8118
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,University for the Creative Arts,1399,0.8339
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,University for the Creative Arts,1399,0.8457
Q07,My course has provided me with opportunities to apply what I have learnt,University for the Creative Arts,1399,0.8511
Q08,The criteria used in marking have been clear in advance,University for the Creative Arts,1399,0.7354
Q09,Marking and assessment has been fair,University for the Creative Arts,1399,0.7612
Q10,Feedback on my work has been timely,University for the Creative Arts,1399,0.8147
Q11,I have received helpful comments on my work,University for the Creative Arts,1399,0.829
Q12,I have been able to contact staff when I needed to,University for the Creative Arts,1399,0.8579
Q13,I have received sufficient advice and guidance in relation to my course,University for the Creative Arts,1399,0.7986
Q14,Good advice was available when I needed to make study choices on my course,University for the Creative Arts,1399,0.8
Q15,The course is well organised and running smoothly,University for the Creative Arts,1399,0.603
Q16,The timetable works efficiently for me,University for the Creative Arts,1399,0.762
Q17,Any changes in the course or teaching have been communicated effectively,University for the Creative Arts,1399,0.7024
Q18,The IT resources and facilities provided have supported my learning well,University for the Creative Arts,1399,0.7924
