UKPRN,Provider name,Country of provider,Domicile,Level of qualification obtained,Mode of former study,Interim study,Age group,Activity,Academic year,Number
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Voluntary or unpaid work,2021/22,0
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Voluntary or unpaid work,2021/22,0
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Employment and further study,2021/22,10
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Employment and further study,2021/22,20
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time employment,2021/22,55
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time employment,2021/22,150
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time further study,2021/22,0
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time further study,2021/22,0
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Non-respondents,2021/22,45
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Non-respondents,2021/22,140
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,"Other including travel, caring for someone or retired",2021/22,5
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,"Other including travel, caring for someone or retired",2021/22,20
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time employment,2021/22,5
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time employment,2021/22,30
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time further study,2021/22,0
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time further study,2021/22,0
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,125
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,365
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,80
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,225
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,5
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,5
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007764,Heriot-Watt University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10007794,The University of Glasgow,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Employment and further study,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time employment,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time further study,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Non-respondents,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,"Other including travel, caring for someone or retired",2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time employment,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time further study,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,5
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007833,Glyndŵr University,Wales,Non-UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,5
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Total,2021/22,5
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,15
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Full-time further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Non-respondents,2021/22,10
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,"Other including travel, caring for someone or retired",2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Part-time employment,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Part-time further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Total,2021/22,25
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Total with known outcomes,2021/22,15
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unemployed,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unknown pattern of employment,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unknown pattern of further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Voluntary or unpaid work,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Employment and further study,2021/22,15
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time employment,2021/22,80
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Non-respondents,2021/22,70
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,"Other including travel, caring for someone or retired",2021/22,10
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time employment,2021/22,15
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,190
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,120
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007833,Glyndŵr University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,5
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,5
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,5
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,5
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time further study,2021/22,0
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time further study,2021/22,10
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time further study,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time further study,2021/22,0
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time further study,2021/22,0
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time further study,2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time further study,2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time further study,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time further study,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Non-respondents,2021/22,20
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Non-respondents,2021/22,45
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Non-respondents,2021/22,5
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Non-respondents,2021/22,45
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Non-respondents,2021/22,60
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Non-respondents,2021/22,25
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Non-respondents,2021/22,45
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Non-respondents,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Non-respondents,2021/22,5
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,"Other including travel, caring for someone or retired",2021/22,0
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,"Other including travel, caring for someone or retired",2021/22,0
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,"Other including travel, caring for someone or retired",2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,"Other including travel, caring for someone or retired",2021/22,0
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,"Other including travel, caring for someone or retired",2021/22,0
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,"Other including travel, caring for someone or retired",2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,"Other including travel, caring for someone or retired",2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,"Other including travel, caring for someone or retired",2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,"Other including travel, caring for someone or retired",2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time employment,2021/22,0
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time employment,2021/22,0
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time employment,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time employment,2021/22,0
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time employment,2021/22,0
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time employment,2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time employment,2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time employment,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time employment,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time further study,2021/22,0
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time further study,2021/22,0
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time further study,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time further study,2021/22,0
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time further study,2021/22,0
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time further study,2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time further study,2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time further study,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Part-time further study,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total,2021/22,25
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total,2021/22,60
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total,2021/22,5
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total,2021/22,55
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total,2021/22,65
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total,2021/22,30
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total,2021/22,50
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total,2021/22,5
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total with known outcomes,2021/22,5
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total with known outcomes,2021/22,15
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total with known outcomes,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total with known outcomes,2021/22,10
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total with known outcomes,2021/22,5
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total with known outcomes,2021/22,5
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total with known outcomes,2021/22,5
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total with known outcomes,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Total with known outcomes,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unemployed,2021/22,0
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unemployed,2021/22,0
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unemployed,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unemployed,2021/22,0
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unemployed,2021/22,0
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unemployed,2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unemployed,2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unemployed,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unemployed,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of employment,2021/22,0
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of employment,2021/22,0
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of employment,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of employment,2021/22,0
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of employment,2021/22,0
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of employment,2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of employment,2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of employment,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of employment,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of further study,2021/22,0
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of further study,2021/22,0
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of further study,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of further study,2021/22,0
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of further study,2021/22,0
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of further study,2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of further study,2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of further study,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Unknown pattern of further study,2021/22,0
10002718,Goldsmiths College,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Voluntary or unpaid work,2021/22,0
10003270,"Imperial College of Science, Technology and Medicine",England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Voluntary or unpaid work,2021/22,0
10007145,University of Gloucestershire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Voluntary or unpaid work,2021/22,0
10007146,The University of Greenwich,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Voluntary or unpaid work,2021/22,0
10007147,University of Hertfordshire,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Voluntary or unpaid work,2021/22,0
10007148,The University of Huddersfield,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Voluntary or unpaid work,2021/22,0
10007149,The University of Hull,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Voluntary or unpaid work,2021/22,0
10007825,Guildhall School of Music and Drama,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Voluntary or unpaid work,2021/22,0
10080811,Hartpury University,England,Non-UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Voluntary or unpaid work,2021/22,0
10003945,The Liverpool Institute for Performing Arts,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10003956,Liverpool Hope University,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10003957,Liverpool John Moores University,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10003958,Liverpool School of Tropical Medicine,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10004035,The Film Education Training Trust Limited,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10004036,London Film School Limited,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10004048,London Metropolitan University,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10004063,London School of Economics and Political Science,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,20
10004075,London School of Theology,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10004078,London South Bank University,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10004113,Loughborough University,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,5
10004180,The Manchester Metropolitan University,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10006842,The University of Liverpool,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,5
10007162,"University of the Arts, London",England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,5
10007769,London Business School,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10007771,London School of Hygiene and Tropical Medicine,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Employment and further study,2021/22,0
10003945,The Liverpool Institute for Performing Arts,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Full-time employment,2021/22,0
10003956,Liverpool Hope University,England,Non-UK,Postgraduate,Full-time,Include significant interim study,21-24 years,Full-time employment,2021/22,5
