Opportunity Name,Amount,Stage,Account Name,Closed
Opportunity 294,"$80,022",Proposal/Price Quote,Edge Communications,false
Express Logistics Portable Truck Generators,"$80,000",Value Proposition,Express Logistics and Transport,false
Opportunity 246,"$79,748",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 602,"$79,587",Negotiation/Review,Edge Communications,false
Opportunity 36,"$79,530",Closed Won,Express Logistics and Transport,true
Opportunity 238,"$79,463",Value Proposition,sForce,false
Opportunity 597,"$79,428",Closed Lost,Pyramid Construction Inc.,true
Opportunity 516,"$79,189",Closed Won,Dickenson plc,true
Opportunity 579,"$78,707",Negotiation/Review,"United Oil & Gas, Singapore",false
Opportunity 428,"$78,479",Closed Won,Express Logistics and Transport,true
Opportunity 281,"$78,232",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 174,"$78,146",Value Proposition,"United Oil & Gas, UK",false
Opportunity 61,"$77,921",Closed Won,Burlington Textiles Corp of America,true
Opportunity 371,"$77,873",Proposal/Price Quote,University of Arizona,false
Opportunity 332,"$77,399",Proposal/Price Quote,United Oil & Gas Corp.,false
Opportunity 443,"$77,349",Prospecting,Dickenson plc,false
Opportunity 543,"$77,305",Id. Decision Makers,Grand Hotels & Resorts Ltd,false
Opportunity 262,"$76,974",Value Proposition,Express Logistics and Transport,false
Opportunity 175,"$76,924",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 255,"$76,911",Closed Won,"United Oil & Gas, UK",true
Opportunity 640,"$76,752",Closed Won,sForce,true
Opportunity 291,"$76,715",Proposal/Price Quote,GenePoint,false
Opportunity 222,"$76,366",Value Proposition,Pyramid Construction Inc.,false
Opportunity 103,"$76,204",Closed Lost,GenePoint,true
Opportunity 340,"$75,716",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 382,"$75,411",Proposal/Price Quote,Edge Communications,false
Opportunity 119,"$75,291",Closed Won,Burlington Textiles Corp of America,true
Opportunity 330,"$75,263",Proposal/Price Quote,Express Logistics and Transport,false
Edge Emergency Generator,"$75,000",Closed Won,Edge Communications,true
Opportunity 618,"$74,963",Negotiation/Review,Edge Communications,false
Opportunity 355,"$74,947",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 314,"$74,344",Closed Won,Dickenson plc,true
Opportunity 519,"$74,321",Closed Won,University of Arizona,true
Opportunity 190,"$74,176",Value Proposition,Pyramid Construction Inc.,false
Opportunity 392,"$74,032",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 105,"$73,894",Closed Lost,"United Oil & Gas, Singapore",true
Opportunity 614,"$73,765",Negotiation/Review,Burlington Textiles Corp of America,false
Opportunity 79,"$73,619",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 487,"$73,607",Id. Decision Makers,Edge Communications,false
Opportunity 475,"$73,580",Prospecting,Edge Communications,false
Opportunity 591,"$73,253",Negotiation/Review,Burlington Textiles Corp of America,false
Opportunity 544,"$72,646",Id. Decision Makers,Express Logistics and Transport,false
Opportunity 345,"$72,505",Proposal/Price Quote,sForce,false
Opportunity 92,"$72,107",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 98,"$71,988",Closed Won,Edge Communications,true
Opp Brazil 44,"$71,904",Qualification,PewPew,false
Opportunity 512,"$71,872",Closed Won,GenePoint,true
Opportunity 20,"$71,631",Closed Won,Burlington Textiles Corp of America,true
Opportunity 77,"$71,512",Closed Won,GenePoint,true
Opportunity 107,"$71,354",Closed Lost,Burlington Textiles Corp of America,true
Opportunity 342,"$71,321",Proposal/Price Quote,Edge Communications,false
Opportunity 338,"$71,221",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 108,"$71,195",Closed Won,Pyramid Construction Inc.,true
Opportunity 301,"$70,945",Closed Won,United Oil & Gas Corp.,true
Opportunity 15,"$70,574",Closed Won,"United Oil & Gas, UK",true
Opportunity 617,"$70,474",Negotiation/Review,"United Oil & Gas, Singapore",false
Opportunity 229,"$70,268",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 442,"$70,139",Prospecting,Pyramid Construction Inc.,false
Opportunity 72,"$70,025",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 405,"$69,969",Prospecting,GenePoint,false
Opportunity 576,"$69,505",Negotiation/Review,sForce,false
Opportunity 440,"$69,446",Prospecting,Edge Communications,false
Opportunity 384,"$69,444",Proposal/Price Quote,Pyramid Construction Inc.,false
Opportunity 522,"$69,432",Closed Won,GenePoint,true
Opportunity 575,"$69,177",Negotiation/Review,United Oil & Gas Corp.,false
Opportunity 469,"$69,075",Prospecting,Pyramid Construction Inc.,false
Opportunity 410,"$68,920",Prospecting,GenePoint,false
Opportunity 104,"$68,757",Closed Lost,"United Oil & Gas, UK",true
Opportunity 160,"$68,518",Closed Won,University of Arizona,true
Opportunity 670,"$68,266",Closed Won,Express Logistics and Transport,true
Opportunity 33,"$68,172",Closed Won,Burlington Textiles Corp of America,true
Opportunity 44,"$67,739",Closed Won,"United Oil & Gas, UK",true
Opportunity 651,"$67,626",Negotiation/Review,Dickenson plc,false
Opportunity 46,"$67,611",Closed Won,Edge Communications,true
Opportunity 399,"$67,576",Prospecting,Dickenson plc,false
Opportunity 273,"$67,562",Proposal/Price Quote,sForce,false
Opportunity 195,"$67,333",Value Proposition,GenePoint,false
Opportunity 627,"$67,279",Closed Lost,Edge Communications,true
Opportunity 172,"$66,994",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 305,"$66,901",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 34,"$66,828",Closed Won,Pyramid Construction Inc.,true
Opportunity 527,"$66,828",Closed Won,GenePoint,true
Opportunity 456,"$66,813",Prospecting,University of Arizona,false
Opportunity 556,"$66,587",Closed Lost,"United Oil & Gas, UK",true
Opportunity 580,"$66,415",Negotiation/Review,Pyramid Construction Inc.,false
Opportunity 253,"$66,411",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 687,"$66,037",Needs Analysis,Express Logistics and Transport,false
Opportunity 697,"$66,010",Value Proposition,"United Oil & Gas, UK",false
Opportunity 496,"$65,589",Id. Decision Makers,"United Oil & Gas, UK",false
Opportunity 327,"$65,538",Proposal/Price Quote,Pyramid Construction Inc.,false
Opportunity 581,"$65,498",Negotiation/Review,Dickenson plc,false
Opportunity 664,"$65,372",Needs Analysis,"United Oil & Gas, Singapore",false
Opportunity 264,"$65,308",Value Proposition,United Oil & Gas Corp.,false
Opportunity 637,"$64,938",Closed Won,Express Logistics and Transport,true
Opportunity 606,"$64,777",Negotiation/Review,Express Logistics and Transport,false
Opportunity 26,"$64,749",Closed Won,Express Logistics and Transport,true
Opportunity 474,"$64,518",Prospecting,"United Oil & Gas, Singapore",false
Opportunity 509,"$64,112",Id. Decision Makers,University of Arizona,false
Opportunity 145,"$63,925",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 171,"$63,907",Closed Won,Edge Communications,true
Opportunity 381,"$63,080",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 11,"$62,820",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 682,"$62,717",Closed Won,Edge Communications,true
Opportunity 552,"$62,663",Id. Decision Makers,Burlington Textiles Corp of America,false
Opportunity 351,"$62,636",Proposal/Price Quote,GenePoint,false
Opportunity 295,"$62,170",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 631,"$62,082",Negotiation/Review,"United Oil & Gas, Singapore",false
Opportunity 526,"$62,058",Closed Won,Burlington Textiles Corp of America,true
Opportunity 684,"$61,861",Needs Analysis,Pyramid Construction Inc.,false
Opportunity 604,"$61,826",Negotiation/Review,Pyramid Construction Inc.,false
Opportunity 300,"$61,762",Closed Won,University of Arizona,true
Opportunity 349,"$61,639",Proposal/Price Quote,Edge Communications,false
Opportunity 507,"$61,179",Id. Decision Makers,Grand Hotels & Resorts Ltd,false
Opportunity 499,"$60,954",Id. Decision Makers,Burlington Textiles Corp of America,false
Opportunity 498,"$60,948",Id. Decision Makers,Edge Communications,false
Opportunity 681,"$60,935",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 59,"$60,757",Closed Won,Edge Communications,true
Opportunity 480,"$60,701",Id. Decision Makers,Express Logistics and Transport,false
Opportunity 293,"$60,424",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 191,"$60,423",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 630,"$60,421",Negotiation/Review,"United Oil & Gas, UK",false
Opportunity 692,"$60,374",Needs Analysis,"United Oil & Gas, UK",false
Opportunity 27,"$60,196",Closed Won,University of Arizona,true
Edge SLA,"$60,000",Closed Won,Edge Communications,true
GenePoint Lab Generators,"$60,000",Id. Decision Makers,GenePoint,false
Opportunity 555,"$59,551",Closed Lost,Burlington Textiles Corp of America,true
Opportunity 609,"$59,547",Negotiation/Review,sForce,false
Opportunity 590,"$59,260",Closed Lost,Edge Communications,true
Opportunity 511,"$59,204",Closed Won,sForce,true
Opportunity 680,"$59,203",Closed Won,"United Oil & Gas, UK",true
Opportunity 307,"$59,091",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 133,"$58,922",Closed Won,"United Oil & Gas, UK",true
Opportunity 60,"$58,798",Closed Won,Edge Communications,true
Opportunity 525,"$58,379",Closed Won,Edge Communications,true
Opportunity 76,"$58,367",Closed Won,Burlington Textiles Corp of America,true
Opportunity 215,"$58,310",Value Proposition,Edge Communications,false
Opportunity 48,"$57,789",Closed Won,Pyramid Construction Inc.,true
Opportunity 484,"$57,754",Id. Decision Makers,GenePoint,false
Opportunity 207,"$57,719",Value Proposition,Grand Hotels & Resorts Ltd,false
Opportunity 451,"$57,545",Prospecting,Burlington Textiles Corp of America,false
Opportunity 533,"$57,462",Closed Won,Dickenson plc,true
Opportunity 181,"$57,383",Value Proposition,GenePoint,false
Opportunity 444,"$57,292",Prospecting,Grand Hotels & Resorts Ltd,false
Opportunity 206,"$57,029",Value Proposition,Dickenson plc,false
Opportunity 452,"$56,974",Prospecting,Pyramid Construction Inc.,false
Opportunity 486,"$56,966",Id. Decision Makers,"United Oil & Gas, Singapore",false
Opportunity 132,"$56,849",Closed Won,GenePoint,true
Opportunity 500,"$56,549",Id. Decision Makers,GenePoint,false
Opportunity 695,"$56,096",Needs Analysis,Burlington Textiles Corp of America,false
Opportunity 168,"$56,070",Closed Won,GenePoint,true
Opportunity 325,"$55,878",Proposal/Price Quote,Edge Communications,false
Opportunity 439,"$55,733",Prospecting,"United Oil & Gas, Singapore",false
Opportunity 277,"$55,640",Proposal/Price Quote,Edge Communications,false
Opportunity 421,"$55,442",Prospecting,sForce,false
Opportunity 688,"$55,417",Closed Won,University of Arizona,true
Opportunity 129,"$55,397",Closed Won,University of Arizona,true
Opportunity 437,"$55,226",Prospecting,GenePoint,false
Opportunity 71,"$55,163",Closed Won,"United Oil & Gas, UK",true
Opportunity 398,"$55,082",Prospecting,Pyramid Construction Inc.,false
Opportunity 391,"$54,787",Proposal/Price Quote,Edge Communications,false
Opportunity 192,"$54,629",Value Proposition,GenePoint,false
Opportunity 232,"$54,595",Closed Won,Pyramid Construction Inc.,true
Opportunity 372,"$54,568",Proposal/Price Quote,United Oil & Gas Corp.,false
Opportunity 1,"$54,506",Closed Won,United Oil & Gas Corp.,true
Opportunity 183,"$54,410",Value Proposition,"United Oil & Gas, UK",false
Opportunity 337,"$53,911",Proposal/Price Quote,Edge Communications,false
Opportunity 563,"$53,706",Id. Decision Makers,Edge Communications,false
Opportunity 634,"$53,601",Negotiation/Review,Pyramid Construction Inc.,false
Opportunity 189,"$53,497",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 285,"$53,432",Closed Won,Dickenson plc,true
Opportunity 99,"$53,419",Closed Won,Burlington Textiles Corp of America,true
Opportunity 57,"$52,949",Closed Won,"United Oil & Gas, UK",true
Opportunity 541,"$52,846",Id. Decision Makers,Pyramid Construction Inc.,false
Opportunity 540,"$52,247",Id. Decision Makers,Burlington Textiles Corp of America,false
Opportunity 497,"$52,176",Id. Decision Makers,"United Oil & Gas, Singapore",false
Opportunity 435,"$52,156",Prospecting,Edge Communications,false
Opportunity 173,"$52,077",Closed Won,GenePoint,true
Opportunity 652,"$51,902",Negotiation/Review,Grand Hotels & Resorts Ltd,false
Opportunity 430,"$51,659",Prospecting,United Oil & Gas Corp.,false
Opportunity 642,"$51,560",Negotiation/Review,"United Oil & Gas, UK",false
Opportunity 25,"$51,292",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 466,"$51,004",Prospecting,"United Oil & Gas, Singapore",false
Opportunity 676,"$50,949",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 653,"$50,515",Negotiation/Review,Express Logistics and Transport,false
Opportunity 662,"$50,459",Needs Analysis,GenePoint,false
Opportunity 530,"$50,417",Closed Won,Edge Communications,true
Opportunity 32,"$50,375",Closed Won,Edge Communications,true
Edge Installation,"$50,000",Closed Won,Edge Communications,true
Opportunity 393,"$49,536",Proposal/Price Quote,GenePoint,false
Opportunity 244,"$49,445",Value Proposition,GenePoint,false
Opportunity 29,"$49,164",Closed Won,"United Oil & Gas, UK",true
Opportunity 502,"$48,540",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 666,"$48,345",Needs Analysis,Burlington Textiles Corp of America,false
Opportunity 39,"$48,308",Closed Won,sForce,true
Opportunity 326,"$47,838",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 698,"$47,781",Needs Analysis,"United Oil & Gas, Singapore",false
Opportunity 243,"$47,739",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 558,"$47,704",Id. Decision Makers,Edge Communications,false
Opportunity 267,"$47,621",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 491,"$47,582",Id. Decision Makers,"United Oil & Gas, Singapore",false
Opportunity 373,"$47,448",Proposal/Price Quote,sForce,false
Opportunity 455,"$47,107",Prospecting,Express Logistics and Transport,false
Opportunity 223,"$46,807",Value Proposition,Dickenson plc,false
Opportunity 5,"$46,778",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 51,"$46,744",Closed Won,sForce,true
Opportunity 224,"$46,208",Value Proposition,Grand Hotels & Resorts Ltd,false
Opportunity 335,"$45,785",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 394,"$45,602",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 503,"$45,395",Closed Won,Edge Communications,true
Opportunity 50,"$45,321",Closed Won,University of Arizona,true
Opportunity 124,"$45,243",Closed Won,Burlington Textiles Corp of America,true
Opportunity 63,"$44,711",Closed Won,United Oil & Gas Corp.,true
Opportunity 233,"$44,649",Closed Won,Dickenson plc,true
Opportunity 343,"$44,384",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 299,"$44,148",Closed Won,Express Logistics and Transport,true
Opportunity 599,"$44,015",Negotiation/Review,Grand Hotels & Resorts Ltd,false
Opportunity 420,"$43,957",Prospecting,United Oil & Gas Corp.,false
Opportunity 270,"$43,853",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 626,"$43,487",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 152,"$43,330",Closed Won,University of Arizona,true
babidi,"$42,155",Prospecting,Pew Pew 2,false
Opportunity 316,"$42,063",Proposal/Price Quote,Express Logistics and Transport,false
Opportunity 251,"$42,042",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 646,"$41,770",Closed Won,"United Oil & Gas, UK",true
Opportunity 357,"$41,385",Proposal/Price Quote,Dickenson plc,false
Opportunity 341,"$41,338",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 390,"$41,176",Proposal/Price Quote,sForce,false
Opportunity 269,"$41,027",Proposal/Price Quote,Edge Communications,false
Opportunity 635,"$40,972",Closed Won,Dickenson plc,true
Opportunity 102,"$40,753",Closed Lost,"United Oil & Gas, Singapore",true
Opportunity 598,"$40,685",Negotiation/Review,Dickenson plc,false
Opportunity 457,"$40,510",Prospecting,United Oil & Gas Corp.,false
Opportunity 641,"$40,510",Closed Lost,GenePoint,true
Opportunity 628,"$40,494",Closed Lost,Burlington Textiles Corp of America,true
Opportunity 584,"$40,173",Negotiation/Review,University of Arizona,false
Opportunity 328,"$40,157",Proposal/Price Quote,Dickenson plc,false
Opportunity 675,"$40,132",Needs Analysis,"United Oil & Gas, UK",false
Opportunity 459,"$39,967",Prospecting,GenePoint,false
Opportunity 622,"$39,902",Negotiation/Review,United Oil & Gas Corp.,false
Opportunity 56,"$39,734",Closed Won,Express Logistics and Transport,true
Opportunity 350,"$39,612",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 613,"$39,036",Negotiation/Review,Edge Communications,false
Opportunity 114,"$38,900",Closed Won,sForce,true
Opportunity 365,"$38,883",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 66,"$38,296",Closed Won,"United Oil & Gas, UK",true
Opportunity 470,"$38,042",Prospecting,Dickenson plc,false
Opportunity 638,"$37,922",Closed Won,University of Arizona,true
Opportunity 360,"$37,431",Proposal/Price Quote,University of Arizona,false
Opportunity 704,"$37,395",Needs Analysis,Express Logistics and Transport,false
Opportunity 657,"$37,072",Negotiation/Review,GenePoint,false
Opportunity 184,"$36,863",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 213,"$36,727",Value Proposition,"United Oil & Gas, UK",false
Opportunity 600,"$36,640",Negotiation/Review,Edge Communications,false
Opportunity 324,"$36,556",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 123,"$36,520",Closed Won,Edge Communications,true
Opportunity 219,"$36,324",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 231,"$36,308",Closed Won,Burlington Textiles Corp of America,true
Opportunity 607,"$36,278",Negotiation/Review,University of Arizona,false
Opportunity 423,"$35,525",Prospecting,"United Oil & Gas, UK",false
Opportunity 467,"$35,498",Prospecting,Edge Communications,false
Opportunity 112,"$35,449",Closed Won,University of Arizona,true
Opportunity 464,"$35,416",Prospecting,GenePoint,false
Opportunity 214,"$35,400",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 623,"$35,212",Closed Won,sForce,true
Opportunity 65,"$35,002",Closed Won,GenePoint,true
Edge Emergency Generator,"$35,000",Id. Decision Makers,Edge Communications,false
Opportunity 608,"$34,722",Negotiation/Review,United Oil & Gas Corp.,false
Opportunity 413,"$34,663",Prospecting,Edge Communications,false
Opportunity 407,"$34,346",Prospecting,"United Oil & Gas, Singapore",false
Opportunity 230,"$34,076",Closed Won,Edge Communications,true
Opportunity 368,"$33,913",Proposal/Price Quote,Dickenson plc,false
Opportunity 127,"$33,732",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 528,"$33,689",Closed Won,"United Oil & Gas, UK",true
Opportunity 212,"$33,664",Value Proposition,GenePoint,false
Opportunity 40,"$32,906",Closed Won,GenePoint,true
Opportunity 10,"$32,853",Closed Won,GenePoint,true
Opportunity 141,"$32,811",Closed Won,GenePoint,true
Opportunity 460,"$32,801",Prospecting,"United Oil & Gas, UK",false
Opportunity 569,"$32,522",Negotiation/Review,Burlington Textiles Corp of America,false
Opportunity 6,"$32,386",Closed Won,Express Logistics and Transport,true
Opportunity 178,"$31,952",Value Proposition,"United Oil & Gas, UK",false
Opportunity 74,"$31,917",Closed Won,Burlington Textiles Corp of America,true
Opportunity 658,"$31,844",Negotiation/Review,"United Oil & Gas, UK",false
Opportunity 218,"$31,723",Value Proposition,"United Oil & Gas, UK",false
Opportunity 693,"$31,700",Needs Analysis,"United Oil & Gas, Singapore",false
Opportunity 217,"$31,268",Value Proposition,GenePoint,false
Opportunity 536,"$31,222",Id. Decision Makers,University of Arizona,false
Opportunity 30,"$30,995",Closed Won,sForce,true
Opportunity 582,"$30,974",Negotiation/Review,Grand Hotels & Resorts Ltd,false
Opportunity 605,"$30,974",Negotiation/Review,Dickenson plc,false
Opportunity 52,"$30,941",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 417,"$30,829",Prospecting,Grand Hotels & Resorts Ltd,false
Opportunity 208,"$30,726",Value Proposition,Express Logistics and Transport,false
Opportunity 22,"$30,407",Closed Won,"United Oil & Gas, UK",true
Opportunity 41,"$30,375",Closed Won,"United Oil & Gas, UK",true
Opportunity 560,"$30,253",Id. Decision Makers,GenePoint,false
Opportunity 156,"$30,057",Closed Won,Pyramid Construction Inc.,true
Opportunity 53,"$29,220",Closed Won,Dickenson plc,true
Opportunity 323,"$29,133",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 221,"$28,646",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 194,"$28,441",Value Proposition,sForce,false
Opportunity 679,"$28,372",Closed Won,GenePoint,true
Opportunity 250,"$28,144",Closed Won,"United Oil & Gas, UK",true
Opportunity 134,"$27,986",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 402,"$27,890",Prospecting,University of Arizona,false
Opportunity 113,"$27,776",Closed Won,United Oil & Gas Corp.,true
Opportunity 157,"$27,715",Closed Won,Dickenson plc,true
Opportunity 54,"$27,593",Closed Won,University of Arizona,true
Opportunity 304,"$27,174",Closed Won,"United Oil & Gas, UK",true
Opportunity 551,"$27,037",Id. Decision Makers,Edge Communications,false
Opportunity 479,"$26,949",Id. Decision Makers,Grand Hotels & Resorts Ltd,false
Opportunity 508,"$26,752",Id. Decision Makers,Express Logistics and Transport,false
Opportunity 87,"$26,696",Closed Won,University of Arizona,true
Opportunity 245,"$26,692",Value Proposition,"United Oil & Gas, UK",false
Opportunity 477,"$26,032",Id. Decision Makers,Pyramid Construction Inc.,false
Opportunity 696,"$25,969",Needs Analysis,GenePoint,false
Opportunity 272,"$25,933",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 518,"$25,851",Closed Won,Express Logistics and Transport,true
Opportunity 121,"$25,810",Closed Won,"United Oil & Gas, UK",true
Opportunity 375,"$25,803",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 318,"$24,902",Proposal/Price Quote,United Oil & Gas Corp.,false
Opportunity 302,"$24,560",Closed Won,sForce,true
Opportunity 362,"$24,521",Proposal/Price Quote,sForce,false
Opportunity 209,"$24,226",Value Proposition,University of Arizona,false
Opportunity 490,"$23,584",Id. Decision Makers,"United Oil & Gas, UK",false
Opportunity 377,"$23,296",Proposal/Price Quote,Edge Communications,false
Opportunity 620,"$22,661",Negotiation/Review,Express Logistics and Transport,false
Opportunity 517,"$22,411",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 118,"$22,293",Closed Won,Edge Communications,true
Opportunity 454,"$22,066",Prospecting,Grand Hotels & Resorts Ltd,false
Opportunity 648,"$22,055",Closed Won,Edge Communications,true
Opportunity 216,"$21,664",Value Proposition,Burlington Textiles Corp of America,false
Opportunity 170,"$21,663",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 574,"$21,142",Negotiation/Review,University of Arizona,false
Opportunity 650,"$21,028",Negotiation/Review,Pyramid Construction Inc.,false
Opportunity 691,"$20,811",Needs Analysis,GenePoint,false
Opportunity 492,"$20,757",Id. Decision Makers,Edge Communications,false
Opportunity 38,"$20,537",Closed Won,United Oil & Gas Corp.,true
Opportunity 366,"$20,371",Proposal/Price Quote,Edge Communications,false
Opportunity 236,"$20,252",Value Proposition,University of Arizona,false
Opportunity 226,"$20,019",Value Proposition,Burlington Textiles Corp of America,false
Dickenson Mobile Generators,"$15,000",Qualification,Dickenson plc,false
